#ypred	ypred_prob
0.0	[0.64417339 0.35582661]
0.0	[0.63867124 0.36132876]
0.0	[0.59021655 0.40978345]
0.0	[0.64444296 0.35555704]
0.0	[0.6352959 0.3647041]
0.0	[0.64449226 0.35550774]
0.0	[0.64540326 0.35459674]
0.0	[0.64489551 0.35510449]
0.0	[0.61149202 0.38850798]
0.0	[0.64574778 0.35425222]
0.0	[0.6169885 0.3830115]
0.0	[0.6007783 0.3992217]
0.0	[0.64894692 0.35105308]
0.0	[0.59454652 0.40545348]
0.0	[0.60215802 0.39784198]
0.0	[0.62436329 0.37563671]
0.0	[0.64582842 0.35417158]
0.0	[0.64508066 0.35491934]
0.0	[0.64546397 0.35453603]
0.0	[0.59601849 0.40398151]
0.0	[0.62866384 0.37133616]
0.0	[0.6452462 0.3547538]
0.0	[0.64523177 0.35476823]
0.0	[0.64570535 0.35429465]
0.0	[0.64525282 0.35474718]
0.0	[0.63090972 0.36909028]
0.0	[0.61085043 0.38914957]
0.0	[0.63847236 0.36152764]
0.0	[0.62501307 0.37498693]
0.0	[0.59954362 0.40045638]
0.0	[0.64602778 0.35397222]
0.0	[0.64586408 0.35413592]
0.0	[0.63379855 0.36620145]
0.0	[0.64408368 0.35591632]
0.0	[0.59096538 0.40903462]
0.0	[0.6453844 0.3546156]
0.0	[0.62491867 0.37508133]
0.0	[0.61884876 0.38115124]
0.0	[0.64062766 0.35937234]
0.0	[0.64503274 0.35496726]
0.0	[0.60340548 0.39659452]
0.0	[0.64528232 0.35471768]
0.0	[0.60213701 0.39786299]
0.0	[0.63664375 0.36335625]
0.0	[0.6441782 0.3558218]
0.0	[0.6450327 0.3549673]
0.0	[0.64786479 0.35213521]
0.0	[0.63863303 0.36136697]
0.0	[0.646661 0.353339]
0.0	[0.61967701 0.38032299]
0.0	[0.61731142 0.38268858]
0.0	[0.62849774 0.37150226]
0.0	[0.59224074 0.40775926]
0.0	[0.59136286 0.40863714]
0.0	[0.60836452 0.39163548]
0.0	[0.6453965 0.3546035]
0.0	[0.64690388 0.35309612]
0.0	[0.6458361 0.3541639]
0.0	[0.64503505 0.35496495]
0.0	[0.61484576 0.38515424]
0.0	[0.64035006 0.35964994]
0.0	[0.63015418 0.36984582]
0.0	[0.59247218 0.40752782]
0.0	[0.59105184 0.40894816]
0.0	[0.6205799 0.3794201]
0.0	[0.61341174 0.38658826]
0.0	[0.59000604 0.40999396]
0.0	[0.64517897 0.35482103]
0.0	[0.64573709 0.35426291]
0.0	[0.6098778 0.3901222]
0.0	[0.59131168 0.40868832]
0.0	[0.63730705 0.36269295]
0.0	[0.61334955 0.38665045]
0.0	[0.62076069 0.37923931]
0.0	[0.6076084 0.3923916]
0.0	[0.62603772 0.37396228]
0.0	[0.61050553 0.38949447]
0.0	[0.64517364 0.35482636]
0.0	[0.64938002 0.35061998]
0.0	[0.64131482 0.35868518]
0.0	[0.61480489 0.38519511]
0.0	[0.64874527 0.35125473]
0.0	[0.59181044 0.40818956]
0.0	[0.62833094 0.37166906]
0.0	[0.63500369 0.36499631]
0.0	[0.63803588 0.36196412]
0.0	[0.60887933 0.39112067]
0.0	[0.6328481 0.3671519]
0.0	[0.60402629 0.39597371]
0.0	[0.6160293 0.3839707]
0.0	[0.60163516 0.39836484]
0.0	[0.64503311 0.35496689]
0.0	[0.62216078 0.37783922]
0.0	[0.64164573 0.35835427]
0.0	[0.60036551 0.39963449]
0.0	[0.64613565 0.35386435]
0.0	[0.60631709 0.39368291]
0.0	[0.64369641 0.35630359]
