#ypred	ypred_prob
0.0	[0.51639409 0.48360591]
1.0	[0.49777549 0.50222451]
0.0	[0.50125363 0.49874637]
0.0	[0.50197803 0.49802197]
0.0	[0.5048032 0.4951968]
0.0	[0.50916035 0.49083965]
0.0	[0.50881798 0.49118202]
0.0	[0.50342494 0.49657506]
0.0	[0.51861572 0.48138428]
0.0	[0.5041392 0.4958608]
0.0	[0.50129603 0.49870397]
1.0	[0.49417719 0.50582281]
0.0	[0.50030659 0.49969341]
0.0	[0.50448078 0.49551922]
0.0	[0.50129355 0.49870645]
1.0	[0.48737377 0.51262623]
0.0	[0.50226219 0.49773781]
0.0	[0.50580746 0.49419254]
1.0	[0.49560541 0.50439459]
1.0	[0.49457759 0.50542241]
0.0	[0.50055026 0.49944974]
0.0	[0.50269739 0.49730261]
0.0	[0.50394723 0.49605277]
0.0	[0.5017587 0.4982413]
1.0	[0.49936778 0.50063222]
0.0	[0.50524495 0.49475505]
1.0	[0.49876995 0.50123005]
0.0	[0.50416127 0.49583873]
0.0	[0.50367172 0.49632828]
0.0	[0.50957292 0.49042708]
1.0	[0.49204534 0.50795466]
0.0	[0.50942806 0.49057194]
0.0	[0.510523 0.489477]
1.0	[0.49901782 0.50098218]
0.0	[0.50666712 0.49333288]
0.0	[0.50887482 0.49112518]
0.0	[0.50393836 0.49606164]
0.0	[0.50517952 0.49482048]
0.0	[0.50887208 0.49112792]
1.0	[0.49990879 0.50009121]
0.0	[0.50474806 0.49525194]
0.0	[0.50605288 0.49394712]
0.0	[0.51141224 0.48858776]
1.0	[0.49907091 0.50092909]
0.0	[0.50399816 0.49600184]
0.0	[0.50299231 0.49700769]
0.0	[0.51137297 0.48862703]
1.0	[0.49329715 0.50670285]
0.0	[0.51216211 0.48783789]
0.0	[0.50397681 0.49602319]
0.0	[0.5143136 0.4856864]
0.0	[0.51039002 0.48960998]
0.0	[0.50559312 0.49440688]
0.0	[0.50267747 0.49732253]
0.0	[0.50573527 0.49426473]
0.0	[0.51032474 0.48967526]
0.0	[0.50478049 0.49521951]
1.0	[0.48545404 0.51454596]
0.0	[0.51255769 0.48744231]
0.0	[0.50762211 0.49237789]
0.0	[0.51066592 0.48933408]
0.0	[0.50806148 0.49193852]
0.0	[0.50139057 0.49860943]
0.0	[0.51131979 0.48868021]
0.0	[0.51122812 0.48877188]
0.0	[0.50632064 0.49367936]
0.0	[0.50317566 0.49682434]
0.0	[0.50674116 0.49325884]
1.0	[0.49754554 0.50245446]
1.0	[0.49341817 0.50658183]
1.0	[0.49707658 0.50292342]
0.0	[0.50647523 0.49352477]
0.0	[0.50533105 0.49466895]
0.0	[0.50934448 0.49065552]
0.0	[0.50705725 0.49294275]
0.0	[0.50348734 0.49651266]
0.0	[0.50479326 0.49520674]
1.0	[0.49764744 0.50235256]
0.0	[0.50301589 0.49698411]
0.0	[0.50596671 0.49403329]
0.0	[0.51496992 0.48503008]
0.0	[0.50855739 0.49144261]
0.0	[0.50421835 0.49578165]
0.0	[0.51506976 0.48493024]
0.0	[0.51168133 0.48831867]
0.0	[0.50320803 0.49679197]
0.0	[0.50616243 0.49383757]
0.0	[0.50504985 0.49495015]
0.0	[0.50307323 0.49692677]
0.0	[0.50543473 0.49456527]
0.0	[0.51744091 0.48255909]
0.0	[0.50416532 0.49583468]
0.0	[0.50799228 0.49200772]
0.0	[0.50672625 0.49327375]
0.0	[0.50330459 0.49669541]
0.0	[0.50397266 0.49602734]
0.0	[0.50578114 0.49421886]
0.0	[0.50501208 0.49498792]
0.0	[0.50831561 0.49168439]
1.0	[0.4941736 0.5058264]
0.0	[0.50351707 0.49648293]
0.0	[0.50245708 0.49754292]
0.0	[0.51608249 0.48391751]
0.0	[0.50571228 0.49428772]
0.0	[0.50435366 0.49564634]
0.0	[0.51419029 0.48580971]
0.0	[0.51109089 0.48890911]
0.0	[0.50767458 0.49232542]
0.0	[0.5000275 0.4999725]
0.0	[0.50537288 0.49462712]
1.0	[0.49875383 0.50124617]
0.0	[0.50634317 0.49365683]
0.0	[0.50435963 0.49564037]
0.0	[0.51139021 0.48860979]
0.0	[0.50960238 0.49039762]
0.0	[0.50457 0.49543]
0.0	[0.50315191 0.49684809]
0.0	[0.51176132 0.48823868]
0.0	[0.5014365 0.4985635]
0.0	[0.51009507 0.48990493]
0.0	[0.50713602 0.49286398]
0.0	[0.50703237 0.49296763]
0.0	[0.50873432 0.49126568]
0.0	[0.5076542 0.4923458]
0.0	[0.50759815 0.49240185]
0.0	[0.50298939 0.49701061]
