#ypred	ypred_prob
0.0	[0.69947822 0.30052178]
1.0	[0.46009624 0.53990376]
1.0	[0.49751398 0.50248602]
0.0	[0.50919751 0.49080249]
0.0	[0.55572298 0.44427702]
0.0	[0.58644763 0.41355237]
0.0	[0.57923059 0.42076941]
0.0	[0.52956753 0.47043247]
0.0	[0.70922966 0.29077034]
0.0	[0.53596098 0.46403902]
0.0	[0.50128616 0.49871384]
1.0	[0.43275645 0.56724355]
1.0	[0.49020276 0.50979724]
0.0	[0.54464792 0.45535208]
1.0	[0.49347611 0.50652389]
1.0	[0.36117144 0.63882856]
0.0	[0.52860624 0.47139376]
0.0	[0.55729345 0.44270655]
1.0	[0.4399673 0.5600327]
1.0	[0.445398 0.554602]
1.0	[0.49383125 0.50616875]
0.0	[0.50108052 0.49891948]
0.0	[0.52659542 0.47340458]
0.0	[0.52700027 0.47299973]
1.0	[0.48616651 0.51383349]
0.0	[0.54904854 0.45095146]
1.0	[0.46885788 0.53114212]
0.0	[0.54977065 0.45022935]
0.0	[0.53836359 0.46163641]
0.0	[0.60657895 0.39342105]
1.0	[0.42580142 0.57419858]
0.0	[0.59589644 0.40410356]
0.0	[0.590871 0.409129]
1.0	[0.47698974 0.52301026]
0.0	[0.57652615 0.42347385]
0.0	[0.56905226 0.43094774]
0.0	[0.52202815 0.47797185]
0.0	[0.52675035 0.47324965]
0.0	[0.59174741 0.40825259]
1.0	[0.49551474 0.50448526]
0.0	[0.52799927 0.47200073]
0.0	[0.56812837 0.43187163]
0.0	[0.63026189 0.36973811]
1.0	[0.4959359 0.5040641]
0.0	[0.51962721 0.48037279]
0.0	[0.52304759 0.47695241]
0.0	[0.62906295 0.37093705]
1.0	[0.44337338 0.55662662]
0.0	[0.62184916 0.37815084]
0.0	[0.57578312 0.42421688]
0.0	[0.67956183 0.32043817]
0.0	[0.61355575 0.38644425]
0.0	[0.56471896 0.43528104]
0.0	[0.51273235 0.48726765]
0.0	[0.57480161 0.42519839]
0.0	[0.62444607 0.37555393]
0.0	[0.56116357 0.43883643]
1.0	[0.33450101 0.66549899]
0.0	[0.65625965 0.34374035]
0.0	[0.57336286 0.42663714]
0.0	[0.6311697 0.3688303]
0.0	[0.60055515 0.39944485]
1.0	[0.49521459 0.50478541]
0.0	[0.6192173 0.3807827]
0.0	[0.63784012 0.36215988]
0.0	[0.59148529 0.40851471]
0.0	[0.51695755 0.48304245]
0.0	[0.56973158 0.43026842]
1.0	[0.48743863 0.51256137]
1.0	[0.41502738 0.58497262]
1.0	[0.45658154 0.54341846]
0.0	[0.5732609 0.4267391]
0.0	[0.54401355 0.45598645]
0.0	[0.61646495 0.38353505]
0.0	[0.58047967 0.41952033]
0.0	[0.52434945 0.47565055]
0.0	[0.53581154 0.46418846]
1.0	[0.44967755 0.55032245]
0.0	[0.51399217 0.48600783]
0.0	[0.56402758 0.43597242]
0.0	[0.65693314 0.34306686]
0.0	[0.58617067 0.41382933]
0.0	[0.54740796 0.45259204]
0.0	[0.66213163 0.33786837]
0.0	[0.65133077 0.34866923]
0.0	[0.52402737 0.47597263]
0.0	[0.54719991 0.45280009]
0.0	[0.55778096 0.44221904]
0.0	[0.52910586 0.47089414]
0.0	[0.58168466 0.41831534]
0.0	[0.68627107 0.31372893]
0.0	[0.5492799 0.4507201]
0.0	[0.60830549 0.39169451]
0.0	[0.55279854 0.44720146]
0.0	[0.53773154 0.46226846]
0.0	[0.51728809 0.48271191]
0.0	[0.55028085 0.44971915]
0.0	[0.57110873 0.42889127]
0.0	[0.58571241 0.41428759]
1.0	[0.42785788 0.57214212]
0.0	[0.53708383 0.46291617]
0.0	[0.53719215 0.46280785]
0.0	[0.70264606 0.29735394]
0.0	[0.58204492 0.41795508]
0.0	[0.54277331 0.45722669]
0.0	[0.66948148 0.33051852]
0.0	[0.62380743 0.37619257]
0.0	[0.5757237 0.4242763]
1.0	[0.48893685 0.51106315]
0.0	[0.56514383 0.43485617]
1.0	[0.48556986 0.51443014]
0.0	[0.57731718 0.42268282]
0.0	[0.55644793 0.44355207]
0.0	[0.61913967 0.38086033]
0.0	[0.61208764 0.38791236]
0.0	[0.54652934 0.45347066]
0.0	[0.54101716 0.45898284]
0.0	[0.61836149 0.38163851]
1.0	[0.49022407 0.50977593]
0.0	[0.61631901 0.38368099]
0.0	[0.57859078 0.42140922]
0.0	[0.59767092 0.40232908]
0.0	[0.61948259 0.38051741]
0.0	[0.57340961 0.42659039]
0.0	[0.57270623 0.42729377]
0.0	[0.50861807 0.49138193]
0.0	[0.51796873 0.48203127]
1.0	[0.39353362 0.60646638]
0.0	[0.53364624 0.46635376]
0.0	[0.59573318 0.40426682]
1.0	[0.45461254 0.54538746]
1.0	[0.42193573 0.57806427]
0.0	[0.55827886 0.44172114]
0.0	[0.57360809 0.42639191]
0.0	[0.52005434 0.47994566]
0.0	[0.66529611 0.33470389]
0.0	[0.54148211 0.45851789]
0.0	[0.63198469 0.36801531]
0.0	[0.51651631 0.48348369]
0.0	[0.64482962 0.35517038]
1.0	[0.42155625 0.57844375]
0.0	[0.54140731 0.45859269]
0.0	[0.59688892 0.40311108]
1.0	[0.44413607 0.55586393]
0.0	[0.57216684 0.42783316]
0.0	[0.61895709 0.38104291]
0.0	[0.54591304 0.45408696]
0.0	[0.62734226 0.37265774]
0.0	[0.52184192 0.47815808]
0.0	[0.51903135 0.48096865]
0.0	[0.57795167 0.42204833]
0.0	[0.566201 0.433799]
0.0	[0.70854828 0.29145172]
0.0	[0.63341064 0.36658936]
0.0	[0.64048214 0.35951786]
0.0	[0.58564781 0.41435219]
0.0	[0.54022213 0.45977787]
0.0	[0.5961026 0.4038974]
1.0	[0.43229279 0.56770721]
0.0	[0.5057411 0.4942589]
0.0	[0.61513144 0.38486856]
0.0	[0.59125381 0.40874619]
0.0	[0.62184396 0.37815604]
1.0	[0.49933702 0.50066298]
0.0	[0.68122548 0.31877452]
0.0	[0.64181729 0.35818271]
0.0	[0.67310818 0.32689182]
0.0	[0.52743126 0.47256874]
0.0	[0.60395998 0.39604002]
0.0	[0.56668226 0.43331774]
0.0	[0.52354328 0.47645672]
1.0	[0.44995581 0.55004419]
1.0	[0.48209893 0.51790107]
0.0	[0.52935944 0.47064056]
1.0	[0.46610824 0.53389176]
0.0	[0.58355763 0.41644237]
0.0	[0.5710495 0.4289505]
0.0	[0.60271954 0.39728046]
0.0	[0.57954912 0.42045088]
1.0	[0.42745217 0.57254783]
0.0	[0.51417427 0.48582573]
0.0	[0.60364083 0.39635917]
1.0	[0.47595254 0.52404746]
0.0	[0.62491167 0.37508833]
0.0	[0.51095917 0.48904083]
0.0	[0.56123729 0.43876271]
0.0	[0.5852786 0.4147214]
0.0	[0.57278416 0.42721584]
0.0	[0.58827253 0.41172747]
0.0	[0.52061424 0.47938576]
1.0	[0.46041318 0.53958682]
0.0	[0.53253249 0.46746751]
0.0	[0.6945576 0.3054424]
0.0	[0.55644268 0.44355732]
0.0	[0.5781185 0.4218815]
1.0	[0.49443089 0.50556911]
0.0	[0.61317301 0.38682699]
0.0	[0.61438355 0.38561645]
0.0	[0.62557123 0.37442877]
1.0	[0.46060191 0.53939809]
0.0	[0.60650554 0.39349446]
0.0	[0.68909678 0.31090322]
0.0	[0.60561569 0.39438431]
0.0	[0.56090167 0.43909833]
0.0	[0.60734036 0.39265964]
0.0	[0.51233586 0.48766414]
0.0	[0.52780871 0.47219129]
0.0	[0.58243427 0.41756573]
0.0	[0.56739355 0.43260645]
1.0	[0.47747133 0.52252867]
0.0	[0.52994715 0.47005285]
1.0	[0.35053922 0.64946078]
0.0	[0.60014913 0.39985087]
0.0	[0.63395854 0.36604146]
0.0	[0.62303723 0.37696277]
0.0	[0.50976406 0.49023594]
1.0	[0.49401866 0.50598134]
0.0	[0.57845512 0.42154488]
0.0	[0.61015968 0.38984032]
0.0	[0.53514892 0.46485108]
0.0	[0.52355078 0.47644922]
0.0	[0.60014713 0.39985287]
1.0	[0.45026273 0.54973727]
1.0	[0.42544941 0.57455059]
0.0	[0.59808882 0.40191118]
0.0	[0.56891162 0.43108838]
0.0	[0.56372726 0.43627274]
0.0	[0.59510544 0.40489456]
0.0	[0.58885525 0.41114475]
1.0	[0.35181151 0.64818849]
1.0	[0.43116703 0.56883297]
1.0	[0.46946539 0.53053461]
1.0	[0.48124501 0.51875499]
0.0	[0.54789851 0.45210149]
0.0	[0.51079428 0.48920572]
0.0	[0.62280713 0.37719287]
0.0	[0.50109655 0.49890345]
1.0	[0.49401734 0.50598266]
0.0	[0.63997961 0.36002039]
1.0	[0.46408893 0.53591107]
0.0	[0.51256216 0.48743784]
0.0	[0.58882301 0.41117699]
1.0	[0.35096692 0.64903308]
0.0	[0.55338118 0.44661882]
0.0	[0.52196828 0.47803172]
0.0	[0.56079054 0.43920946]
0.0	[0.52231602 0.47768398]
0.0	[0.66301305 0.33698695]
0.0	[0.54647078 0.45352922]
0.0	[0.53006902 0.46993098]
0.0	[0.57608859 0.42391141]
0.0	[0.56415443 0.43584557]
0.0	[0.54965031 0.45034969]
0.0	[0.59403008 0.40596992]
0.0	[0.56296065 0.43703935]
1.0	[0.48883716 0.51116284]
0.0	[0.50509317 0.49490683]
0.0	[0.52634607 0.47365393]
0.0	[0.56651097 0.43348903]
1.0	[0.41875809 0.58124191]
1.0	[0.47470188 0.52529812]
0.0	[0.58691812 0.41308188]
0.0	[0.52196088 0.47803912]
0.0	[0.59015766 0.40984234]
0.0	[0.58677574 0.41322426]
0.0	[0.52817152 0.47182848]
0.0	[0.51576865 0.48423135]
0.0	[0.54844281 0.45155719]
1.0	[0.46163184 0.53836816]
1.0	[0.38993942 0.61006058]
0.0	[0.61837845 0.38162155]
