#ypred	ypred_prob
0.0	[0.64008406 0.35991594]
0.0	[0.56407019 0.43592981]
0.0	[0.61380381 0.38619619]
0.0	[0.57410312 0.42589688]
0.0	[0.61866291 0.38133709]
0.0	[0.55913385 0.44086615]
0.0	[0.62020812 0.37979188]
0.0	[0.64653063 0.35346937]
0.0	[0.58120377 0.41879623]
0.0	[0.5932477 0.4067523]
0.0	[0.62891647 0.37108353]
0.0	[0.59419506 0.40580494]
0.0	[0.6145547 0.3854453]
0.0	[0.57563509 0.42436491]
0.0	[0.5950953 0.4049047]
0.0	[0.62182447 0.37817553]
0.0	[0.60822439 0.39177561]
0.0	[0.63695951 0.36304049]
0.0	[0.60892214 0.39107786]
0.0	[0.592139 0.407861]
0.0	[0.59208949 0.40791051]
0.0	[0.63628277 0.36371723]
0.0	[0.57667289 0.42332711]
0.0	[0.58824548 0.41175452]
0.0	[0.62212948 0.37787052]
0.0	[0.63206764 0.36793236]
0.0	[0.59420266 0.40579734]
0.0	[0.59791542 0.40208458]
0.0	[0.62378554 0.37621446]
0.0	[0.60641613 0.39358387]
0.0	[0.63001105 0.36998895]
0.0	[0.63167971 0.36832029]
0.0	[0.62716111 0.37283889]
0.0	[0.61429774 0.38570226]
0.0	[0.58486816 0.41513184]
0.0	[0.58077169 0.41922831]
0.0	[0.59771571 0.40228429]
0.0	[0.57415123 0.42584877]
0.0	[0.57810321 0.42189679]
0.0	[0.58577377 0.41422623]
0.0	[0.56307769 0.43692231]
0.0	[0.64477798 0.35522202]
0.0	[0.58272787 0.41727213]
0.0	[0.59651239 0.40348761]
0.0	[0.61606436 0.38393564]
0.0	[0.60653465 0.39346535]
0.0	[0.58966542 0.41033458]
0.0	[0.60319017 0.39680983]
0.0	[0.62719956 0.37280044]
0.0	[0.58264208 0.41735792]
0.0	[0.58789856 0.41210144]
0.0	[0.58395274 0.41604726]
0.0	[0.57659834 0.42340166]
0.0	[0.59905275 0.40094725]
0.0	[0.61115734 0.38884266]
0.0	[0.60787078 0.39212922]
0.0	[0.6030423 0.3969577]
0.0	[0.61908676 0.38091324]
0.0	[0.59381695 0.40618305]
0.0	[0.55577445 0.44422555]
0.0	[0.61489466 0.38510534]
0.0	[0.63268521 0.36731479]
0.0	[0.63211111 0.36788889]
0.0	[0.62889633 0.37110367]
0.0	[0.55789744 0.44210256]
0.0	[0.59086189 0.40913811]
0.0	[0.59954394 0.40045606]
0.0	[0.58529306 0.41470694]
0.0	[0.60514564 0.39485436]
0.0	[0.59454036 0.40545964]
0.0	[0.5812301 0.4187699]
