#ypred	ypred_prob
0.0	[0.99428454 0.00571546]
0.0	[0.99343095 0.00656905]
0.0	[0.99498057 0.00501943]
0.0	[0.99695016 0.00304984]
0.0	[0.94319341 0.05680659]
0.0	[0.99695016 0.00304984]
0.0	[0.99267349 0.00732651]
0.0	[0.99399992 0.00600008]
0.0	[0.99618725 0.00381275]
0.0	[0.99538673 0.00461327]
0.0	[0.98834886 0.01165114]
0.0	[0.99695016 0.00304984]
0.0	[0.99390928 0.00609072]
0.0	[0.9930559 0.0069441]
0.0	[0.9936946 0.0063054]
0.0	[0.76858395 0.23141605]
0.0	[0.99086708 0.00913292]
0.0	[0.99471706 0.00528294]
0.0	[0.99545005 0.00454995]
0.0	[0.99426344 0.00573656]
0.0	[0.69586628 0.30413372]
0.0	[0.99083639 0.00916361]
0.0	[0.99364471 0.00635529]
0.0	[0.99372808 0.00627192]
0.0	[0.993543 0.006457]
0.0	[0.99350088 0.00649912]
0.0	[0.99185613 0.00814387]
0.0	[0.99442238 0.00557762]
0.0	[0.99332349 0.00667651]
0.0	[0.99387808 0.00612192]
0.0	[0.99477599 0.00522401]
0.0	[0.94086196 0.05913804]
0.0	[0.99259345 0.00740655]
0.0	[0.99695016 0.00304984]
0.0	[0.98238647 0.01761353]
0.0	[0.9960274 0.0039726]
0.0	[0.8515028 0.1484972]
0.0	[0.9928282 0.0071718]
0.0	[0.99409245 0.00590755]
0.0	[0.96874248 0.03125752]
0.0	[0.99673822 0.00326178]
0.0	[0.99362851 0.00637149]
0.0	[0.73612 0.26388]
0.0	[0.9927432 0.0072568]
0.0	[0.99559016 0.00440984]
0.0	[0.99599024 0.00400976]
0.0	[0.99246425 0.00753575]
0.0	[0.99452505 0.00547495]
0.0	[0.99481573 0.00518427]
0.0	[0.99544518 0.00455482]
0.0	[0.99274566 0.00725434]
0.0	[0.99520429 0.00479571]
0.0	[0.82052668 0.17947332]
0.0	[0.99446351 0.00553649]
0.0	[0.99639345 0.00360655]
0.0	[0.78941482 0.21058518]
0.0	[0.97992882 0.02007118]
0.0	[0.99273561 0.00726439]
0.0	[0.99389133 0.00610867]
0.0	[0.99627007 0.00372993]
0.0	[0.99194651 0.00805349]
0.0	[0.84137468 0.15862532]
0.0	[0.99589104 0.00410896]
0.0	[0.99602008 0.00397992]
0.0	[0.99589731 0.00410269]
0.0	[0.99412132 0.00587868]
0.0	[0.99382683 0.00617317]
0.0	[0.99211425 0.00788575]
0.0	[0.99348341 0.00651659]
0.0	[0.99361957 0.00638043]
0.0	[0.99299529 0.00700471]
0.0	[0.99336351 0.00663649]
0.0	[0.98922562 0.01077438]
0.0	[0.99447622 0.00552378]
