#ypred	ypred_prob
1.0	[0.00413713 0.99586287]
1.0	[0.01623853 0.98376147]
1.0	[0.01143205 0.98856795]
1.0	[0.00339151 0.99660849]
1.0	[0.08006872 0.91993128]
1.0	[9.91651471e-04 9.99008349e-01]
1.0	[7.10599246e-04 9.99289401e-01]
1.0	[0.00420467 0.99579533]
1.0	[0.0015416 0.9984584]
1.0	[0.00188152 0.99811848]
1.0	[0.24045661 0.75954339]
0.0	[0.97143562 0.02856438]
1.0	[0.00388797 0.99611203]
1.0	[0.01391276 0.98608724]
1.0	[0.04640184 0.95359816]
0.0	[0.93911119 0.06088881]
1.0	[0.46018222 0.53981778]
0.0	[0.82238073 0.17761927]
0.0	[0.94366563 0.05633437]
1.0	[0.00378902 0.99621098]
1.0	[0.28532456 0.71467544]
1.0	[0.29939011 0.70060989]
1.0	[0.04410188 0.95589812]
1.0	[6.16582626e-04 9.99383417e-01]
1.0	[0.02174209 0.97825791]
1.0	[0.11456078 0.88543922]
1.0	[0.01512947 0.98487053]
1.0	[0.20840399 0.79159601]
1.0	[0.31395321 0.68604679]
1.0	[0.01377815 0.98622185]
1.0	[0.11511495 0.88488505]
1.0	[0.41456547 0.58543453]
1.0	[0.04553263 0.95446737]
1.0	[4.40303391e-04 9.99559697e-01]
1.0	[0.01914052 0.98085948]
1.0	[0.08953536 0.91046464]
1.0	[0.01619067 0.98380933]
1.0	[0.0165041 0.9834959]
1.0	[0.00335839 0.99664161]
1.0	[0.00363788 0.99636212]
1.0	[0.00855557 0.99144443]
1.0	[0.02670598 0.97329402]
1.0	[0.00132792 0.99867208]
1.0	[0.00120739 0.99879261]
1.0	[0.03596708 0.96403292]
1.0	[0.02705994 0.97294006]
1.0	[0.0029117 0.9970883]
1.0	[0.00386248 0.99613752]
1.0	[0.00675112 0.99324888]
0.0	[0.90001872 0.09998128]
1.0	[0.00984109 0.99015891]
1.0	[0.01249744 0.98750256]
1.0	[0.0103004 0.9896996]
1.0	[0.00984874 0.99015126]
1.0	[0.41095059 0.58904941]
0.0	[0.95239307 0.04760693]
1.0	[0.03027509 0.96972491]
0.0	[0.94497095 0.05502905]
1.0	[0.0094945 0.9905055]
1.0	[0.30753304 0.69246696]
1.0	[0.00364752 0.99635248]
0.0	[0.94442306 0.05557694]
0.0	[0.99138008 0.00861992]
1.0	[0.01626882 0.98373118]
1.0	[0.0115632 0.9884368]
0.0	[0.82619535 0.17380465]
1.0	[0.00276447 0.99723553]
1.0	[0.00133262 0.99866738]
1.0	[0.00605463 0.99394537]
1.0	[0.00633765 0.99366235]
1.0	[0.06588909 0.93411091]
1.0	[6.43109537e-04 9.99356890e-01]
1.0	[0.08404458 0.91595542]
1.0	[9.61422734e-04 9.99038577e-01]
1.0	[2.76346645e-04 9.99723653e-01]
1.0	[0.00197093 0.99802907]
0.0	[0.97334793 0.02665207]
1.0	[0.01614859 0.98385141]
1.0	[0.09915852 0.90084148]
1.0	[0.11053235 0.88946765]
1.0	[0.02221548 0.97778452]
1.0	[0.02887188 0.97112812]
0.0	[0.93975792 0.06024208]
1.0	[0.01764611 0.98235389]
1.0	[0.0331556 0.9668444]
1.0	[0.34606504 0.65393496]
1.0	[0.19655649 0.80344351]
0.0	[0.99615938 0.00384062]
0.0	[0.98513564 0.01486436]
1.0	[0.00198527 0.99801473]
0.0	[0.9800507 0.0199493]
0.0	[0.99075147 0.00924853]
1.0	[0.21071622 0.78928378]
1.0	[0.0508635 0.9491365]
1.0	[0.21283363 0.78716637]
1.0	[0.00247131 0.99752869]
0.0	[0.84329563 0.15670437]
0.0	[0.96872513 0.03127487]
1.0	[0.04693076 0.95306924]
0.0	[0.98799317 0.01200683]
1.0	[0.30321857 0.69678143]
1.0	[0.02725221 0.97274779]
1.0	[0.02416768 0.97583232]
0.0	[0.97907849 0.02092151]
1.0	[0.01466396 0.98533604]
1.0	[0.00298506 0.99701494]
0.0	[9.99370611e-01 6.29389494e-04]
1.0	[5.37464307e-04 9.99462536e-01]
1.0	[0.03295655 0.96704345]
1.0	[0.09214085 0.90785915]
