#ypred	ypred_prob
1.0	[0.02062059 0.97937941]
1.0	[0.01979875 0.98020125]
1.0	[0.11482068 0.88517932]
1.0	[0.05983612 0.94016388]
0.0	[0.555175 0.444825]
1.0	[0.01790642 0.98209358]
1.0	[0.01252597 0.98747403]
1.0	[0.0133876 0.9866124]
1.0	[0.22453818 0.77546182]
0.0	[0.93767091 0.06232909]
1.0	[0.06900097 0.93099903]
1.0	[0.01142233 0.98857767]
0.0	[0.61382403 0.38617597]
1.0	[0.01181265 0.98818735]
1.0	[0.01247154 0.98752846]
0.0	[0.53191379 0.46808621]
0.0	[0.96856548 0.03143452]
1.0	[0.11752371 0.88247629]
0.0	[0.98538024 0.01461976]
1.0	[0.49975095 0.50024905]
1.0	[0.01949063 0.98050937]
1.0	[0.10686233 0.89313767]
1.0	[0.06519815 0.93480185]
0.0	[0.9703505 0.0296495]
0.0	[0.98592858 0.01407142]
1.0	[0.00586324 0.99413676]
0.0	[0.9403631 0.0596369]
0.0	[0.93504009 0.06495991]
1.0	[0.02511583 0.97488417]
1.0	[0.07133284 0.92866716]
0.0	[0.67877484 0.32122516]
1.0	[0.15558577 0.84441423]
0.0	[0.96717526 0.03282474]
0.0	[0.9538168 0.0461832]
0.0	[0.9503955 0.0496045]
0.0	[0.95192669 0.04807331]
0.0	[0.9657048 0.0342952]
0.0	[0.65131637 0.34868363]
0.0	[0.55189816 0.44810184]
1.0	[0.08223601 0.91776399]
1.0	[0.24466948 0.75533052]
1.0	[0.02399855 0.97600145]
0.0	[0.87082214 0.12917786]
0.0	[0.93457588 0.06542412]
1.0	[0.07014149 0.92985851]
0.0	[0.9483288 0.0516712]
0.0	[0.70081759 0.29918241]
0.0	[0.97482302 0.02517698]
0.0	[0.96652059 0.03347941]
1.0	[0.10072843 0.89927157]
1.0	[0.0634282 0.9365718]
1.0	[0.26565115 0.73434885]
1.0	[0.09376595 0.90623405]
1.0	[0.02896876 0.97103124]
0.0	[0.5366156 0.4633844]
0.0	[0.70404187 0.29595813]
0.0	[0.82776868 0.17223132]
0.0	[0.75256897 0.24743103]
1.0	[0.17177528 0.82822472]
0.0	[0.51659169 0.48340831]
0.0	[0.50803878 0.49196122]
1.0	[0.13664152 0.86335848]
1.0	[0.01991976 0.98008024]
1.0	[0.19392179 0.80607821]
0.0	[0.88569378 0.11430622]
1.0	[0.04669345 0.95330655]
1.0	[0.0701011 0.9298989]
1.0	[0.0707867 0.9292133]
0.0	[0.96221682 0.03778318]
0.0	[0.92419663 0.07580337]
0.0	[0.86297919 0.13702081]
0.0	[0.950029 0.049971]
0.0	[0.90058309 0.09941691]
0.0	[0.95252193 0.04747807]
0.0	[0.94416736 0.05583264]
0.0	[0.96844666 0.03155334]
1.0	[0.02148908 0.97851092]
0.0	[0.9779448 0.0220552]
0.0	[0.67344789 0.32655211]
0.0	[0.97567943 0.02432057]
0.0	[0.95777271 0.04222729]
0.0	[0.90289491 0.09710509]
0.0	[0.5105536 0.4894464]
0.0	[0.95045337 0.04954663]
0.0	[0.96167962 0.03832038]
0.0	[0.96366643 0.03633357]
0.0	[0.95836456 0.04163544]
1.0	[0.0955726 0.9044274]
0.0	[0.97005251 0.02994749]
1.0	[0.2601252 0.7398748]
1.0	[0.39764244 0.60235756]
0.0	[0.63418458 0.36581542]
0.0	[0.5111562 0.4888438]
1.0	[0.1023854 0.8976146]
0.0	[0.96775744 0.03224256]
0.0	[0.91160529 0.08839471]
0.0	[0.67320174 0.32679826]
0.0	[0.95041129 0.04958871]
0.0	[0.95092224 0.04907776]
0.0	[0.97401382 0.02598618]
1.0	[0.44376266 0.55623734]
0.0	[0.9675768 0.0324232]
0.0	[0.96139229 0.03860771]
1.0	[0.30100002 0.69899998]
0.0	[0.98515536 0.01484464]
0.0	[0.98365408 0.01634592]
0.0	[0.97920339 0.02079661]
0.0	[0.95994241 0.04005759]
0.0	[0.80532582 0.19467418]
0.0	[0.9115284 0.0884716]
1.0	[0.16037519 0.83962481]
0.0	[0.96463029 0.03536971]
0.0	[0.97833085 0.02166915]
0.0	[0.98485446 0.01514554]
1.0	[0.06231368 0.93768632]
0.0	[0.79077047 0.20922953]
0.0	[0.97882385 0.02117615]
0.0	[0.93516579 0.06483421]
0.0	[0.94602703 0.05397297]
0.0	[0.93886096 0.06113904]
0.0	[0.97851093 0.02148907]
0.0	[0.95530209 0.04469791]
0.0	[0.97599274 0.02400726]
0.0	[0.93851408 0.06148592]
0.0	[0.95615032 0.04384968]
1.0	[0.06748379 0.93251621]
0.0	[0.84903437 0.15096563]
0.0	[0.96678896 0.03321104]
1.0	[0.03649056 0.96350944]
0.0	[0.62682368 0.37317632]
0.0	[0.94437371 0.05562629]
1.0	[0.25280913 0.74719087]
0.0	[0.97564721 0.02435279]
0.0	[0.9575235 0.0424765]
0.0	[0.92855748 0.07144252]
0.0	[0.9141411 0.0858589]
0.0	[0.91759541 0.08240459]
1.0	[0.24324292 0.75675708]
1.0	[0.32327784 0.67672216]
0.0	[0.59217432 0.40782568]
0.0	[0.83043356 0.16956644]
0.0	[0.82808775 0.17191225]
0.0	[0.89892799 0.10107201]
1.0	[0.49216955 0.50783045]
1.0	[0.30546922 0.69453078]
1.0	[0.06317572 0.93682428]
1.0	[0.33781219 0.66218781]
1.0	[0.25097292 0.74902708]
1.0	[0.30040285 0.69959715]
1.0	[0.46988192 0.53011808]
0.0	[0.94098097 0.05901903]
0.0	[0.98451543 0.01548457]
0.0	[0.8450639 0.1549361]
0.0	[0.95731866 0.04268134]
0.0	[0.97325986 0.02674014]
1.0	[0.34530409 0.65469591]
1.0	[0.10593039 0.89406961]
0.0	[0.94165049 0.05834951]
0.0	[0.97775151 0.02224849]
0.0	[0.93083203 0.06916797]
0.0	[0.97872182 0.02127818]
0.0	[0.96057572 0.03942428]
0.0	[0.88434674 0.11565326]
1.0	[0.23983278 0.76016722]
0.0	[0.949174 0.050826]
0.0	[0.78265365 0.21734635]
0.0	[0.92212051 0.07787949]
0.0	[0.97350017 0.02649983]
0.0	[0.84182494 0.15817506]
0.0	[0.96906865 0.03093135]
0.0	[0.93440869 0.06559131]
1.0	[0.32451954 0.67548046]
1.0	[0.38058103 0.61941897]
1.0	[0.11183332 0.88816668]
1.0	[0.06208553 0.93791447]
0.0	[0.56536652 0.43463348]
1.0	[0.38172288 0.61827712]
0.0	[0.85840104 0.14159896]
1.0	[0.17891156 0.82108844]
1.0	[0.30034326 0.69965674]
0.0	[0.95024647 0.04975353]
0.0	[0.97233303 0.02766697]
0.0	[0.92247824 0.07752176]
0.0	[0.96270467 0.03729533]
