#ypred	ypred_prob
1.0	[0.29334551 0.70665449]
0.0	[0.82727955 0.17272045]
0.0	[0.88554689 0.11445311]
0.0	[0.66319621 0.33680379]
0.0	[0.85808992 0.14191008]
0.0	[0.85144489 0.14855511]
0.0	[0.83536847 0.16463153]
0.0	[0.8512479 0.1487521]
0.0	[0.77044004 0.22955996]
0.0	[0.69842833 0.30157167]
1.0	[0.30429992 0.69570008]
0.0	[0.84108739 0.15891261]
0.0	[0.87760353 0.12239647]
0.0	[0.87240966 0.12759034]
0.0	[0.62908191 0.37091809]
0.0	[0.67683722 0.32316278]
0.0	[0.87806199 0.12193801]
0.0	[0.81818537 0.18181463]
0.0	[0.88781303 0.11218697]
0.0	[0.73967955 0.26032045]
0.0	[0.72855399 0.27144601]
0.0	[0.69600574 0.30399426]
0.0	[0.58849894 0.41150106]
0.0	[0.7946697 0.2053303]
0.0	[0.69241898 0.30758102]
0.0	[0.77484513 0.22515487]
0.0	[0.74245942 0.25754058]
0.0	[0.90680111 0.09319889]
0.0	[0.78911615 0.21088385]
1.0	[0.18898163 0.81101837]
0.0	[0.79825913 0.20174087]
0.0	[0.71371155 0.28628845]
0.0	[0.76444807 0.23555193]
0.0	[0.82818334 0.17181666]
0.0	[0.69578308 0.30421692]
0.0	[0.75535589 0.24464411]
0.0	[0.7478901 0.2521099]
0.0	[0.76934829 0.23065171]
0.0	[0.89522569 0.10477431]
1.0	[0.46366518 0.53633482]
1.0	[0.22881432 0.77118568]
0.0	[0.67351594 0.32648406]
0.0	[0.7936121 0.2063879]
0.0	[0.91168494 0.08831506]
0.0	[0.8645015 0.1354985]
1.0	[0.46489503 0.53510497]
0.0	[0.90962203 0.09037797]
1.0	[0.43321686 0.56678314]
0.0	[0.70127207 0.29872793]
0.0	[0.71036068 0.28963932]
0.0	[0.75118247 0.24881753]
1.0	[0.29604451 0.70395549]
1.0	[0.25522571 0.74477429]
0.0	[0.73374566 0.26625434]
0.0	[0.78153133 0.21846867]
0.0	[0.82194727 0.17805273]
0.0	[0.81475727 0.18524273]
0.0	[0.55648528 0.44351472]
0.0	[0.58126736 0.41873264]
1.0	[0.40926479 0.59073521]
0.0	[0.93777625 0.06222375]
0.0	[0.76646383 0.23353617]
1.0	[0.26645341 0.73354659]
1.0	[0.35033463 0.64966537]
1.0	[0.19856211 0.80143789]
0.0	[0.75375179 0.24624821]
0.0	[0.84159481 0.15840519]
0.0	[0.79999691 0.20000309]
0.0	[0.68230787 0.31769213]
0.0	[0.88492838 0.11507162]
0.0	[0.773794 0.226206]
0.0	[0.92439508 0.07560492]
1.0	[0.4455181 0.5544819]
