#ypred	ypred_prob
0.0	[0.50545571 0.49454429]
0.0	[0.69425609 0.30574391]
0.0	[0.70371096 0.29628904]
0.0	[0.51520823 0.48479177]
0.0	[0.50962179 0.49037821]
0.0	[0.66450838 0.33549162]
0.0	[0.51344152 0.48655848]
0.0	[0.5008444 0.4991556]
0.0	[0.50998237 0.49001763]
0.0	[0.71095439 0.28904561]
0.0	[0.57628363 0.42371637]
0.0	[0.5132089 0.4867911]
0.0	[0.69723645 0.30276355]
0.0	[0.5095175 0.4904825]
0.0	[0.7011295 0.2988705]
0.0	[0.50673871 0.49326129]
0.0	[0.58961266 0.41038734]
0.0	[0.5849135 0.4150865]
0.0	[0.50777536 0.49222464]
0.0	[0.56321665 0.43678335]
0.0	[0.50689904 0.49310096]
0.0	[0.72852324 0.27147676]
0.0	[0.50976193 0.49023807]
0.0	[0.50936433 0.49063567]
0.0	[0.57071447 0.42928553]
0.0	[0.51168421 0.48831579]
0.0	[0.51944621 0.48055379]
1.0	[0.44337184 0.55662816]
0.0	[0.55970514 0.44029486]
0.0	[0.71928665 0.28071335]
0.0	[0.57963319 0.42036681]
0.0	[0.51518379 0.48481621]
0.0	[0.61975432 0.38024568]
0.0	[0.6844518 0.3155482]
0.0	[0.51180502 0.48819498]
0.0	[0.5648482 0.4351518]
0.0	[0.50425025 0.49574975]
0.0	[0.52242799 0.47757201]
0.0	[0.72880649 0.27119351]
0.0	[0.51932459 0.48067541]
0.0	[0.59602524 0.40397476]
0.0	[0.51923752 0.48076248]
0.0	[0.71141414 0.28858586]
0.0	[0.5419796 0.4580204]
0.0	[0.51276001 0.48723999]
0.0	[0.51047596 0.48952404]
0.0	[0.7193447 0.2806553]
0.0	[0.71363456 0.28636544]
0.0	[0.59802756 0.40197244]
0.0	[0.60074343 0.39925657]
0.0	[0.51415149 0.48584851]
0.0	[0.51616002 0.48383998]
0.0	[0.57176541 0.42823459]
0.0	[0.59210418 0.40789582]
0.0	[0.60090328 0.39909672]
0.0	[0.50943966 0.49056034]
0.0	[0.68466156 0.31533844]
0.0	[0.54721744 0.45278256]
0.0	[0.69103016 0.30896984]
0.0	[0.56511879 0.43488121]
1.0	[0.33491549 0.66508451]
0.0	[0.51937623 0.48062377]
0.0	[0.72838796 0.27161204]
0.0	[0.62286277 0.37713723]
0.0	[0.57896399 0.42103601]
0.0	[0.50177261 0.49822739]
0.0	[0.50947226 0.49052774]
0.0	[0.71702771 0.28297229]
1.0	[0.45424447 0.54575553]
0.0	[0.51577718 0.48422282]
0.0	[0.53870981 0.46129019]
0.0	[0.51810219 0.48189781]
0.0	[0.51312058 0.48687942]
0.0	[0.57406979 0.42593021]
0.0	[0.70753701 0.29246299]
0.0	[0.50560739 0.49439261]
0.0	[0.59512447 0.40487553]
0.0	[0.5857169 0.4142831]
0.0	[0.55029465 0.44970535]
0.0	[0.72791513 0.27208487]
0.0	[0.51558215 0.48441785]
0.0	[0.6209922 0.3790078]
1.0	[0.32973044 0.67026956]
0.0	[0.52073637 0.47926363]
0.0	[0.51459792 0.48540208]
0.0	[0.51375221 0.48624779]
0.0	[0.71014572 0.28985428]
0.0	[0.50231941 0.49768059]
0.0	[0.51165639 0.48834361]
0.0	[0.50246014 0.49753986]
0.0	[0.5003628 0.4996372]
0.0	[0.5144248 0.4855752]
0.0	[0.51418207 0.48581793]
0.0	[0.50911676 0.49088324]
0.0	[0.50397278 0.49602722]
0.0	[0.59947732 0.40052268]
1.0	[0.33238283 0.66761717]
1.0	[0.44174084 0.55825916]
0.0	[0.52390864 0.47609136]
0.0	[0.70230588 0.29769412]
0.0	[0.72522271 0.27477729]
0.0	[0.71763113 0.28236887]
0.0	[0.56960115 0.43039885]
0.0	[0.50083094 0.49916906]
0.0	[0.54178687 0.45821313]
0.0	[0.53940873 0.46059127]
0.0	[0.71598961 0.28401039]
0.0	[0.50178339 0.49821661]
0.0	[0.51769053 0.48230947]
0.0	[0.54738585 0.45261415]
0.0	[0.70567634 0.29432366]
0.0	[0.51595973 0.48404027]
0.0	[0.5238003 0.4761997]
0.0	[0.51015819 0.48984181]
0.0	[0.51566965 0.48433035]
0.0	[0.51493812 0.48506188]
0.0	[0.53579134 0.46420866]
0.0	[0.50056378 0.49943622]
0.0	[0.59606349 0.40393651]
0.0	[0.62702457 0.37297543]
0.0	[0.56317067 0.43682933]
0.0	[0.71361115 0.28638885]
0.0	[0.50979804 0.49020196]
0.0	[0.58337452 0.41662548]
0.0	[0.50657216 0.49342784]
0.0	[0.52504173 0.47495827]
0.0	[0.50605144 0.49394856]
0.0	[0.7112882 0.2887118]
0.0	[0.51959003 0.48040997]
0.0	[0.51804308 0.48195692]
0.0	[0.50868729 0.49131271]
0.0	[0.71553546 0.28446454]
0.0	[0.59851626 0.40148374]
0.0	[0.71149065 0.28850935]
0.0	[0.52143927 0.47856073]
0.0	[0.58082336 0.41917664]
0.0	[0.59359517 0.40640483]
1.0	[0.32262084 0.67737916]
0.0	[0.72362744 0.27637256]
0.0	[0.70981298 0.29018702]
0.0	[0.51584482 0.48415518]
0.0	[0.50209606 0.49790394]
0.0	[0.59431317 0.40568683]
0.0	[0.50945246 0.49054754]
0.0	[0.50647249 0.49352751]
0.0	[0.51394383 0.48605617]
0.0	[0.71105162 0.28894838]
0.0	[0.70978151 0.29021849]
0.0	[0.53753889 0.46246111]
0.0	[0.5006949 0.4993051]
0.0	[0.5058282 0.4941718]
0.0	[0.52342002 0.47657998]
0.0	[0.51395078 0.48604922]
0.0	[0.71325296 0.28674704]
0.0	[0.50735095 0.49264905]
1.0	[0.33336459 0.66663541]
0.0	[0.59776363 0.40223637]
0.0	[0.50633628 0.49366372]
0.0	[0.50757526 0.49242474]
0.0	[0.69877236 0.30122764]
0.0	[0.56286003 0.43713997]
0.0	[0.52092698 0.47907302]
0.0	[0.52816148 0.47183852]
0.0	[0.58497772 0.41502228]
0.0	[0.52847913 0.47152087]
0.0	[0.52702446 0.47297554]
1.0	[0.32987493 0.67012507]
0.0	[0.7178414 0.2821586]
0.0	[0.55496559 0.44503441]
0.0	[0.71147223 0.28852777]
0.0	[0.51133682 0.48866318]
0.0	[0.52488557 0.47511443]
0.0	[0.51176824 0.48823176]
0.0	[0.71125282 0.28874718]
0.0	[0.56915094 0.43084906]
0.0	[0.51333803 0.48666197]
0.0	[0.59771502 0.40228498]
