#ypred	ypred_prob
0.0	[0.70414223 0.29585777]
0.0	[0.70780303 0.29219697]
0.0	[0.71156536 0.28843464]
0.0	[0.70651319 0.29348681]
0.0	[0.70538787 0.29461213]
0.0	[0.71693494 0.28306506]
0.0	[0.70871644 0.29128356]
0.0	[0.70117019 0.29882981]
0.0	[0.70617552 0.29382448]
0.0	[0.71329332 0.28670668]
0.0	[0.71150114 0.28849886]
0.0	[0.7101765 0.2898235]
0.0	[0.70979727 0.29020273]
0.0	[0.70430145 0.29569855]
0.0	[0.71237728 0.28762272]
0.0	[0.7057555 0.2942445]
0.0	[0.71281488 0.28718512]
0.0	[0.7102779 0.2897221]
0.0	[0.70527272 0.29472728]
0.0	[0.71122284 0.28877716]
0.0	[0.7050893 0.2949107]
0.0	[0.71651818 0.28348182]
0.0	[0.70914981 0.29085019]
0.0	[0.70728563 0.29271437]
0.0	[0.71126676 0.28873324]
0.0	[0.70328737 0.29671263]
0.0	[0.70472744 0.29527256]
0.0	[0.67408284 0.32591716]
0.0	[0.71201436 0.28798564]
0.0	[0.71706754 0.28293246]
0.0	[0.70915266 0.29084734]
0.0	[0.70963006 0.29036994]
0.0	[0.7121521 0.2878479]
0.0	[0.71160583 0.28839417]
0.0	[0.70728838 0.29271162]
0.0	[0.71052368 0.28947632]
0.0	[0.70485026 0.29514974]
0.0	[0.70483316 0.29516684]
0.0	[0.71663638 0.28336362]
0.0	[0.70407879 0.29592121]
0.0	[0.71459082 0.28540918]
0.0	[0.70789808 0.29210192]
0.0	[0.71334468 0.28665532]
0.0	[0.70559475 0.29440525]
0.0	[0.70358757 0.29641243]
0.0	[0.70656356 0.29343644]
0.0	[0.7163999 0.2836001]
0.0	[0.71667546 0.28332454]
0.0	[0.71042625 0.28957375]
0.0	[0.71394824 0.28605176]
0.0	[0.70442731 0.29557269]
0.0	[0.70879691 0.29120309]
0.0	[0.70766652 0.29233348]
0.0	[0.71248698 0.28751302]
0.0	[0.71527918 0.28472082]
0.0	[0.70627407 0.29372593]
0.0	[0.71270631 0.28729369]
0.0	[0.70750889 0.29249111]
0.0	[0.71144526 0.28855474]
0.0	[0.70838368 0.29161632]
0.0	[0.66776723 0.33223277]
0.0	[0.71057647 0.28942353]
0.0	[0.7168471 0.2831529]
0.0	[0.71044616 0.28955384]
0.0	[0.71536973 0.28463027]
0.0	[0.70676643 0.29323357]
0.0	[0.7006821 0.2993179]
0.0	[0.71290177 0.28709823]
0.0	[0.67355881 0.32644119]
0.0	[0.70596913 0.29403087]
0.0	[0.70708192 0.29291808]
0.0	[0.70589627 0.29410373]
0.0	[0.70701541 0.29298459]
0.0	[0.71164275 0.28835725]
0.0	[0.71379203 0.28620797]
0.0	[0.70432213 0.29567787]
0.0	[0.71062002 0.28937998]
0.0	[0.71597383 0.28402617]
0.0	[0.71381417 0.28618583]
0.0	[0.71534233 0.28465767]
0.0	[0.70731829 0.29268171]
0.0	[0.70693229 0.29306771]
0.0	[0.66056091 0.33943909]
0.0	[0.70603312 0.29396688]
0.0	[0.70628137 0.29371863]
0.0	[0.70570335 0.29429665]
0.0	[0.71262207 0.28737793]
0.0	[0.70112272 0.29887728]
0.0	[0.70083969 0.29916031]
0.0	[0.70394651 0.29605349]
0.0	[0.70521995 0.29478005]
0.0	[0.70769409 0.29230591]
0.0	[0.70488081 0.29511919]
0.0	[0.70575142 0.29424858]
0.0	[0.70511973 0.29488027]
0.0	[0.71229564 0.28770436]
0.0	[0.65967816 0.34032184]
0.0	[0.67769063 0.32230937]
0.0	[0.70856853 0.29143147]
0.0	[0.71130546 0.28869454]
0.0	[0.71588533 0.28411467]
0.0	[0.71579292 0.28420708]
0.0	[0.71010487 0.28989513]
0.0	[0.70340896 0.29659104]
0.0	[0.70796102 0.29203898]
0.0	[0.71082712 0.28917288]
0.0	[0.71679088 0.28320912]
0.0	[0.70270121 0.29729879]
0.0	[0.70700764 0.29299236]
0.0	[0.70698168 0.29301832]
0.0	[0.70742459 0.29257541]
0.0	[0.70656546 0.29343454]
0.0	[0.70701098 0.29298902]
0.0	[0.70857019 0.29142981]
0.0	[0.70838684 0.29161316]
0.0	[0.70344535 0.29655465]
0.0	[0.71011424 0.28988576]
0.0	[0.70057875 0.29942125]
0.0	[0.71289741 0.28710259]
0.0	[0.71082272 0.28917728]
0.0	[0.70983478 0.29016522]
0.0	[0.71420108 0.28579892]
0.0	[0.70778856 0.29221144]
0.0	[0.71465903 0.28534097]
0.0	[0.70124819 0.29875181]
0.0	[0.70801292 0.29198708]
0.0	[0.70427257 0.29572743]
0.0	[0.71342609 0.28657391]
0.0	[0.70628275 0.29371725]
0.0	[0.70596866 0.29403134]
0.0	[0.70236868 0.29763132]
0.0	[0.71529689 0.28470311]
0.0	[0.71398583 0.28601417]
0.0	[0.71351872 0.28648128]
0.0	[0.70853431 0.29146569]
0.0	[0.71323786 0.28676214]
0.0	[0.71286037 0.28713963]
0.0	[0.64900701 0.35099299]
0.0	[0.7160003 0.2839997]
0.0	[0.71412025 0.28587975]
0.0	[0.70587486 0.29412514]
0.0	[0.70140893 0.29859107]
0.0	[0.71318485 0.28681515]
0.0	[0.70166871 0.29833129]
0.0	[0.70306927 0.29693073]
0.0	[0.7079832 0.2920168]
0.0	[0.71350512 0.28649488]
0.0	[0.71352067 0.28647933]
0.0	[0.70891625 0.29108375]
0.0	[0.70057263 0.29942737]
0.0	[0.70466556 0.29533444]
0.0	[0.70613199 0.29386801]
0.0	[0.7070048 0.2929952]
0.0	[0.7115521 0.2884479]
0.0	[0.70815417 0.29184583]
0.0	[0.65800493 0.34199507]
0.0	[0.71181367 0.28818633]
0.0	[0.70212417 0.29787583]
0.0	[0.70453731 0.29546269]
0.0	[0.71239491 0.28760509]
0.0	[0.71107172 0.28892828]
0.0	[0.707131 0.292869]
0.0	[0.70521949 0.29478051]
0.0	[0.71482433 0.28517567]
0.0	[0.70317777 0.29682223]
0.0	[0.70583831 0.29416169]
0.0	[0.65507234 0.34492766]
0.0	[0.71688193 0.28311807]
0.0	[0.70541481 0.29458519]
0.0	[0.71351859 0.28648141]
0.0	[0.70881867 0.29118133]
0.0	[0.70824379 0.29175621]
0.0	[0.7044857 0.2955143]
0.0	[0.71161767 0.28838233]
0.0	[0.70783237 0.29216763]
0.0	[0.70383707 0.29616293]
0.0	[0.71544616 0.28455384]
0.0	[0.7017588 0.2982412]
0.0	[0.70709265 0.29290735]
0.0	[0.7012627 0.2987373]
0.0	[0.71264822 0.28735178]
0.0	[0.7067238 0.2932762]
0.0	[0.71201577 0.28798423]
0.0	[0.70565539 0.29434461]
0.0	[0.71543096 0.28456904]
0.0	[0.7093022 0.2906978]
0.0	[0.71313085 0.28686915]
0.0	[0.7082553 0.2917447]
0.0	[0.71190996 0.28809004]
0.0	[0.71161196 0.28838804]
0.0	[0.71040023 0.28959977]
0.0	[0.70820337 0.29179663]
0.0	[0.71121744 0.28878256]
0.0	[0.71096751 0.28903249]
0.0	[0.707697 0.292303]
0.0	[0.71366214 0.28633786]
0.0	[0.70414187 0.29585813]
0.0	[0.7036581 0.2963419]
0.0	[0.71241595 0.28758405]
0.0	[0.70729609 0.29270391]
0.0	[0.6490057 0.3509943]
0.0	[0.66344229 0.33655771]
0.0	[0.6601663 0.3398337]
0.0	[0.70497873 0.29502127]
