#ypred	ypred_prob
0.0	[0.88136818 0.11863182]
0.0	[0.91883754 0.08116246]
0.0	[0.91050955 0.08949045]
0.0	[0.89380495 0.10619505]
0.0	[0.86498095 0.13501905]
0.0	[0.6966011 0.3033989]
0.0	[0.86225445 0.13774555]
0.0	[0.87755011 0.12244989]
0.0	[0.85025507 0.14974493]
0.0	[0.89543903 0.10456097]
0.0	[0.89862975 0.10137025]
0.0	[0.86286965 0.13713035]
0.0	[0.90846919 0.09153081]
0.0	[0.90064828 0.09935172]
0.0	[0.88524324 0.11475676]
0.0	[0.85345832 0.14654168]
0.0	[0.8609638 0.1390362]
0.0	[0.86964973 0.13035027]
0.0	[0.89117405 0.10882595]
0.0	[0.8954428 0.1045572]
0.0	[0.87607365 0.12392635]
0.0	[0.89900067 0.10099933]
0.0	[0.87099739 0.12900261]
0.0	[0.85165207 0.14834793]
0.0	[0.85536894 0.14463106]
0.0	[0.87248892 0.12751108]
0.0	[0.9132898 0.0867102]
0.0	[0.91893 0.08107]
0.0	[0.75818735 0.24181265]
0.0	[0.89911983 0.10088017]
0.0	[0.77512133 0.22487867]
0.0	[0.85991237 0.14008763]
0.0	[0.80939611 0.19060389]
0.0	[0.89667948 0.10332052]
0.0	[0.8685062 0.1314938]
0.0	[0.83828569 0.16171431]
0.0	[0.8835168 0.1164832]
0.0	[0.86866978 0.13133022]
0.0	[0.91294067 0.08705933]
0.0	[0.87702954 0.12297046]
0.0	[0.88755881 0.11244119]
0.0	[0.7911064 0.2088936]
0.0	[0.90274816 0.09725184]
0.0	[0.89764711 0.10235289]
0.0	[0.83505424 0.16494576]
0.0	[0.87259179 0.12740821]
0.0	[0.89283483 0.10716517]
0.0	[0.89930851 0.10069149]
0.0	[0.79371667 0.20628333]
0.0	[0.86510244 0.13489756]
0.0	[0.87093828 0.12906172]
0.0	[0.88942741 0.11057259]
0.0	[0.83213081 0.16786919]
0.0	[0.86594611 0.13405389]
0.0	[0.806248 0.193752]
0.0	[0.88176606 0.11823394]
0.0	[0.85740654 0.14259346]
0.0	[0.89494602 0.10505398]
0.0	[0.88858542 0.11141458]
0.0	[0.87116561 0.12883439]
0.0	[0.90822274 0.09177726]
0.0	[0.82875604 0.17124396]
0.0	[0.90424224 0.09575776]
0.0	[0.85793658 0.14206342]
0.0	[0.86865681 0.13134319]
0.0	[0.8641839 0.1358161]
0.0	[0.87609259 0.12390741]
0.0	[0.89246454 0.10753546]
0.0	[0.91274086 0.08725914]
0.0	[0.79869249 0.20130751]
0.0	[0.78293239 0.21706761]
0.0	[0.85567772 0.14432228]
0.0	[0.84648576 0.15351424]
0.0	[0.87161572 0.12838428]
0.0	[0.90828142 0.09171858]
0.0	[0.87709267 0.12290733]
0.0	[0.89916833 0.10083167]
0.0	[0.80787837 0.19212163]
0.0	[0.77071843 0.22928157]
0.0	[0.9120519 0.0879481]
0.0	[0.83298136 0.16701864]
0.0	[0.86765916 0.13234084]
0.0	[0.86636374 0.13363626]
0.0	[0.86024891 0.13975109]
0.0	[0.84706863 0.15293137]
0.0	[0.90993837 0.09006163]
0.0	[0.86266187 0.13733813]
0.0	[0.850153 0.149847]
0.0	[0.88333675 0.11666325]
0.0	[0.8964771 0.1035229]
0.0	[0.88755775 0.11244225]
0.0	[0.89422469 0.10577531]
0.0	[0.86740465 0.13259535]
0.0	[0.88972883 0.11027117]
0.0	[0.8541368 0.1458632]
0.0	[0.91225909 0.08774091]
0.0	[0.89143896 0.10856104]
0.0	[0.88615518 0.11384482]
0.0	[0.89938563 0.10061437]
0.0	[0.91977552 0.08022448]
0.0	[0.90700142 0.09299858]
0.0	[0.75901587 0.24098413]
