#ypred	ypred_prob
0.0	[0.7167484 0.2832516]
0.0	[0.67901165 0.32098835]
0.0	[0.70822631 0.29177369]
0.0	[0.67933733 0.32066267]
0.0	[0.70880569 0.29119431]
0.0	[0.67454901 0.32545099]
0.0	[0.70674642 0.29325358]
0.0	[0.71595462 0.28404538]
0.0	[0.67775179 0.32224821]
0.0	[0.68456518 0.31543482]
0.0	[0.70857302 0.29142698]
0.0	[0.69071588 0.30928412]
0.0	[0.70476635 0.29523365]
0.0	[0.69254593 0.30745407]
0.0	[0.6894996 0.3105004]
0.0	[0.70461612 0.29538388]
0.0	[0.70912883 0.29087117]
0.0	[0.71346539 0.28653461]
0.0	[0.70408491 0.29591509]
0.0	[0.69565876 0.30434124]
0.0	[0.688859 0.311141]
0.0	[0.71380454 0.28619546]
0.0	[0.68419403 0.31580597]
0.0	[0.69348466 0.30651534]
0.0	[0.70829651 0.29170349]
0.0	[0.71674658 0.28325342]
0.0	[0.69156499 0.30843501]
0.0	[0.69095141 0.30904859]
0.0	[0.7114356 0.2885644]
0.0	[0.70813187 0.29186813]
0.0	[0.71152724 0.28847276]
0.0	[0.71201428 0.28798572]
0.0	[0.71065106 0.28934894]
0.0	[0.70678387 0.29321613]
0.0	[0.69008637 0.30991363]
0.0	[0.69697749 0.30302251]
0.0	[0.70090965 0.29909035]
0.0	[0.69344757 0.30655243]
0.0	[0.67839784 0.32160216]
0.0	[0.68960141 0.31039859]
0.0	[0.67174625 0.32825375]
0.0	[0.71515276 0.28484724]
0.0	[0.69311174 0.30688826]
0.0	[0.69647449 0.30352551]
0.0	[0.70843414 0.29156586]
0.0	[0.69837104 0.30162896]
0.0	[0.68932239 0.31067761]
0.0	[0.69766212 0.30233788]
0.0	[0.7117558 0.2882442]
0.0	[0.68644814 0.31355186]
0.0	[0.70223612 0.29776388]
0.0	[0.68055737 0.31944263]
0.0	[0.68481038 0.31518962]
0.0	[0.69332281 0.30667719]
0.0	[0.70798962 0.29201038]
0.0	[0.7045302 0.2954698]
0.0	[0.69921455 0.30078545]
0.0	[0.7079236 0.2920764]
0.0	[0.69590146 0.30409854]
0.0	[0.66885886 0.33114114]
0.0	[0.7070716 0.2929284]
0.0	[0.71138744 0.28861256]
0.0	[0.71212398 0.28787602]
0.0	[0.71115957 0.28884043]
0.0	[0.67484023 0.32515977]
0.0	[0.69283705 0.30716295]
0.0	[0.70156991 0.29843009]
0.0	[0.69551568 0.30448432]
0.0	[0.69837764 0.30162236]
0.0	[0.69658768 0.30341232]
0.0	[0.68329397 0.31670603]
0.0	[0.6927333 0.3072667]
0.0	[0.71661063 0.28338937]
0.0	[0.67882045 0.32117955]
0.0	[0.70485924 0.29514076]
0.0	[0.69965212 0.30034788]
0.0	[0.67456718 0.32543282]
0.0	[0.69276755 0.30723245]
0.0	[0.68251796 0.31748204]
0.0	[0.67666559 0.32333441]
0.0	[0.69709302 0.30290698]
0.0	[0.685284 0.314716]
0.0	[0.69832408 0.30167592]
0.0	[0.70381654 0.29618346]
0.0	[0.69453894 0.30546106]
0.0	[0.6870525 0.3129475]
0.0	[0.68629275 0.31370725]
0.0	[0.69016935 0.30983065]
0.0	[0.67571766 0.32428234]
0.0	[0.70315093 0.29684907]
0.0	[0.69155825 0.30844175]
0.0	[0.70286506 0.29713494]
0.0	[0.70119083 0.29880917]
0.0	[0.69772256 0.30227744]
0.0	[0.70802524 0.29197476]
0.0	[0.71037549 0.28962451]
0.0	[0.71435719 0.28564281]
0.0	[0.67405159 0.32594841]
0.0	[0.70413184 0.29586816]
0.0	[0.70525538 0.29474462]
0.0	[0.71058167 0.28941833]
0.0	[0.69750324 0.30249676]
0.0	[0.70246574 0.29753426]
0.0	[0.68818134 0.31181866]
0.0	[0.68816571 0.31183429]
0.0	[0.6988571 0.3011429]
0.0	[0.6676694 0.3323306]
0.0	[0.69585163 0.30414837]
0.0	[0.69061057 0.30938943]
0.0	[0.70348649 0.29651351]
0.0	[0.6884679 0.3115321]
0.0	[0.69015406 0.30984594]
0.0	[0.70209321 0.29790679]
0.0	[0.68378355 0.31621645]
0.0	[0.70856555 0.29143445]
0.0	[0.69782984 0.30217016]
0.0	[0.70359893 0.29640107]
0.0	[0.70935776 0.29064224]
0.0	[0.68458775 0.31541225]
0.0	[0.67528241 0.32471759]
0.0	[0.70913044 0.29086956]
0.0	[0.70405979 0.29594021]
0.0	[0.68096713 0.31903287]
0.0	[0.68012219 0.31987781]
0.0	[0.67172887 0.32827113]
0.0	[0.67272104 0.32727896]
0.0	[0.70063149 0.29936851]
0.0	[0.7141028 0.2858972]
0.0	[0.7060785 0.2939215]
0.0	[0.69362519 0.30637481]
0.0	[0.71012128 0.28987872]
0.0	[0.70602996 0.29397004]
0.0	[0.69901358 0.30098642]
0.0	[0.70734849 0.29265151]
0.0	[0.69028433 0.30971567]
0.0	[0.7096404 0.2903596]
0.0	[0.70124727 0.29875273]
0.0	[0.70074346 0.29925654]
