#ypred	ypred_prob
0.0	[0.64659311 0.35340689]
1.0	[0.4647614 0.5352386]
0.0	[0.51045865 0.48954135]
0.0	[0.50205973 0.49794027]
0.0	[0.56102421 0.43897579]
0.0	[0.58304663 0.41695337]
0.0	[0.56779988 0.43220012]
0.0	[0.52628049 0.47371951]
0.0	[0.64430598 0.35569402]
0.0	[0.53195409 0.46804591]
0.0	[0.52998154 0.47001846]
1.0	[0.47593942 0.52406058]
1.0	[0.49363399 0.50636601]
0.0	[0.53565155 0.46434845]
0.0	[0.50945057 0.49054943]
1.0	[0.41413973 0.58586027]
0.0	[0.52696384 0.47303616]
0.0	[0.51212797 0.48787203]
1.0	[0.44081765 0.55918235]
1.0	[0.47083075 0.52916925]
0.0	[0.53512767 0.46487233]
1.0	[0.48090271 0.51909729]
0.0	[0.52993016 0.47006984]
0.0	[0.5318259 0.4681741]
0.0	[0.50720871 0.49279129]
0.0	[0.5336221 0.4663779]
1.0	[0.4767357 0.5232643]
0.0	[0.54830673 0.45169327]
0.0	[0.52195171 0.47804829]
0.0	[0.54398277 0.45601723]
1.0	[0.46091991 0.53908009]
0.0	[0.5535032 0.4464968]
0.0	[0.58928533 0.41071467]
0.0	[0.51303907 0.48696093]
0.0	[0.57234436 0.42765564]
0.0	[0.55803127 0.44196873]
0.0	[0.53245394 0.46754606]
0.0	[0.52056418 0.47943582]
0.0	[0.54692739 0.45307261]
1.0	[0.49825014 0.50174986]
0.0	[0.52519881 0.47480119]
0.0	[0.57258592 0.42741408]
0.0	[0.60584082 0.39415918]
1.0	[0.4805633 0.5194367]
0.0	[0.51825309 0.48174691]
1.0	[0.49641665 0.50358335]
0.0	[0.5896485 0.4103515]
1.0	[0.4773437 0.5226563]
0.0	[0.57887669 0.42112331]
0.0	[0.53968449 0.46031551]
0.0	[0.63174033 0.36825967]
0.0	[0.58190281 0.41809719]
0.0	[0.56238217 0.43761783]
0.0	[0.50044485 0.49955515]
0.0	[0.57587261 0.42412739]
0.0	[0.59504902 0.40495098]
0.0	[0.56541614 0.43458386]
1.0	[0.41488008 0.58511992]
0.0	[0.59669471 0.40330529]
0.0	[0.55750463 0.44249537]
0.0	[0.60285272 0.39714728]
0.0	[0.58686318 0.41313682]
0.0	[0.5022985 0.4977015]
0.0	[0.59373457 0.40626543]
0.0	[0.5991064 0.4008936]
0.0	[0.58034178 0.41965822]
0.0	[0.50522168 0.49477832]
0.0	[0.56709585 0.43290415]
0.0	[0.52528987 0.47471013]
1.0	[0.45342967 0.54657033]
1.0	[0.47531469 0.52468531]
0.0	[0.52229133 0.47770867]
0.0	[0.52598278 0.47401722]
0.0	[0.55390864 0.44609136]
0.0	[0.57136424 0.42863576]
0.0	[0.51328206 0.48671794]
0.0	[0.51530399 0.48469601]
1.0	[0.46991561 0.53008439]
0.0	[0.52052792 0.47947208]
0.0	[0.57605824 0.42394176]
0.0	[0.60122043 0.39877957]
0.0	[0.56882048 0.43117952]
0.0	[0.51788655 0.48211345]
0.0	[0.62209431 0.37790569]
0.0	[0.6048813 0.3951187]
0.0	[0.53880582 0.46119418]
0.0	[0.51062856 0.48937144]
0.0	[0.57510059 0.42489941]
0.0	[0.55207829 0.44792171]
0.0	[0.54418022 0.45581978]
0.0	[0.63658447 0.36341553]
0.0	[0.54869121 0.45130879]
0.0	[0.54917392 0.45082608]
0.0	[0.56572717 0.43427283]
0.0	[0.53529513 0.46470487]
0.0	[0.50708779 0.49291221]
0.0	[0.54627152 0.45372848]
0.0	[0.54358817 0.45641183]
0.0	[0.53884118 0.46115882]
1.0	[0.43217008 0.56782992]
0.0	[0.51164063 0.48835937]
0.0	[0.55038555 0.44961445]
0.0	[0.6248893 0.3751107]
0.0	[0.55288766 0.44711234]
0.0	[0.55281677 0.44718323]
0.0	[0.61590577 0.38409423]
0.0	[0.56588311 0.43411689]
0.0	[0.58250535 0.41749465]
0.0	[0.51026115 0.48973885]
0.0	[0.55148832 0.44851168]
1.0	[0.4779812 0.5220188]
0.0	[0.56890818 0.43109182]
0.0	[0.55650868 0.44349132]
0.0	[0.58177593 0.41822407]
0.0	[0.56677326 0.43322674]
0.0	[0.55153076 0.44846924]
0.0	[0.53532276 0.46467724]
0.0	[0.59435803 0.40564197]
1.0	[0.46946759 0.53053241]
0.0	[0.57107657 0.42892343]
0.0	[0.53709186 0.46290814]
0.0	[0.56608094 0.43391906]
0.0	[0.5789919 0.4210081]
0.0	[0.53890471 0.46109529]
0.0	[0.55466199 0.44533801]
0.0	[0.54202255 0.45797745]
0.0	[0.52986329 0.47013671]
1.0	[0.43777022 0.56222978]
0.0	[0.51447533 0.48552467]
0.0	[0.54610712 0.45389288]
1.0	[0.47202929 0.52797071]
1.0	[0.46185164 0.53814836]
0.0	[0.55286996 0.44713004]
0.0	[0.55897712 0.44102288]
0.0	[0.51534542 0.48465458]
0.0	[0.61680458 0.38319542]
0.0	[0.54399507 0.45600493]
0.0	[0.59578087 0.40421913]
0.0	[0.52095286 0.47904714]
0.0	[0.61337853 0.38662147]
1.0	[0.47957258 0.52042742]
0.0	[0.54040176 0.45959824]
0.0	[0.58416076 0.41583924]
1.0	[0.45495491 0.54504509]
0.0	[0.53867095 0.46132905]
0.0	[0.57087333 0.42912667]
0.0	[0.53352662 0.46647338]
0.0	[0.58581709 0.41418291]
1.0	[0.49945339 0.50054661]
0.0	[0.5425041 0.4574959]
0.0	[0.54587065 0.45412935]
0.0	[0.52629863 0.47370137]
0.0	[0.64611573 0.35388427]
0.0	[0.59597784 0.40402216]
0.0	[0.59783752 0.40216248]
