#ypred	ypred_prob
0.0	[0.50290661 0.49709339]
0.0	[0.70084381 0.29915619]
0.0	[0.70339891 0.29660109]
0.0	[0.65504524 0.34495476]
0.0	[0.69890339 0.30109661]
0.0	[0.70926495 0.29073505]
0.0	[0.7048409 0.2951591]
0.0	[0.69989479 0.30010521]
0.0	[0.68254993 0.31745007]
0.0	[0.66755021 0.33244979]
0.0	[0.53140401 0.46859599]
0.0	[0.69978293 0.30021707]
0.0	[0.71774902 0.28225098]
0.0	[0.70571001 0.29428999]
0.0	[0.66668818 0.33331182]
0.0	[0.65483621 0.34516379]
0.0	[0.71622151 0.28377849]
0.0	[0.69869385 0.30130615]
0.0	[0.70822113 0.29177887]
0.0	[0.66842304 0.33157696]
0.0	[0.66577629 0.33422371]
0.0	[0.66347352 0.33652648]
0.0	[0.63884892 0.36115108]
0.0	[0.69417065 0.30582935]
0.0	[0.66312087 0.33687913]
0.0	[0.68371064 0.31628936]
0.0	[0.6800439 0.3199561]
0.0	[0.70947603 0.29052397]
0.0	[0.69033031 0.30966969]
0.0	[0.50662038 0.49337962]
0.0	[0.69199909 0.30800091]
0.0	[0.67390819 0.32609181]
0.0	[0.68764446 0.31235554]
0.0	[0.69106269 0.30893731]
0.0	[0.66049808 0.33950192]
0.0	[0.68826579 0.31173421]
0.0	[0.67722339 0.32277661]
0.0	[0.68698211 0.31301789]
0.0	[0.72107902 0.27892098]
0.0	[0.61523344 0.38476656]
0.0	[0.51576223 0.48423777]
0.0	[0.6595822 0.3404178]
0.0	[0.67768087 0.32231913]
0.0	[0.71627878 0.28372122]
0.0	[0.7021932 0.2978068]
0.0	[0.61078147 0.38921853]
0.0	[0.71985777 0.28014223]
0.0	[0.60552793 0.39447207]
0.0	[0.65698888 0.34301112]
0.0	[0.67411841 0.32588159]
0.0	[0.68070506 0.31929494]
0.0	[0.5136759 0.4863241]
0.0	[0.5142178 0.4857822]
0.0	[0.67492111 0.32507889]
0.0	[0.68335704 0.31664296]
0.0	[0.69525942 0.30474058]
0.0	[0.69624645 0.30375355]
0.0	[0.6304108 0.3695892]
0.0	[0.63751273 0.36248727]
0.0	[0.59634301 0.40365699]
0.0	[0.73063775 0.26936225]
0.0	[0.67988143 0.32011857]
0.0	[0.51527839 0.48472161]
0.0	[0.55970907 0.44029093]
0.0	[0.51125522 0.48874478]
0.0	[0.68921659 0.31078341]
0.0	[0.69359584 0.30640416]
0.0	[0.69533992 0.30466008]
0.0	[0.66803338 0.33196662]
0.0	[0.71232516 0.28767484]
0.0	[0.67801463 0.32198537]
0.0	[0.7288444 0.2711556]
0.0	[0.59542401 0.40457599]
0.0	[0.54107748 0.45892252]
0.0	[0.68778592 0.31221408]
0.0	[0.70632337 0.29367663]
0.0	[0.59822389 0.40177611]
0.0	[0.71215177 0.28784823]
0.0	[0.68786645 0.31213355]
0.0	[0.73241156 0.26758844]
