#ypred	ypred_prob
0.0	[0.66255348 0.33744652]
0.0	[0.68374797 0.31625203]
0.0	[0.67084874 0.32915126]
0.0	[0.66215857 0.33784143]
0.0	[0.66337385 0.33662615]
0.0	[0.65537897 0.34462103]
0.0	[0.6605561 0.3394439]
0.0	[0.661924 0.338076]
0.0	[0.66210643 0.33789357]
0.0	[0.6656114 0.3343886]
0.0	[0.66462797 0.33537203]
0.0	[0.66146161 0.33853839]
0.0	[0.68318371 0.31681629]
0.0	[0.66417053 0.33582947]
0.0	[0.6651663 0.3348337]
0.0	[0.66089255 0.33910745]
0.0	[0.66073787 0.33926213]
0.0	[0.66272185 0.33727815]
0.0	[0.66406582 0.33593418]
0.0	[0.66059052 0.33940948]
0.0	[0.66281762 0.33718238]
0.0	[0.66851773 0.33148227]
0.0	[0.6620467 0.3379533]
0.0	[0.66046939 0.33953061]
0.0	[0.66020241 0.33979759]
0.0	[0.66211823 0.33788177]
0.0	[0.66610727 0.33389273]
0.0	[0.68160433 0.31839567]
0.0	[0.65665197 0.34334803]
0.0	[0.66793141 0.33206859]
0.0	[0.65419158 0.34580842]
0.0	[0.66123695 0.33876305]
0.0	[0.65594796 0.34405204]
0.0	[0.66423088 0.33576912]
0.0	[0.65910752 0.34089248]
0.0	[0.66008142 0.33991858]
0.0	[0.66358515 0.33641485]
0.0	[0.66274748 0.33725252]
0.0	[0.66948314 0.33051686]
0.0	[0.66262878 0.33737122]
0.0	[0.6635877 0.3364123]
0.0	[0.65925593 0.34074407]
0.0	[0.66630234 0.33369766]
0.0	[0.66408798 0.33591202]
0.0	[0.65962244 0.34037756]
0.0	[0.66344657 0.33655343]
0.0	[0.66888589 0.33111411]
0.0	[0.66850391 0.33149609]
0.0	[0.66050747 0.33949253]
0.0	[0.66087597 0.33912403]
0.0	[0.66237287 0.33762713]
0.0	[0.66343015 0.33656985]
0.0	[0.65982604 0.34017396]
0.0	[0.66079007 0.33920993]
0.0	[0.65810547 0.34189453]
0.0	[0.66351066 0.33648934]
0.0	[0.65861019 0.34138981]
0.0	[0.66431926 0.33568074]
0.0	[0.66383759 0.33616241]
0.0	[0.66276987 0.33723013]
0.0	[0.68238425 0.31761575]
0.0	[0.65634767 0.34365233]
0.0	[0.66840542 0.33159458]
0.0	[0.65832665 0.34167335]
0.0	[0.66082079 0.33917921]
0.0	[0.66028275 0.33971725]
0.0	[0.66210786 0.33789214]
0.0	[0.66854278 0.33145722]
0.0	[0.67554096 0.32445904]
0.0	[0.65946835 0.34053165]
0.0	[0.65181151 0.34818849]
0.0	[0.66101672 0.33898328]
0.0	[0.6578454 0.3421546]
0.0	[0.66207165 0.33792835]
0.0	[0.66961937 0.33038063]
0.0	[0.66425984 0.33574016]
0.0	[0.66499076 0.33500924]
0.0	[0.65995023 0.34004977]
0.0	[0.65732286 0.34267714]
0.0	[0.67605374 0.32394626]
0.0	[0.66056159 0.33943841]
0.0	[0.65990005 0.34009995]
0.0	[0.68309472 0.31690528]
0.0	[0.66061754 0.33938246]
0.0	[0.65999703 0.34000297]
0.0	[0.67072297 0.32927703]
0.0	[0.66194616 0.33805384]
0.0	[0.66163187 0.33836813]
0.0	[0.66410242 0.33589758]
0.0	[0.66431728 0.33568272]
0.0	[0.66410498 0.33589502]
0.0	[0.66354365 0.33645635]
0.0	[0.6627403 0.3372597]
0.0	[0.66512541 0.33487459]
0.0	[0.66170464 0.33829536]
0.0	[0.68269119 0.31730881]
0.0	[0.67774439 0.32225561]
0.0	[0.66436429 0.33563571]
0.0	[0.66981022 0.33018978]
0.0	[0.67041466 0.32958534]
0.0	[0.66949901 0.33050099]
0.0	[0.65324867 0.34675133]
0.0	[0.64793827 0.35206173]
0.0	[0.66278811 0.33721189]
0.0	[0.65962582 0.34037418]
0.0	[0.66004059 0.33995941]
0.0	[0.65793185 0.34206815]
0.0	[0.65947407 0.34052593]
0.0	[0.68393562 0.31606438]
0.0	[0.66489862 0.33510138]
0.0	[0.66041472 0.33958528]
0.0	[0.66385632 0.33614368]
0.0	[0.65918539 0.34081461]
0.0	[0.6645227 0.3354773]
0.0	[0.66175561 0.33824439]
0.0	[0.66423798 0.33576202]
0.0	[0.66190973 0.33809027]
0.0	[0.65806334 0.34193666]
0.0	[0.66397513 0.33602487]
0.0	[0.6698406 0.3301594]
0.0	[0.66056103 0.33943897]
0.0	[0.64609691 0.35390309]
0.0	[0.65560043 0.34439957]
0.0	[0.66165218 0.33834782]
0.0	[0.65664633 0.34335367]
0.0	[0.66111399 0.33888601]
0.0	[0.66938985 0.33061015]
0.0	[0.66108071 0.33891929]
0.0	[0.65494471 0.34505529]
0.0	[0.6619296 0.3380704]
0.0	[0.66832241 0.33167759]
0.0	[0.66030815 0.33969185]
0.0	[0.66853967 0.33146033]
0.0	[0.65554047 0.34445953]
0.0	[0.66586038 0.33413962]
0.0	[0.66199975 0.33800025]
0.0	[0.68288139 0.31711861]
0.0	[0.67026129 0.32973871]
0.0	[0.65927778 0.34072222]
0.0	[0.66939648 0.33060352]
0.0	[0.65943158 0.34056842]
0.0	[0.66455991 0.33544009]
0.0	[0.66257568 0.33742432]
0.0	[0.6623834 0.3376166]
0.0	[0.66361465 0.33638535]
0.0	[0.65880179 0.34119821]
0.0	[0.66580908 0.33419092]
0.0	[0.66814833 0.33185167]
0.0	[0.66142869 0.33857131]
0.0	[0.66187859 0.33812141]
0.0	[0.6634611 0.3365389]
0.0	[0.66495811 0.33504189]
0.0	[0.66113787 0.33886213]
0.0	[0.67761778 0.32238222]
0.0	[0.66550006 0.33449994]
0.0	[0.68290248 0.31709752]
0.0	[0.66352446 0.33647554]
0.0	[0.66256059 0.33743941]
0.0	[0.66022926 0.33977074]
0.0	[0.66801131 0.33198869]
0.0	[0.66295821 0.33704179]
0.0	[0.66155595 0.33844405]
0.0	[0.66152745 0.33847255]
0.0	[0.66093698 0.33906302]
0.0	[0.66121316 0.33878684]
0.0	[0.66227744 0.33772256]
0.0	[0.68307404 0.31692596]
0.0	[0.66382617 0.33617383]
0.0	[0.66044415 0.33955585]
0.0	[0.66891295 0.33108705]
0.0	[0.66245827 0.33754173]
0.0	[0.65719677 0.34280323]
0.0	[0.66384494 0.33615506]
0.0	[0.67097717 0.32902283]
0.0	[0.66329586 0.33670414]
0.0	[0.66164753 0.33835247]
0.0	[0.65876116 0.34123884]
0.0	[0.66142827 0.33857173]
0.0	[0.661173 0.338827]
0.0	[0.66106105 0.33893895]
0.0	[0.66777925 0.33222075]
0.0	[0.65961068 0.34038932]
0.0	[0.66038283 0.33961717]
0.0	[0.65612437 0.34387563]
0.0	[0.66039981 0.33960019]
0.0	[0.66137336 0.33862664]
0.0	[0.66264767 0.33735233]
0.0	[0.66200526 0.33799474]
0.0	[0.66167306 0.33832694]
0.0	[0.66951497 0.33048503]
0.0	[0.66168223 0.33831777]
0.0	[0.66021156 0.33978844]
0.0	[0.66016062 0.33983938]
0.0	[0.6648002 0.3351998]
0.0	[0.66026529 0.33973471]
0.0	[0.66185414 0.33814586]
0.0	[0.66190938 0.33809062]
0.0	[0.66183755 0.33816245]
0.0	[0.6580391 0.3419609]
0.0	[0.66150202 0.33849798]
0.0	[0.68336564 0.31663436]
0.0	[0.68360028 0.31639972]
0.0	[0.68261925 0.31738075]
0.0	[0.66342068 0.33657932]
0.0	[0.6638449 0.3361551]
0.0	[0.6833612 0.3166388]
0.0	[0.66879649 0.33120351]
0.0	[0.65827209 0.34172791]
0.0	[0.66505951 0.33494049]
0.0	[0.67015701 0.32984299]
0.0	[0.66110527 0.33889473]
0.0	[0.66060705 0.33939295]
0.0	[0.65494867 0.34505133]
0.0	[0.65432558 0.34567442]
0.0	[0.68460972 0.31539028]
0.0	[0.65911415 0.34088585]
0.0	[0.67004527 0.32995473]
0.0	[0.67549444 0.32450556]
0.0	[0.66165465 0.33834535]
0.0	[0.66312309 0.33687691]
0.0	[0.66174197 0.33825803]
0.0	[0.66867304 0.33132696]
0.0	[0.66026126 0.33973874]
0.0	[0.66535029 0.33464971]
0.0	[0.66114687 0.33885313]
0.0	[0.66047556 0.33952444]
0.0	[0.66352132 0.33647868]
0.0	[0.64263345 0.35736655]
0.0	[0.65669657 0.34330343]
0.0	[0.65856719 0.34143281]
0.0	[0.6604817 0.3395183]
0.0	[0.66957253 0.33042747]
