#ypred	ypred_prob
0.0	[0.72141166 0.27858834]
1.0	[0.49040707 0.50959293]
0.0	[0.66548714 0.33451286]
1.0	[0.46460461 0.53539539]
0.0	[0.68083219 0.31916781]
1.0	[0.45319455 0.54680545]
0.0	[0.62790019 0.37209981]
0.0	[0.74379782 0.25620218]
0.0	[0.53327487 0.46672513]
1.0	[0.47873385 0.52126615]
0.0	[0.69030584 0.30969416]
0.0	[0.52709621 0.47290379]
0.0	[0.64907563 0.35092437]
0.0	[0.62780198 0.37219802]
0.0	[0.59799093 0.40200907]
0.0	[0.66719567 0.33280433]
0.0	[0.70313922 0.29686078]
0.0	[0.68172484 0.31827516]
0.0	[0.62759156 0.37240844]
0.0	[0.60939306 0.39060694]
0.0	[0.59087213 0.40912787]
0.0	[0.68185764 0.31814236]
0.0	[0.51405203 0.48594797]
0.0	[0.55463023 0.44536977]
0.0	[0.64845389 0.35154611]
0.0	[0.70474819 0.29525181]
0.0	[0.52509376 0.47490624]
0.0	[0.54805409 0.45194591]
0.0	[0.70292604 0.29707396]
0.0	[0.61306666 0.38693334]
0.0	[0.72516023 0.27483977]
0.0	[0.73185679 0.26814321]
0.0	[0.68299162 0.31700838]
0.0	[0.66877981 0.33122019]
0.0	[0.60166087 0.39833913]
0.0	[0.52927224 0.47072776]
0.0	[0.57663355 0.42336645]
0.0	[0.54541184 0.45458816]
0.0	[0.55592775 0.44407225]
0.0	[0.58766726 0.41233274]
1.0	[0.48005158 0.51994842]
0.0	[0.7077389 0.2922611]
0.0	[0.64967413 0.35032587]
0.0	[0.60623947 0.39376053]
0.0	[0.70313091 0.29686909]
0.0	[0.62185967 0.37814033]
0.0	[0.57999333 0.42000667]
0.0	[0.62458507 0.37541493]
0.0	[0.68711683 0.31288317]
0.0	[0.57151043 0.42848957]
0.0	[0.56674051 0.43325949]
0.0	[0.55724449 0.44275551]
0.0	[0.53996819 0.46003181]
0.0	[0.60279844 0.39720156]
0.0	[0.63922108 0.36077892]
0.0	[0.677299 0.322701]
0.0	[0.57912085 0.42087915]
0.0	[0.67664359 0.32335641]
0.0	[0.59419719 0.40580281]
1.0	[0.46325042 0.53674958]
0.0	[0.6358217 0.3641783]
0.0	[0.7161006 0.2838994]
0.0	[0.68398823 0.31601177]
0.0	[0.71993757 0.28006243]
0.0	[0.53272158 0.46727842]
0.0	[0.5903574 0.4096426]
0.0	[0.6223489 0.3776511]
0.0	[0.56473892 0.43526108]
0.0	[0.64974284 0.35025716]
0.0	[0.60315599 0.39684401]
0.0	[0.50745462 0.49254538]
0.0	[0.56591859 0.43408141]
0.0	[0.69012761 0.30987239]
1.0	[0.48802908 0.51197092]
0.0	[0.66272558 0.33727442]
0.0	[0.63012591 0.36987409]
0.0	[0.51496675 0.48503325]
1.0	[0.49769435 0.50230565]
0.0	[0.5786339 0.4213661]
0.0	[0.50328963 0.49671037]
0.0	[0.59220834 0.40779166]
0.0	[0.56650468 0.43349532]
0.0	[0.62853442 0.37146558]
0.0	[0.62702435 0.37297565]
0.0	[0.61868718 0.38131282]
0.0	[0.62906056 0.37093944]
0.0	[0.50127024 0.49872976]
0.0	[0.56247412 0.43752588]
1.0	[0.48080649 0.51919351]
0.0	[0.63683043 0.36316957]
0.0	[0.61235789 0.38764211]
0.0	[0.67157191 0.32842809]
0.0	[0.66620634 0.33379366]
0.0	[0.66113766 0.33886234]
0.0	[0.69938919 0.30061081]
0.0	[0.63976308 0.36023692]
0.0	[0.71823764 0.28176236]
1.0	[0.49912232 0.50087768]
0.0	[0.66263649 0.33736351]
0.0	[0.68939405 0.31060595]
0.0	[0.69021913 0.30978087]
0.0	[0.65636539 0.34363461]
0.0	[0.63515075 0.36484925]
0.0	[0.62551723 0.37448277]
0.0	[0.59699522 0.40300478]
0.0	[0.58244728 0.41755272]
0.0	[0.50107538 0.49892462]
0.0	[0.63387882 0.36612118]
0.0	[0.61143114 0.38856886]
0.0	[0.6401483 0.3598517]
0.0	[0.56638194 0.43361806]
0.0	[0.56714442 0.43285558]
0.0	[0.66467669 0.33532331]
0.0	[0.5915067 0.4084933]
0.0	[0.68832839 0.31167161]
0.0	[0.66293169 0.33706831]
0.0	[0.66389211 0.33610789]
0.0	[0.66180364 0.33819636]
0.0	[0.55308218 0.44691782]
0.0	[0.52704734 0.47295266]
0.0	[0.7284286 0.2715714]
0.0	[0.69096033 0.30903967]
0.0	[0.54656718 0.45343282]
0.0	[0.51465144 0.48534856]
0.0	[0.53647466 0.46352534]
0.0	[0.51696298 0.48303702]
0.0	[0.58014892 0.41985108]
0.0	[0.66896332 0.33103668]
0.0	[0.6896078 0.3103922]
0.0	[0.56911249 0.43088751]
0.0	[0.70052951 0.29947049]
0.0	[0.71184338 0.28815662]
0.0	[0.65971654 0.34028346]
0.0	[0.68120335 0.31879665]
0.0	[0.617952 0.382048]
0.0	[0.680023 0.319977]
0.0	[0.60618503 0.39381497]
0.0	[0.63437485 0.36562515]
0.0	[0.62198366 0.37801634]
0.0	[0.66860303 0.33139697]
0.0	[0.64345498 0.35654502]
0.0	[0.65988854 0.34011146]
0.0	[0.60139378 0.39860622]
0.0	[0.7138713 0.2861287]
0.0	[0.58694021 0.41305979]
0.0	[0.68017197 0.31982803]
0.0	[0.63353976 0.36646024]
0.0	[0.61796691 0.38203309]
0.0	[0.60935118 0.39064882]
0.0	[0.6463045 0.3536955]
0.0	[0.63026751 0.36973249]
0.0	[0.56285292 0.43714708]
1.0	[0.47847139 0.52152861]
0.0	[0.59475086 0.40524914]
0.0	[0.54178803 0.45821197]
0.0	[0.53381928 0.46618072]
0.0	[0.6106292 0.3893708]
0.0	[0.64313025 0.35686975]
0.0	[0.61426785 0.38573215]
0.0	[0.62330268 0.37669732]
0.0	[0.68674002 0.31325998]
0.0	[0.61969563 0.38030437]
0.0	[0.70680265 0.29319735]
