#ypred	ypred_prob
0.0	[0.75016055 0.24983945]
0.0	[0.76005238 0.23994762]
0.0	[0.76729499 0.23270501]
0.0	[0.77790457 0.22209543]
0.0	[0.73595774 0.26404226]
0.0	[0.7789559 0.2210441]
0.0	[0.76720436 0.23279564]
0.0	[0.76754318 0.23245682]
0.0	[0.77271414 0.22728586]
0.0	[0.77082178 0.22917822]
0.0	[0.73822533 0.26177467]
0.0	[0.77684691 0.22315309]
0.0	[0.75760221 0.24239779]
0.0	[0.74688523 0.25311477]
0.0	[0.76273938 0.23726062]
0.0	[0.66217894 0.33782106]
0.0	[0.74976775 0.25023225]
0.0	[0.76615781 0.23384219]
0.0	[0.76911518 0.23088482]
0.0	[0.76564809 0.23435191]
0.0	[0.6382078 0.3617922]
0.0	[0.7458447 0.2541553]
0.0	[0.76104439 0.23895561]
0.0	[0.76833964 0.23166036]
0.0	[0.75946734 0.24053266]
0.0	[0.74260238 0.25739762]
0.0	[0.74812863 0.25187137]
0.0	[0.76099606 0.23900394]
0.0	[0.77805456 0.22194544]
0.0	[0.76666708 0.23333292]
0.0	[0.75959654 0.24040346]
0.0	[0.68034798 0.31965202]
0.0	[0.76073589 0.23926411]
0.0	[0.77773523 0.22226477]
0.0	[0.74062519 0.25937481]
0.0	[0.77017159 0.22982841]
0.0	[0.71217635 0.28782365]
0.0	[0.74463817 0.25536183]
0.0	[0.76526879 0.23473121]
0.0	[0.73879397 0.26120603]
0.0	[0.77537504 0.22462496]
0.0	[0.76553491 0.23446509]
0.0	[0.62006314 0.37993686]
0.0	[0.74427535 0.25572465]
0.0	[0.77705832 0.22294168]
0.0	[0.77191428 0.22808572]
0.0	[0.75970035 0.24029965]
0.0	[0.76934506 0.23065494]
0.0	[0.77025183 0.22974817]
0.0	[0.77503206 0.22496794]
0.0	[0.74749673 0.25250327]
0.0	[0.76768896 0.23231104]
0.0	[0.6760982 0.3239018]
0.0	[0.7675492 0.2324508]
0.0	[0.76991421 0.23008579]
0.0	[0.64711181 0.35288819]
0.0	[0.73612235 0.26387765]
0.0	[0.74631412 0.25368588]
0.0	[0.7606644 0.2393356]
0.0	[0.77470632 0.22529368]
0.0	[0.74126505 0.25873495]
0.0	[0.66072194 0.33927806]
0.0	[0.77025676 0.22974324]
0.0	[0.76878941 0.23121059]
0.0	[0.77043744 0.22956256]
