#ypred	ypred_prob
1.0	[0.00191799 0.99808201]
1.0	[0.01934789 0.98065211]
1.0	[0.01216768 0.98783232]
1.0	[0.00180171 0.99819829]
1.0	[0.28760142 0.71239858]
1.0	[0.00165286 0.99834714]
1.0	[0.00153247 0.99846753]
1.0	[0.0034226 0.9965774]
1.0	[0.00788007 0.99211993]
1.0	[0.00930116 0.99069884]
1.0	[0.22327113 0.77672887]
0.0	[0.99388772 0.00611228]
1.0	[0.003885 0.996115]
1.0	[0.0163135 0.9836865]
1.0	[0.03760459 0.96239541]
0.0	[0.93931671 0.06068329]
1.0	[0.44102221 0.55897779]
0.0	[0.63286532 0.36713468]
0.0	[0.82742571 0.17257429]
1.0	[0.00353923 0.99646077]
1.0	[0.40757756 0.59242244]
1.0	[0.4805024 0.5194976]
1.0	[0.08360165 0.91639835]
1.0	[0.0025766 0.9974234]
1.0	[0.02328796 0.97671204]
1.0	[0.11508716 0.88491284]
1.0	[0.02109 0.97891]
1.0	[0.41020368 0.58979632]
1.0	[0.44994454 0.55005546]
1.0	[0.01038383 0.98961617]
1.0	[0.12101622 0.87898378]
1.0	[0.29586172 0.70413828]
1.0	[0.03648606 0.96351394]
1.0	[0.00446562 0.99553438]
1.0	[0.2216072 0.7783928]
1.0	[0.08298403 0.91701597]
1.0	[0.02343732 0.97656268]
1.0	[0.024235 0.975765]
1.0	[0.00573797 0.99426203]
1.0	[0.00246356 0.99753644]
1.0	[0.00905987 0.99094013]
1.0	[0.03666462 0.96333538]
1.0	[0.00449596 0.99550404]
1.0	[0.01202936 0.98797064]
1.0	[0.04140262 0.95859738]
1.0	[0.03460699 0.96539301]
1.0	[0.01902821 0.98097179]
1.0	[0.01416857 0.98583143]
1.0	[0.04393154 0.95606846]
0.0	[0.90372299 0.09627701]
1.0	[0.01795625 0.98204375]
1.0	[0.01551536 0.98448464]
1.0	[0.01432687 0.98567313]
1.0	[0.01469132 0.98530868]
1.0	[0.2146283 0.7853717]
0.0	[0.94027563 0.05972437]
1.0	[0.04064481 0.95935519]
0.0	[0.96898744 0.03101256]
1.0	[0.01336225 0.98663775]
1.0	[0.1472229 0.8527771]
1.0	[0.01523856 0.98476144]
0.0	[0.90685559 0.09314441]
0.0	[0.98552395 0.01447605]
1.0	[0.06335097 0.93664903]
1.0	[0.00469934 0.99530066]
0.0	[0.70504491 0.29495509]
1.0	[0.00268168 0.99731832]
1.0	[0.00191716 0.99808284]
1.0	[0.03034549 0.96965451]
1.0	[0.00265026 0.99734974]
1.0	[0.12717205 0.87282795]
1.0	[0.00356383 0.99643617]
1.0	[0.02438316 0.97561684]
1.0	[0.00202036 0.99797964]
1.0	[0.00456444 0.99543556]
1.0	[0.01417996 0.98582004]
0.0	[0.97334998 0.02665002]
1.0	[0.00680113 0.99319887]
1.0	[0.10759596 0.89240404]
1.0	[0.1930398 0.8069602]
1.0	[0.0695474 0.9304526]
1.0	[0.04159351 0.95840649]
0.0	[0.98790984 0.01209016]
1.0	[0.01033458 0.98966542]
1.0	[0.0248541 0.9751459]
1.0	[0.38949175 0.61050825]
1.0	[0.34744603 0.65255397]
0.0	[0.99466572 0.00533428]
0.0	[0.97581464 0.02418536]
1.0	[0.00380042 0.99619958]
0.0	[0.96259506 0.03740494]
0.0	[0.99097041 0.00902959]
0.0	[0.5482312 0.4517688]
1.0	[0.04785305 0.95214695]
1.0	[0.38752681 0.61247319]
1.0	[0.00720547 0.99279453]
0.0	[0.74838524 0.25161476]
0.0	[0.98441788 0.01558212]
1.0	[0.03359312 0.96640688]
0.0	[0.98909221 0.01090779]
1.0	[0.16949674 0.83050326]
1.0	[0.03065597 0.96934403]
1.0	[0.02361247 0.97638753]
0.0	[0.99615106 0.00384894]
1.0	[0.03280801 0.96719199]
1.0	[0.00256322 0.99743678]
0.0	[0.9986997 0.0013003]
1.0	[7.47518388e-04 9.99252482e-01]
1.0	[0.16634382 0.83365618]
1.0	[0.21380938 0.78619062]
1.0	[0.03394451 0.96605549]
0.0	[0.66408902 0.33591098]
0.0	[0.61948007 0.38051993]
1.0	[0.07824172 0.92175828]
1.0	[0.23008019 0.76991981]
0.0	[0.9606989 0.0393011]
1.0	[0.0335827 0.9664173]
1.0	[0.01724671 0.98275329]
1.0	[0.01123921 0.98876079]
0.0	[0.92103481 0.07896519]
1.0	[0.00234983 0.99765017]
1.0	[0.32082197 0.67917803]
0.0	[0.97957925 0.02042075]
0.0	[0.5019539 0.4980461]
0.0	[0.99047953 0.00952047]
0.0	[0.87893804 0.12106196]
0.0	[0.94966039 0.05033961]
1.0	[0.18767094 0.81232906]
1.0	[0.22003418 0.77996582]
0.0	[0.98516775 0.01483225]
1.0	[0.25742951 0.74257049]
0.0	[9.99427173e-01 5.72827367e-04]
0.0	[0.99037986 0.00962014]
0.0	[0.97827772 0.02172228]
0.0	[0.92602315 0.07397685]
0.0	[0.61153106 0.38846894]
1.0	[0.07129472 0.92870528]
1.0	[0.02912101 0.97087899]
1.0	[0.0195821 0.9804179]
1.0	[0.03170422 0.96829578]
1.0	[0.0137175 0.9862825]
1.0	[0.03990365 0.96009635]
1.0	[0.01791683 0.98208317]
1.0	[0.01048432 0.98951568]
1.0	[0.03641907 0.96358093]
1.0	[0.48306544 0.51693456]
1.0	[0.00335757 0.99664243]
1.0	[0.0043862 0.9956138]
0.0	[0.91172255 0.08827745]
0.0	[0.9135893 0.0864107]
1.0	[0.06333662 0.93666338]
1.0	[0.33169353 0.66830647]
0.0	[0.91956305 0.08043695]
0.0	[0.98947426 0.01052574]
0.0	[0.79195964 0.20804036]
1.0	[0.00253248 0.99746752]
0.0	[0.8888624 0.1111376]
1.0	[0.06224643 0.93775357]
1.0	[0.01430688 0.98569312]
1.0	[0.01591018 0.98408982]
1.0	[0.45631456 0.54368544]
1.0	[0.01414171 0.98585829]
1.0	[0.00110292 0.99889708]
0.0	[0.94461615 0.05538385]
1.0	[0.00889663 0.99110337]
1.0	[0.18547924 0.81452076]
0.0	[0.69797279 0.30202721]
1.0	[0.00431344 0.99568656]
1.0	[0.09205087 0.90794913]
0.0	[0.99139175 0.00860825]
1.0	[0.02089892 0.97910108]
0.0	[0.86787108 0.13212892]
1.0	[0.00643551 0.99356449]
1.0	[0.00387112 0.99612888]
1.0	[0.36289787 0.63710213]
1.0	[0.01111056 0.98888944]
1.0	[0.09436442 0.90563558]
1.0	[0.00417481 0.99582519]
1.0	[0.002393 0.997607]
1.0	[0.0022002 0.9977998]
1.0	[0.01022816 0.98977184]
1.0	[0.01249504 0.98750496]
1.0	[0.01122501 0.98877499]
1.0	[0.01063539 0.98936461]
1.0	[0.00568208 0.99431792]
0.0	[0.98423613 0.01576387]
1.0	[0.00702457 0.99297543]
0.0	[0.6899844 0.3100156]
1.0	[0.12357043 0.87642957]
1.0	[0.00138657 0.99861343]
1.0	[0.00638686 0.99361314]
1.0	[0.01063701 0.98936299]
0.0	[0.65895762 0.34104238]
0.0	[0.91133802 0.08866198]
1.0	[0.19418124 0.80581876]
0.0	[0.81929546 0.18070454]
0.0	[0.62427845 0.37572155]
1.0	[0.29328464 0.70671536]
1.0	[0.02290062 0.97709938]
0.0	[0.97517956 0.02482044]
1.0	[0.48027049 0.51972951]
0.0	[0.92597175 0.07402825]
0.0	[0.8799321 0.1200679]
1.0	[0.02046545 0.97953455]
1.0	[0.01451449 0.98548551]
1.0	[0.32042704 0.67957296]
0.0	[0.99670489 0.00329511]
1.0	[0.41842687 0.58157313]
1.0	[0.01622444 0.98377556]
1.0	[0.19798079 0.80201921]
1.0	[0.00121264 0.99878736]
1.0	[0.13653857 0.86346143]
1.0	[0.36644435 0.63355565]
0.0	[0.79984357 0.20015643]
1.0	[0.00183085 0.99816915]
1.0	[0.0071524 0.9928476]
1.0	[0.00605893 0.99394107]
1.0	[0.0080015 0.9919985]
1.0	[0.03612155 0.96387845]
1.0	[0.01789743 0.98210257]
1.0	[0.03315013 0.96684987]
1.0	[0.00593953 0.99406047]
1.0	[0.00558867 0.99441133]
1.0	[0.00339493 0.99660507]
1.0	[0.07105087 0.92894913]
1.0	[0.13688911 0.86311089]
1.0	[0.00654053 0.99345947]
1.0	[0.03186332 0.96813668]
1.0	[7.42265317e-04 9.99257735e-01]
1.0	[0.00877987 0.99122013]
1.0	[0.01486583 0.98513417]
1.0	[0.076398 0.923602]
1.0	[0.16589034 0.83410966]
1.0	[0.00628066 0.99371934]
1.0	[0.015681 0.984319]
1.0	[0.01850265 0.98149735]
1.0	[4.37735416e-04 9.99562265e-01]
1.0	[0.02694006 0.97305994]
1.0	[0.00179074 0.99820926]
0.0	[0.55641004 0.44358996]
1.0	[0.00300683 0.99699317]
1.0	[0.00173164 0.99826836]
0.0	[0.50616484 0.49383516]
1.0	[0.05058678 0.94941322]
1.0	[0.0021153 0.9978847]
1.0	[8.19853261e-04 9.99180147e-01]
1.0	[0.04654813 0.95345187]
1.0	[0.00751709 0.99248291]
1.0	[0.00182633 0.99817367]
1.0	[0.04370407 0.95629593]
1.0	[0.19295377 0.80704623]
1.0	[0.16678286 0.83321714]
0.0	[0.97716238 0.02283762]
1.0	[0.00572186 0.99427814]
1.0	[0.03412601 0.96587399]
1.0	[0.03236321 0.96763679]
1.0	[0.26843986 0.73156014]
1.0	[0.02717555 0.97282445]
1.0	[0.00540352 0.99459648]
0.0	[0.99845384 0.00154616]
1.0	[0.00177628 0.99822372]
1.0	[0.00650138 0.99349862]
1.0	[0.08200964 0.91799036]
1.0	[0.00488311 0.99511689]
1.0	[0.00285465 0.99714535]
1.0	[0.05357945 0.94642055]
1.0	[0.03509565 0.96490435]
1.0	[0.04348362 0.95651638]
0.0	[0.76004194 0.23995806]
1.0	[0.00243775 0.99756225]
1.0	[0.00191936 0.99808064]
1.0	[9.82581940e-04 9.99017418e-01]
1.0	[0.0026876 0.9973124]
1.0	[0.482383 0.517617]
1.0	[0.00245458 0.99754542]
1.0	[0.006396 0.993604]
1.0	[0.00608098 0.99391902]
1.0	[0.00401455 0.99598545]
0.0	[0.551546 0.448454]
1.0	[0.00590483 0.99409517]
1.0	[0.09046787 0.90953213]
0.0	[0.99176067 0.00823933]
1.0	[0.00433977 0.99566023]
1.0	[0.00207366 0.99792634]
1.0	[0.02332426 0.97667574]
1.0	[0.00638627 0.99361373]
1.0	[0.00235843 0.99764157]
1.0	[0.01244047 0.98755953]
1.0	[0.05323211 0.94676789]
1.0	[0.01197296 0.98802704]
1.0	[0.01523631 0.98476369]
0.0	[0.63848394 0.36151606]
1.0	[0.02616936 0.97383064]
1.0	[0.10269693 0.89730307]
0.0	[0.95526106 0.04473894]
1.0	[0.07579222 0.92420778]
1.0	[0.00433261 0.99566739]
1.0	[0.00433797 0.99566203]
1.0	[0.00201988 0.99798012]
0.0	[0.94326891 0.05673109]
1.0	[0.27252069 0.72747931]
1.0	[0.01883485 0.98116515]
1.0	[0.01223469 0.98776531]
1.0	[0.08208338 0.91791662]
1.0	[0.02010533 0.97989467]
1.0	[0.00937011 0.99062989]
1.0	[0.00577933 0.99422067]
1.0	[0.24068944 0.75931056]
1.0	[0.0022802 0.9977198]
1.0	[0.38344129 0.61655871]
1.0	[0.21569775 0.78430225]
1.0	[0.19420752 0.80579248]
1.0	[0.01181271 0.98818729]
1.0	[0.03723159 0.96276841]
1.0	[0.22525763 0.77474237]
1.0	[0.01112336 0.98887664]
1.0	[0.00352967 0.99647033]
0.0	[0.8925927 0.1074073]
1.0	[0.01482117 0.98517883]
1.0	[0.02036245 0.97963755]
1.0	[0.01532847 0.98467153]
1.0	[0.01644334 0.98355666]
1.0	[0.41152799 0.58847201]
0.0	[0.98759526 0.01240474]
1.0	[0.05123515 0.94876485]
0.0	[0.63056418 0.36943582]
1.0	[0.00317005 0.99682995]
1.0	[0.331867 0.668133]
1.0	[0.04830119 0.95169881]
0.0	[0.99393703 0.00606297]
1.0	[0.00527297 0.99472703]
0.0	[0.89686829 0.10313171]
0.0	[0.96772695 0.03227305]
1.0	[0.06635784 0.93364216]
0.0	[0.99008025 0.00991975]
1.0	[0.018305 0.981695]
1.0	[0.01162945 0.98837055]
1.0	[0.01747894 0.98252106]
1.0	[0.03626237 0.96373763]
1.0	[0.02058045 0.97941955]
0.0	[0.68652375 0.31347625]
1.0	[8.56370747e-04 9.99143629e-01]
1.0	[8.80842309e-04 9.99119158e-01]
1.0	[7.65186276e-04 9.99234814e-01]
1.0	[8.74102016e-04 9.99125898e-01]
1.0	[8.47400229e-04 9.99152600e-01]
1.0	[8.83877738e-04 9.99116122e-01]
1.0	[0.00646187 0.99353813]
1.0	[0.00555311 0.99444689]
1.0	[0.00329284 0.99670716]
1.0	[0.01898904 0.98101096]
0.0	[0.99127283 0.00872717]
0.0	[0.88393911 0.11606089]
0.0	[0.91540075 0.08459925]
1.0	[0.45594961 0.54405039]
1.0	[0.00289762 0.99710238]
1.0	[0.00126678 0.99873322]
1.0	[0.00884953 0.99115047]
0.0	[0.6443421 0.3556579]
1.0	[0.08105207 0.91894793]
1.0	[0.03069318 0.96930682]
1.0	[0.00126946 0.99873054]
1.0	[0.01351517 0.98648483]
1.0	[0.00342344 0.99657656]
1.0	[0.00187839 0.99812161]
1.0	[0.02819371 0.97180629]
1.0	[0.00478064 0.99521936]
1.0	[0.00512944 0.99487056]
1.0	[0.00647364 0.99352636]
1.0	[0.01934637 0.98065363]
1.0	[0.00240021 0.99759979]
1.0	[0.0813679 0.9186321]
1.0	[0.23886167 0.76113833]
0.0	[0.83088701 0.16911299]
1.0	[0.00494669 0.99505331]
1.0	[0.01901649 0.98098351]
1.0	[0.07035968 0.92964032]
1.0	[0.07515191 0.92484809]
1.0	[8.60685200e-04 9.99139315e-01]
1.0	[9.48147567e-04 9.99051852e-01]
0.0	[0.91180576 0.08819424]
1.0	[0.49492527 0.50507473]
1.0	[0.03469712 0.96530288]
0.0	[0.98815583 0.01184417]
0.0	[0.97333882 0.02666118]
1.0	[0.02205974 0.97794026]
1.0	[0.05648554 0.94351446]
1.0	[0.03582099 0.96417901]
1.0	[0.27165539 0.72834461]
1.0	[0.01936944 0.98063056]
1.0	[0.21954333 0.78045667]
1.0	[0.06020121 0.93979879]
1.0	[0.01384068 0.98615932]
1.0	[0.01708777 0.98291223]
1.0	[0.01689243 0.98310757]
1.0	[0.01716637 0.98283363]
1.0	[0.01647486 0.98352514]
1.0	[0.01722321 0.98277679]
1.0	[0.01867574 0.98132426]
1.0	[0.02244716 0.97755284]
1.0	[0.34221411 0.65778589]
1.0	[0.10191845 0.89808155]
1.0	[0.08959496 0.91040504]
1.0	[0.00347657 0.99652343]
1.0	[0.05809527 0.94190473]
1.0	[0.00822318 0.99177682]
1.0	[0.01457898 0.98542102]
1.0	[0.18377266 0.81622734]
1.0	[0.00234598 0.99765402]
1.0	[0.07973668 0.92026332]
1.0	[0.04230522 0.95769478]
1.0	[0.0026975 0.9973025]
1.0	[0.18657698 0.81342302]
1.0	[0.00393672 0.99606328]
1.0	[0.06644312 0.93355688]
1.0	[0.13848715 0.86151285]
1.0	[0.10153412 0.89846588]
