#ypred	ypred_prob
0.0	[0.79488835 0.20511165]
0.0	[0.84443229 0.15556771]
0.0	[0.89741503 0.10258497]
0.0	[0.76603838 0.23396162]
0.0	[0.78816648 0.21183352]
0.0	[0.82746526 0.17253474]
0.0	[0.93035586 0.06964414]
0.0	[0.76671956 0.23328044]
0.0	[0.87836367 0.12163633]
0.0	[0.90635439 0.09364561]
0.0	[0.93153035 0.06846965]
0.0	[0.85488744 0.14511256]
0.0	[0.93000501 0.06999499]
0.0	[0.93704017 0.06295983]
0.0	[0.80842262 0.19157738]
0.0	[0.80703127 0.19296873]
0.0	[0.87650179 0.12349821]
0.0	[0.85649161 0.14350839]
0.0	[0.92365567 0.07634433]
0.0	[0.92118927 0.07881073]
0.0	[0.72392409 0.27607591]
0.0	[0.71482275 0.28517725]
0.0	[0.71320386 0.28679614]
0.0	[0.76617798 0.23382202]
0.0	[0.89943442 0.10056558]
0.0	[0.78166799 0.21833201]
0.0	[0.89596897 0.10403103]
0.0	[0.7956353 0.2043647]
0.0	[0.93588714 0.06411286]
0.0	[0.91354297 0.08645703]
0.0	[0.94229171 0.05770829]
0.0	[0.68812307 0.31187693]
0.0	[0.78675319 0.21324681]
0.0	[0.88974671 0.11025329]
0.0	[0.88659916 0.11340084]
0.0	[0.8880259 0.1119741]
0.0	[0.80574132 0.19425868]
0.0	[0.8382133 0.1617867]
0.0	[0.86537127 0.13462873]
0.0	[0.916544 0.083456]
0.0	[0.82594411 0.17405589]
0.0	[0.8708698 0.1291302]
0.0	[0.73221406 0.26778594]
0.0	[0.83686581 0.16313419]
0.0	[0.91002364 0.08997636]
0.0	[0.84499531 0.15500469]
0.0	[0.86627118 0.13372882]
0.0	[0.84578855 0.15421145]
0.0	[0.7840879 0.2159121]
0.0	[0.92612508 0.07387492]
0.0	[0.94592787 0.05407213]
0.0	[0.62578641 0.37421359]
0.0	[0.68555045 0.31444955]
0.0	[0.72603187 0.27396813]
0.0	[0.92886721 0.07113279]
0.0	[0.83096384 0.16903616]
0.0	[0.9156016 0.0843984]
0.0	[0.88277064 0.11722936]
0.0	[0.94631259 0.05368741]
0.0	[0.93186694 0.06813306]
0.0	[0.78853065 0.21146935]
0.0	[0.85862544 0.14137456]
0.0	[0.79516649 0.20483351]
0.0	[0.86544081 0.13455919]
0.0	[0.80188648 0.19811352]
0.0	[0.83040109 0.16959891]
0.0	[0.85337568 0.14662432]
0.0	[0.91022543 0.08977457]
0.0	[0.85877404 0.14122596]
0.0	[0.86838242 0.13161758]
0.0	[0.90867438 0.09132562]
0.0	[0.95646347 0.04353653]
0.0	[0.86983454 0.13016546]
0.0	[0.85055469 0.14944531]
0.0	[0.94897422 0.05102578]
0.0	[0.87417398 0.12582602]
