#ypred	ypred_prob
0.0	[0.73276451 0.26723549]
1.0	[0.44178985 0.55821015]
1.0	[0.47074146 0.52925854]
0.0	[0.53540698 0.46459302]
0.0	[0.59881146 0.40118854]
0.0	[0.60521113 0.39478887]
0.0	[0.63841862 0.36158138]
0.0	[0.53095644 0.46904356]
0.0	[0.74969167 0.25030833]
0.0	[0.53279975 0.46720025]
0.0	[0.54135941 0.45864059]
1.0	[0.43463783 0.56536217]
0.0	[0.5037158 0.4962842]
0.0	[0.56162705 0.43837295]
0.0	[0.51234586 0.48765414]
1.0	[0.35241834 0.64758166]
0.0	[0.5553002 0.4446998]
0.0	[0.56631506 0.43368494]
1.0	[0.44317829 0.55682171]
1.0	[0.44344292 0.55655708]
0.0	[0.50435359 0.49564641]
1.0	[0.49170588 0.50829412]
0.0	[0.51195105 0.48804895]
0.0	[0.53896837 0.46103163]
0.0	[0.53743904 0.46256096]
0.0	[0.5686954 0.4313046]
1.0	[0.49226337 0.50773663]
0.0	[0.575992 0.424008]
0.0	[0.5617246 0.4382754]
0.0	[0.60386797 0.39613203]
1.0	[0.42187504 0.57812496]
0.0	[0.64115262 0.35884738]
0.0	[0.66545613 0.33454387]
0.0	[0.50853333 0.49146667]
0.0	[0.6701774 0.3298226]
0.0	[0.6067269 0.3932731]
0.0	[0.56800003 0.43199997]
0.0	[0.57304683 0.42695317]
0.0	[0.59660545 0.40339455]
1.0	[0.46100829 0.53899171]
0.0	[0.54431042 0.45568958]
0.0	[0.55399283 0.44600717]
0.0	[0.67305182 0.32694818]
1.0	[0.49047115 0.50952885]
1.0	[0.4934165 0.5065835]
0.0	[0.5365672 0.4634328]
0.0	[0.62493987 0.37506013]
1.0	[0.44794997 0.55205003]
0.0	[0.65536247 0.34463753]
0.0	[0.59463096 0.40536904]
0.0	[0.72295184 0.27704816]
0.0	[0.64134556 0.35865444]
0.0	[0.59296103 0.40703897]
0.0	[0.52844463 0.47155537]
0.0	[0.60832217 0.39167783]
0.0	[0.68396552 0.31603448]
0.0	[0.59382505 0.40617495]
1.0	[0.31074813 0.68925187]
0.0	[0.70280097 0.29719903]
0.0	[0.58734526 0.41265474]
0.0	[0.6234461 0.3765539]
0.0	[0.63138118 0.36861882]
0.0	[0.51452977 0.48547023]
0.0	[0.63105721 0.36894279]
0.0	[0.63770698 0.36229302]
0.0	[0.64350807 0.35649193]
1.0	[0.49203645 0.50796355]
0.0	[0.6219421 0.3780579]
0.0	[0.50214329 0.49785671]
1.0	[0.44424721 0.55575279]
1.0	[0.44411933 0.55588067]
0.0	[0.57173208 0.42826792]
0.0	[0.5415777 0.4584223]
0.0	[0.59332605 0.40667395]
0.0	[0.61078124 0.38921876]
0.0	[0.57049614 0.42950386]
0.0	[0.55919098 0.44080902]
1.0	[0.46745406 0.53254594]
0.0	[0.55292915 0.44707085]
0.0	[0.56916338 0.43083662]
0.0	[0.71109695 0.28890305]
0.0	[0.59063967 0.40936033]
0.0	[0.51167623 0.48832377]
0.0	[0.72241084 0.27758916]
0.0	[0.68855057 0.31144943]
0.0	[0.54861077 0.45138923]
0.0	[0.61118152 0.38881848]
0.0	[0.64269149 0.35730851]
0.0	[0.58216282 0.41783718]
0.0	[0.60226067 0.39773933]
0.0	[0.74720364 0.25279636]
