#ypred	ypred_prob
0.0	[9.99984486e-01 1.55141787e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99652552e-01 3.47447749e-04]
0.0	[9.99943863e-01 5.61368495e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99984639e-01 1.53610450e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99984835e-01 1.51652898e-05]
0.0	[9.99984857e-01 1.51427104e-05]
0.0	[9.99895815e-01 1.04184634e-04]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99981336e-01 1.86642339e-05]
0.0	[9.99791033e-01 2.08967316e-04]
0.0	[9.99982619e-01 1.73812438e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99983797e-01 1.62030684e-05]
0.0	[9.99983553e-01 1.64472722e-05]
0.0	[9.99756396e-01 2.43604021e-04]
0.0	[9.99983813e-01 1.61868178e-05]
0.0	[9.99981711e-01 1.82893519e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99977829e-01 2.21707845e-05]
0.0	[9.99945405e-01 5.45949259e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99984857e-01 1.51427104e-05]
0.0	[9.99870492e-01 1.29507986e-04]
0.0	[9.99983292e-01 1.67084940e-05]
0.0	[9.99984857e-01 1.51427104e-05]
0.0	[9.99946053e-01 5.39467590e-05]
0.0	[9.99967507e-01 3.24925559e-05]
0.0	[9.99692612e-01 3.07388214e-04]
0.0	[9.99984639e-01 1.53610450e-05]
0.0	[9.99945815e-01 5.41846340e-05]
0.0	[9.99930523e-01 6.94768637e-05]
0.0	[9.99788849e-01 2.11151255e-04]
0.0	[9.99957642e-01 4.23580838e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99643134e-01 3.56865857e-04]
0.0	[9.99984639e-01 1.53610450e-05]
0.0	[9.99968349e-01 3.16505324e-05]
0.0	[9.99968112e-01 3.18884074e-05]
0.0	[9.99970666e-01 2.93337580e-05]
0.0	[9.99983813e-01 1.61868178e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99940671e-01 5.93288051e-05]
0.0	[9.99940671e-01 5.93288051e-05]
0.0	[9.99943806e-01 5.61943229e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.9996458e-01 3.5419675e-05]
0.0	[9.99963105e-01 3.68954690e-05]
0.0	[9.99984550e-01 1.54499825e-05]
0.0	[9.99945815e-01 5.41846340e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99717592e-01 2.82407596e-04]
0.0	[9.99916636e-01 8.33639675e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99978054e-01 2.19464605e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99982645e-01 1.73553803e-05]
0.0	[9.99877536e-01 1.22463523e-04]
0.0	[9.99873256e-01 1.26744239e-04]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99984706e-01 1.52939405e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99918600e-01 8.14000074e-05]
0.0	[9.99943249e-01 5.67512285e-05]
0.0	[9.99944771e-01 5.52287414e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99940539e-01 5.94605325e-05]
0.0	[9.99984639e-01 1.53610450e-05]
0.0	[9.9980847e-01 1.9153036e-04]
0.0	[9.99933667e-01 6.63334069e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99968112e-01 3.18884074e-05]
0.0	[9.99944452e-01 5.55482636e-05]
0.0	[9.99935770e-01 6.42299259e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99982449e-01 1.75511354e-05]
0.0	[9.99983813e-01 1.61868178e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.9985433e-01 1.4566966e-04]
0.0	[9.99984127e-01 1.58725774e-05]
0.0	[9.99554150e-01 4.45850292e-04]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[0.66598675 0.33401325]
0.0	[9.99766806e-01 2.33193762e-04]
0.0	[9.99802302e-01 1.97697855e-04]
0.0	[9.99968568e-01 3.14321979e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99896423e-01 1.03577095e-04]
0.0	[9.99984102e-01 1.58980302e-05]
0.0	[9.99851808e-01 1.48191593e-04]
0.0	[9.99937906e-01 6.20941904e-05]
0.0	[9.99927473e-01 7.25269596e-05]
0.0	[9.99970985e-01 2.90154557e-05]
0.0	[9.99906834e-01 9.31657050e-05]
0.0	[9.99713179e-01 2.86820806e-04]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99968926e-01 3.10737289e-05]
0.0	[9.99943863e-01 5.61368495e-05]
0.0	[9.99879083e-01 1.20917069e-04]
0.0	[9.99983292e-01 1.67084940e-05]
0.0	[0.99398036 0.00601964]
0.0	[9.99532090e-01 4.67909975e-04]
0.0	[9.99881073e-01 1.18926558e-04]
0.0	[9.99884561e-01 1.15438981e-04]
0.0	[9.99984788e-01 1.52121076e-05]
0.0	[9.99982549e-01 1.74508043e-05]
0.0	[9.99944511e-01 5.54891958e-05]
0.0	[9.99866016e-01 1.33984328e-04]
0.0	[9.99970666e-01 2.93337580e-05]
0.0	[9.99984788e-01 1.52121076e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99984857e-01 1.51427104e-05]
0.0	[9.99984857e-01 1.51427104e-05]
0.0	[9.99716019e-01 2.83981471e-04]
0.0	[9.99861204e-01 1.38796040e-04]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99968349e-01 3.16505324e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[0.99623938 0.00376062]
0.0	[9.99983813e-01 1.61868178e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99908993e-01 9.10067325e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99983295e-01 1.67048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99846456e-01 1.53543589e-04]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99963892e-01 3.61077094e-05]
0.0	[0.99814911 0.00185089]
0.0	[9.99759198e-01 2.40802271e-04]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99984857e-01 1.51427104e-05]
0.0	[9.99970666e-01 2.93337580e-05]
0.0	[9.99946386e-01 5.36142557e-05]
0.0	[9.99945597e-01 5.44029686e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99864301e-01 1.35698880e-04]
0.0	[9.99943153e-01 5.68467025e-05]
0.0	[9.99968112e-01 3.18884074e-05]
0.0	[0.99840342 0.00159658]
0.0	[9.99946053e-01 5.39467590e-05]
0.0	[9.99946053e-01 5.39467590e-05]
0.0	[9.99874053e-01 1.25946759e-04]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99958625e-01 4.13754237e-05]
0.0	[9.99982449e-01 1.75511354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99982449e-01 1.75511354e-05]
0.0	[9.99943858e-01 5.61423289e-05]
0.0	[9.99942197e-01 5.78029275e-05]
0.0	[9.99982820e-01 1.71800126e-05]
0.0	[0.99843298 0.00156702]
0.0	[9.99899950e-01 1.00050403e-04]
0.0	[9.99984248e-01 1.57520537e-05]
0.0	[9.99940777e-01 5.92226575e-05]
0.0	[9.99944851e-01 5.51491341e-05]
0.0	[9.99983813e-01 1.61868178e-05]
0.0	[9.99983341e-01 1.66592779e-05]
0.0	[9.99984102e-01 1.58980302e-05]
0.0	[9.99984639e-01 1.53610450e-05]
0.0	[9.99978817e-01 2.11829789e-05]
0.0	[9.99803290e-01 1.96710026e-04]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99884287e-01 1.15713206e-04]
0.0	[9.99984835e-01 1.51652898e-05]
0.0	[9.99890538e-01 1.09462101e-04]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99984835e-01 1.51652898e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99982890e-01 1.71103684e-05]
0.0	[9.99927965e-01 7.20352702e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99984835e-01 1.51652898e-05]
0.0	[9.99860723e-01 1.39276727e-04]
0.0	[9.99984639e-01 1.53610450e-05]
0.0	[9.99967507e-01 3.24925559e-05]
0.0	[9.99982905e-01 1.70949259e-05]
0.0	[9.99982163e-01 1.78374533e-05]
0.0	[9.99983357e-01 1.66430273e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99982645e-01 1.73553803e-05]
0.0	[9.99984639e-01 1.53610450e-05]
0.0	[9.99954899e-01 4.51014490e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99985095e-01 1.49048354e-05]
0.0	[9.99403949e-01 5.96051165e-04]
0.0	[9.99571115e-01 4.28884855e-04]
0.0	[9.99966159e-01 3.38406229e-05]
0.0	[9.99984857e-01 1.51427104e-05]
0.0	[9.99968806e-01 3.11943229e-05]
0.0	[9.99938442e-01 6.15578048e-05]
0.0	[9.99984835e-01 1.51652898e-05]
