#ypred	ypred_prob
1.0	[0.49484557 0.50515443]
0.0	[0.56091537 0.43908463]
0.0	[0.56417599 0.43582401]
0.0	[0.54361454 0.45638546]
0.0	[0.56154699 0.43845301]
0.0	[0.56170012 0.43829988]
0.0	[0.56058532 0.43941468]
0.0	[0.55666851 0.44333149]
0.0	[0.55116141 0.44883859]
0.0	[0.54322398 0.45677602]
1.0	[0.49575127 0.50424873]
0.0	[0.56141724 0.43858276]
0.0	[0.56651777 0.43348223]
0.0	[0.55926606 0.44073394]
0.0	[0.53610931 0.46389069]
0.0	[0.53317204 0.46682796]
0.0	[0.56512262 0.43487738]
0.0	[0.55675063 0.44324937]
0.0	[0.56226546 0.43773454]
0.0	[0.55419411 0.44580589]
0.0	[0.54893842 0.45106158]
0.0	[0.54581482 0.45418518]
0.0	[0.53504958 0.46495042]
0.0	[0.55070157 0.44929843]
0.0	[0.54260496 0.45739504]
0.0	[0.55000437 0.44999563]
0.0	[0.55010262 0.44989738]
0.0	[0.5663897 0.4336103]
0.0	[0.55105846 0.44894154]
1.0	[0.47573199 0.52426801]
0.0	[0.55936732 0.44063268]
0.0	[0.54689815 0.45310185]
0.0	[0.55398454 0.44601546]
0.0	[0.56012475 0.43987525]
0.0	[0.53449821 0.46550179]
0.0	[0.55245233 0.44754767]
0.0	[0.54754268 0.45245732]
0.0	[0.55322766 0.44677234]
0.0	[0.56625288 0.43374712]
0.0	[0.52215224 0.47784776]
1.0	[0.49172573 0.50827427]
0.0	[0.54461863 0.45538137]
0.0	[0.55233925 0.44766075]
0.0	[0.56501966 0.43498034]
0.0	[0.55930497 0.44069503]
0.0	[0.51946671 0.48053329]
0.0	[0.56662029 0.43337971]
0.0	[0.50399479 0.49600521]
0.0	[0.54098693 0.45901307]
0.0	[0.54294515 0.45705485]
0.0	[0.54994433 0.45005567]
1.0	[0.49016768 0.50983232]
1.0	[0.48332282 0.51667718]
0.0	[0.54925124 0.45074876]
0.0	[0.55215188 0.44784812]
0.0	[0.55316013 0.44683987]
0.0	[0.55113564 0.44886436]
0.0	[0.52203803 0.47796197]
0.0	[0.53851842 0.46148158]
0.0	[0.50595389 0.49404611]
0.0	[0.57265252 0.42734748]
0.0	[0.54941654 0.45058346]
1.0	[0.4811646 0.5188354]
1.0	[0.49048406 0.50951594]
1.0	[0.48676649 0.51323351]
0.0	[0.55310443 0.44689557]
0.0	[0.55731421 0.44268579]
0.0	[0.5583589 0.4416411]
0.0	[0.54185416 0.45814584]
0.0	[0.56545297 0.43454703]
0.0	[0.55172885 0.44827115]
0.0	[0.5694212 0.4305788]
0.0	[0.50599253 0.49400747]
1.0	[0.49570846 0.50429154]
0.0	[0.55497133 0.44502867]
0.0	[0.55730344 0.44269656]
0.0	[0.50894894 0.49105106]
0.0	[0.56422409 0.43577591]
0.0	[0.55069496 0.44930504]
0.0	[0.57173204 0.42826796]
0.0	[0.55151254 0.44848746]
0.0	[0.56154214 0.43845786]
0.0	[0.5336838 0.4663162]
0.0	[0.5569146 0.4430854]
1.0	[0.49058494 0.50941506]
0.0	[0.56426189 0.43573811]
0.0	[0.55822719 0.44177281]
0.0	[0.55032865 0.44967135]
0.0	[0.5308011 0.4691989]
1.0	[0.47285658 0.52714342]
0.0	[0.56514199 0.43485801]
0.0	[0.52576894 0.47423106]
0.0	[0.5652863 0.4347137]
0.0	[0.55010151 0.44989849]
1.0	[0.47582239 0.52417761]
0.0	[0.54879325 0.45120675]
