#ypred	ypred_prob
0.0	[0.50197534 0.49802466]
0.0	[0.69913068 0.30086932]
0.0	[0.71773978 0.28226022]
0.0	[0.65427841 0.34572159]
0.0	[0.68448773 0.31551227]
0.0	[0.70655235 0.29344765]
0.0	[0.70737288 0.29262712]
0.0	[0.67426476 0.32573524]
0.0	[0.66766969 0.33233031]
0.0	[0.61499841 0.38500159]
1.0	[0.48049111 0.51950889]
0.0	[0.69878941 0.30121059]
0.0	[0.718605 0.281395]
0.0	[0.69787886 0.30212114]
0.0	[0.63412875 0.36587125]
0.0	[0.62042924 0.37957076]
0.0	[0.70785161 0.29214839]
0.0	[0.7005778 0.2994222]
0.0	[0.68929968 0.31070032]
0.0	[0.68765437 0.31234563]
0.0	[0.65578131 0.34421869]
0.0	[0.64694202 0.35305798]
0.0	[0.62062927 0.37937073]
0.0	[0.67384826 0.32615174]
0.0	[0.62480422 0.37519578]
0.0	[0.66248482 0.33751518]
0.0	[0.67243926 0.32756074]
0.0	[0.71072446 0.28927554]
0.0	[0.67209101 0.32790899]
1.0	[0.4684268 0.5315732]
0.0	[0.67318868 0.32681132]
0.0	[0.66456369 0.33543631]
0.0	[0.68248489 0.31751511]
0.0	[0.70947991 0.29052009]
0.0	[0.63776703 0.36223297]
0.0	[0.68270738 0.31729262]
0.0	[0.66795933 0.33204067]
0.0	[0.67207986 0.32792014]
0.0	[0.71635249 0.28364751]
0.0	[0.6134547 0.3865453]
1.0	[0.49235335 0.50764665]
0.0	[0.64339215 0.35660785]
0.0	[0.68247696 0.31752304]
0.0	[0.71265541 0.28734459]
0.0	[0.7043657 0.2956343]
0.0	[0.57761709 0.42238291]
0.0	[0.70885386 0.29114614]
0.0	[0.54030259 0.45969741]
0.0	[0.62836292 0.37163708]
0.0	[0.64443758 0.35556242]
0.0	[0.67070098 0.32929902]
1.0	[0.47362084 0.52637916]
1.0	[0.48159071 0.51840929]
0.0	[0.67012953 0.32987047]
0.0	[0.67377517 0.32622483]
0.0	[0.700774 0.299226]
0.0	[0.67398149 0.32601851]
0.0	[0.56488754 0.43511246]
0.0	[0.61023451 0.38976549]
0.0	[0.54140161 0.45859839]
0.0	[0.74581123 0.25418877]
0.0	[0.66712294 0.33287706]
1.0	[0.47797554 0.52202446]
1.0	[0.48867171 0.51132829]
1.0	[0.4642633 0.5357367]
0.0	[0.67471172 0.32528828]
0.0	[0.68798934 0.31201066]
0.0	[0.68435254 0.31564746]
0.0	[0.64435072 0.35564928]
0.0	[0.67951986 0.32048014]
0.0	[0.69019872 0.30980128]
0.0	[0.72830446 0.27169554]
0.0	[0.53143188 0.46856812]
0.0	[0.50629701 0.49370299]
0.0	[0.68381572 0.31618428]
0.0	[0.69838287 0.30161713]
0.0	[0.54258988 0.45741012]
0.0	[0.71628547 0.28371453]
0.0	[0.66652669 0.33347331]
0.0	[0.75102986 0.24897014]
0.0	[0.67212202 0.32787798]
0.0	[0.71301934 0.28698066]
0.0	[0.61655815 0.38344185]
0.0	[0.69247328 0.30752672]
1.0	[0.47858853 0.52141147]
0.0	[0.72672981 0.27327019]
0.0	[0.68277096 0.31722904]
0.0	[0.67681364 0.32318636]
0.0	[0.61986016 0.38013984]
1.0	[0.46108599 0.53891401]
0.0	[0.70346646 0.29653354]
0.0	[0.60522827 0.39477173]
0.0	[0.72251336 0.27748664]
0.0	[0.66444039 0.33555961]
1.0	[0.46217248 0.53782752]
0.0	[0.65881554 0.34118446]
0.0	[0.71317196 0.28682804]
0.0	[0.63762923 0.36237077]
