#ypred	ypred_prob
0.0	[0.89631979 0.10368021]
0.0	[0.94708827 0.05291173]
0.0	[0.98468732 0.01531268]
1.0	[0.47067113 0.52932887]
0.0	[0.97683609 0.02316391]
1.0	[0.14426065 0.85573935]
0.0	[0.71227539 0.28772461]
0.0	[0.95078078 0.04921922]
1.0	[0.46348124 0.53651876]
0.0	[0.99089536 0.00910464]
0.0	[0.98479334 0.01520666]
0.0	[0.74854916 0.25145084]
0.0	[0.69205681 0.30794319]
1.0	[0.4188893 0.5811107]
0.0	[0.9896158 0.0103842]
0.0	[0.69429025 0.30570975]
1.0	[0.06921708 0.93078292]
1.0	[0.37170763 0.62829237]
0.0	[0.89162978 0.10837022]
0.0	[0.74772759 0.25227241]
0.0	[0.9584973 0.0415027]
0.0	[0.92266577 0.07733423]
0.0	[0.97665096 0.02334904]
0.0	[0.50703924 0.49296076]
0.0	[0.98879151 0.01120849]
0.0	[0.58256568 0.41743432]
0.0	[0.99634949 0.00365051]
0.0	[0.98958133 0.01041867]
1.0	[0.16981442 0.83018558]
1.0	[0.38764881 0.61235119]
0.0	[0.98807918 0.01192082]
0.0	[0.79945977 0.20054023]
0.0	[0.88547928 0.11452072]
1.0	[0.00582312 0.99417688]
0.0	[0.63476493 0.36523507]
0.0	[0.98629034 0.01370966]
0.0	[0.97036716 0.02963284]
0.0	[0.97828428 0.02171572]
0.0	[0.98787142 0.01212858]
1.0	[0.1266103 0.8733897]
1.0	[0.38282247 0.61717753]
0.0	[0.99010646 0.00989354]
0.0	[0.9849847 0.0150153]
1.0	[0.19154688 0.80845312]
0.0	[0.65634261 0.34365739]
0.0	[0.8288052 0.1711948]
0.0	[0.61259768 0.38740232]
0.0	[0.85665941 0.14334059]
0.0	[0.6008139 0.3991861]
0.0	[0.81833056 0.18166944]
0.0	[0.95052432 0.04947568]
0.0	[0.9022951 0.0977049]
0.0	[0.76075623 0.23924377]
0.0	[0.97745701 0.02254299]
0.0	[0.99624111 0.00375889]
0.0	[0.94683565 0.05316435]
0.0	[0.82248261 0.17751739]
1.0	[0.1355135 0.8644865]
0.0	[0.91846488 0.08153512]
1.0	[0.49295994 0.50704006]
0.0	[0.97038518 0.02961482]
0.0	[0.94682472 0.05317528]
0.0	[0.51524717 0.48475283]
0.0	[0.75730258 0.24269742]
1.0	[0.37773113 0.62226887]
0.0	[0.89581751 0.10418249]
1.0	[0.05159775 0.94840225]
0.0	[0.92698878 0.07301122]
0.0	[0.99657893 0.00342107]
0.0	[0.739946 0.260054]
1.0	[0.15099999 0.84900001]
0.0	[0.9714214 0.0285786]
0.0	[0.78260189 0.21739811]
0.0	[0.9718 0.0282]
0.0	[0.96832356 0.03167644]
0.0	[0.7167426 0.2832574]
0.0	[0.98616736 0.01383264]
1.0	[0.33058519 0.66941481]
0.0	[0.93567202 0.06432798]
0.0	[0.82065702 0.17934298]
0.0	[0.83163621 0.16836379]
1.0	[0.4734044 0.5265956]
0.0	[0.61237522 0.38762478]
0.0	[0.99406222 0.00593778]
1.0	[0.37586667 0.62413333]
0.0	[0.78413674 0.21586326]
1.0	[0.11845446 0.88154554]
1.0	[0.01109471 0.98890529]
0.0	[0.68999591 0.31000409]
0.0	[0.50570567 0.49429433]
0.0	[0.62915787 0.37084213]
1.0	[0.02312888 0.97687112]
0.0	[0.98250472 0.01749528]
0.0	[0.51380698 0.48619302]
0.0	[0.72561839 0.27438161]
0.0	[0.89717198 0.10282802]
0.0	[0.8276396 0.1723604]
0.0	[0.97796141 0.02203859]
1.0	[0.05576956 0.94423044]
0.0	[0.9838014 0.0161986]
0.0	[0.82241113 0.17758887]
0.0	[0.90798904 0.09201096]
0.0	[0.92346252 0.07653748]
0.0	[0.8985443 0.1014557]
0.0	[0.57260466 0.42739534]
0.0	[0.61566512 0.38433488]
0.0	[0.62734877 0.37265123]
1.0	[0.34820864 0.65179136]
0.0	[0.89456494 0.10543506]
1.0	[0.01566834 0.98433166]
0.0	[0.87358095 0.12641905]
0.0	[0.99317076 0.00682924]
0.0	[0.94589365 0.05410635]
1.0	[0.01160493 0.98839507]
0.0	[0.68709267 0.31290733]
0.0	[0.90797915 0.09202085]
0.0	[0.88576347 0.11423653]
0.0	[0.92734244 0.07265756]
0.0	[0.99354116 0.00645884]
1.0	[0.34759478 0.65240522]
0.0	[0.98412805 0.01587195]
0.0	[0.74630734 0.25369266]
0.0	[0.97140529 0.02859471]
0.0	[0.98689388 0.01310612]
0.0	[0.90441331 0.09558669]
0.0	[0.99345911 0.00654089]
0.0	[0.55099937 0.44900063]
0.0	[0.50407613 0.49592387]
0.0	[0.75813775 0.24186225]
0.0	[0.93863156 0.06136844]
1.0	[0.31958377 0.68041623]
0.0	[0.95338853 0.04661147]
0.0	[0.9696447 0.0303553]
1.0	[0.02764189 0.97235811]
0.0	[0.97493632 0.02506368]
0.0	[0.99311293 0.00688707]
0.0	[0.98465307 0.01534693]
0.0	[0.96687382 0.03312618]
0.0	[0.91977291 0.08022709]
0.0	[0.57098642 0.42901358]
0.0	[0.82187465 0.17812535]
1.0	[0.00846275 0.99153725]
0.0	[0.98178346 0.01821654]
0.0	[0.75454403 0.24545597]
0.0	[0.96163532 0.03836468]
0.0	[0.98904348 0.01095652]
0.0	[0.9835374 0.0164626]
0.0	[0.87160066 0.12839934]
0.0	[0.58219372 0.41780628]
0.0	[0.99118326 0.00881674]
0.0	[0.97955447 0.02044553]
1.0	[0.45014131 0.54985869]
0.0	[0.94045602 0.05954398]
1.0	[0.44535123 0.55464877]
1.0	[0.28359098 0.71640902]
