#ypred	ypred_prob
0.0	[0.9936 0.0064]
0.0	[0.86319783 0.13680217]
0.0	[0.86139463 0.13860537]
0.0	[0.98368327 0.01631673]
0.0	[0.93918516 0.06081484]
0.0	[1. 0.]
0.0	[0.98853854 0.01146146]
0.0	[1. 0.]
0.0	[0.9984 0.0016]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99813333 0.00186667]
0.0	[0.99360996 0.00639004]
0.0	[0.97076629 0.02923371]
1.0	[0.43468476 0.56531524]
0.0	[0.98713785 0.01286215]
1.0	[0.37853877 0.62146123]
0.0	[0.9968 0.0032]
0.0	[9.99663158e-01 3.36842105e-04]
0.0	[0.8324081 0.1675919]
0.0	[0.98991403 0.01008597]
1.0	[0.41908941 0.58091059]
0.0	[9.99835897e-01 1.64102564e-04]
0.0	[0.99466667 0.00533333]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99038819 0.00961181]
0.0	[1. 0.]
0.0	[0.9936 0.0064]
0.0	[0.9950359 0.0049641]
0.0	[0.9984 0.0016]
0.0	[0.79056551 0.20943449]
0.0	[9.99583193e-01 4.16806723e-04]
0.0	[0.99826667 0.00173333]
0.0	[0.9354892 0.0645108]
0.0	[0.98844319 0.01155681]
0.0	[0.94462698 0.05537302]
0.0	[0.9893989 0.0106011]
0.0	[0.96336412 0.03663588]
1.0	[0.41423562 0.58576438]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.8732908 0.1267092]
1.0	[0.47024416 0.52975584]
0.0	[1. 0.]
0.0	[0.87297768 0.12702232]
0.0	[0.69438789 0.30561211]
0.0	[9.99115526e-01 8.84473715e-04]
0.0	[0.8752215 0.1247785]
0.0	[0.92290744 0.07709256]
0.0	[0.94091131 0.05908869]
0.0	[0.98754335 0.01245665]
0.0	[0.64120531 0.35879469]
0.0	[1. 0.]
0.0	[0.9984 0.0016]
0.0	[1. 0.]
0.0	[9.99857778e-01 1.42222222e-04]
0.0	[0.99813181 0.00186819]
0.0	[1. 0.]
0.0	[0.90302282 0.09697718]
0.0	[1. 0.]
0.0	[0.76004967 0.23995033]
0.0	[0.99484872 0.00515128]
0.0	[0.89927994 0.10072006]
1.0	[0.33774078 0.66225922]
0.0	[0.96702331 0.03297669]
0.0	[9.998e-01 2.000e-04]
0.0	[1. 0.]
0.0	[9.99866667e-01 1.33333333e-04]
0.0	[9.99683810e-01 3.16190476e-04]
0.0	[0.92228039 0.07771961]
0.0	[0.85641274 0.14358726]
0.0	[0.80371951 0.19628049]
0.0	[0.85452951 0.14547049]
0.0	[1. 0.]
0.0	[0.95658459 0.04341541]
0.0	[0.97235201 0.02764799]
0.0	[0.99269412 0.00730588]
0.0	[1. 0.]
0.0	[0.91239385 0.08760615]
0.0	[1. 0.]
0.0	[0.9678162 0.0321838]
1.0	[0.17002356 0.82997644]
0.0	[1. 0.]
0.0	[0.64146673 0.35853327]
0.0	[1. 0.]
1.0	[0.49545378 0.50454622]
0.0	[1. 0.]
0.0	[0.86876164 0.13123836]
0.0	[0.93577034 0.06422966]
0.0	[1. 0.]
0.0	[0.90398492 0.09601508]
1.0	[0.41560753 0.58439247]
0.0	[0.91765732 0.08234268]
0.0	[0.89268624 0.10731376]
