#ypred	ypred_prob
0.0	[1. 0.]
0.0	[0.78676864 0.21323136]
0.0	[0.79634586 0.20365414]
0.0	[0.99264067 0.00735933]
0.0	[0.94165464 0.05834536]
0.0	[1. 0.]
0.0	[0.98016518 0.01983482]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99765905 0.00234095]
0.0	[0.9982112 0.0017888]
0.0	[0.98981093 0.01018907]
1.0	[0.40611308 0.59388692]
0.0	[0.98950959 0.01049041]
1.0	[0.41468757 0.58531243]
0.0	[1. 0.]
0.0	[9.99621053e-01 3.78947368e-04]
0.0	[0.95634123 0.04365877]
0.0	[0.99347433 0.00652567]
1.0	[0.39475769 0.60524231]
0.0	[9.99815385e-01 1.84615385e-04]
0.0	[0.9988 0.0012]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99278671 0.00721329]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[9.99815385e-01 1.84615385e-04]
0.0	[1. 0.]
0.0	[0.8090195 0.1909805]
0.0	[9.99531092e-01 4.68907563e-04]
0.0	[9.9985e-01 1.5000e-04]
0.0	[0.94764426 0.05235574]
0.0	[0.99178909 0.00821091]
0.0	[0.90130356 0.09869644]
0.0	[0.99747067 0.00252933]
0.0	[0.9611226 0.0388774]
1.0	[0.4031117 0.5968883]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.82173639 0.17826361]
1.0	[0.47719158 0.52280842]
0.0	[1. 0.]
0.0	[0.8615601 0.1384399]
0.0	[0.83383605 0.16616395]
0.0	[9.99004967e-01 9.95032930e-04]
0.0	[0.91773017 0.08226983]
0.0	[0.87277593 0.12722407]
0.0	[0.88717461 0.11282539]
0.0	[0.98890338 0.01109662]
0.0	[0.67617001 0.32382999]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99178692 0.00821308]
0.0	[0.99440752 0.00559248]
0.0	[1. 0.]
0.0	[0.85909276 0.14090724]
0.0	[1. 0.]
0.0	[0.76084921 0.23915079]
0.0	[9.99604812e-01 3.95187970e-04]
0.0	[0.83313269 0.16686731]
1.0	[0.29814972 0.70185028]
0.0	[0.98834451 0.01165549]
0.0	[9.99775e-01 2.25000e-04]
0.0	[1. 0.]
0.0	[0.99805267 0.00194733]
0.0	[9.99317013e-01 6.82987013e-04]
0.0	[0.89404663 0.10595337]
0.0	[0.78847156 0.21152844]
0.0	[0.87824154 0.12175846]
0.0	[0.82830944 0.17169056]
0.0	[1. 0.]
0.0	[0.96159091 0.03840909]
0.0	[0.98138882 0.01861118]
0.0	[0.99115923 0.00884077]
0.0	[1. 0.]
0.0	[0.90791389 0.09208611]
0.0	[1. 0.]
0.0	[0.96860576 0.03139424]
1.0	[0.1338308 0.8661692]
0.0	[1. 0.]
0.0	[0.65002042 0.34997958]
0.0	[1. 0.]
1.0	[0.47350642 0.52649358]
0.0	[1. 0.]
0.0	[0.75120202 0.24879798]
0.0	[0.88479062 0.11520938]
0.0	[1. 0.]
0.0	[0.87610529 0.12389471]
1.0	[0.39443012 0.60556988]
0.0	[0.85777323 0.14222677]
0.0	[0.85953803 0.14046197]
0.0	[0.92158354 0.07841646]
0.0	[0.78939185 0.21060815]
0.0	[1. 0.]
0.0	[0.99672993 0.00327007]
0.0	[0.53474715 0.46525285]
0.0	[0.99242963 0.00757037]
1.0	[0.09027015 0.90972985]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.9242341 0.0757659]
0.0	[1. 0.]
0.0	[0.77544116 0.22455884]
0.0	[0.95336963 0.04663037]
0.0	[0.9554535 0.0445465]
0.0	[1. 0.]
0.0	[0.50134668 0.49865332]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[9.99794286e-01 2.05714286e-04]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99836177 0.00163823]
0.0	[1. 0.]
0.0	[0.98109729 0.01890271]
0.0	[1. 0.]
0.0	[1. 0.]
1.0	[0.3646517 0.6353483]
0.0	[9.99781818e-01 2.18181818e-04]
0.0	[0.99847658 0.00152342]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.97684945 0.02315055]
0.0	[0.97411746 0.02588254]
0.0	[1. 0.]
0.0	[0.71559432 0.28440568]
0.0	[1. 0.]
0.0	[0.99737237 0.00262763]
0.0	[1. 0.]
0.0	[0.97268912 0.02731088]
0.0	[1. 0.]
0.0	[0.73143098 0.26856902]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.96694381 0.03305619]
0.0	[1. 0.]
0.0	[0.96626319 0.03373681]
0.0	[0.96894609 0.03105391]
0.0	[1. 0.]
1.0	[0.25243202 0.74756798]
0.0	[0.70658271 0.29341729]
0.0	[0.64269084 0.35730916]
1.0	[0.20982074 0.79017926]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[9.99501075e-01 4.98924731e-04]
0.0	[0.99663013 0.00336987]
0.0	[0.99715361 0.00284639]
0.0	[0.83769142 0.16230858]
0.0	[0.93984225 0.06015775]
0.0	[0.82306771 0.17693229]
0.0	[9.99828571e-01 1.71428571e-04]
0.0	[0.98280514 0.01719486]
0.0	[0.99653291 0.00346709]
0.0	[0.60266111 0.39733889]
0.0	[9.99672727e-01 3.27272727e-04]
0.0	[9.99723077e-01 2.76923077e-04]
0.0	[0.94328049 0.05671951]
0.0	[1. 0.]
0.0	[0.5753141 0.4246859]
0.0	[9.99129199e-01 8.70800628e-04]
0.0	[0.7619145 0.2380855]
0.0	[1. 0.]
0.0	[0.98933194 0.01066806]
0.0	[0.99641746 0.00358254]
0.0	[1. 0.]
0.0	[0.7961068 0.2038932]
0.0	[0.9983039 0.0016961]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99017593 0.00982407]
0.0	[0.95815632 0.04184368]
0.0	[0.99256739 0.00743261]
0.0	[0.62813829 0.37186171]
0.0	[1. 0.]
0.0	[9.99869091e-01 1.30909091e-04]
0.0	[0.98893963 0.01106037]
0.0	[1. 0.]
0.0	[0.99352871 0.00647129]
0.0	[1. 0.]
0.0	[0.99602639 0.00397361]
0.0	[1. 0.]
0.0	[9.99601724e-01 3.98275862e-04]
0.0	[9.99788235e-01 2.11764706e-04]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.94316427 0.05683573]
0.0	[0.99874583 0.00125417]
0.0	[1. 0.]
0.0	[0.98831005 0.01168995]
1.0	[0.20614988 0.79385012]
1.0	[0.39935247 0.60064753]
0.0	[0.97847285 0.02152715]
0.0	[0.75227036 0.24772964]
0.0	[0.8802304 0.1197696]
0.0	[0.61879948 0.38120052]
0.0	[1. 0.]
1.0	[0.44376828 0.55623172]
0.0	[1. 0.]
0.0	[0.76298827 0.23701173]
0.0	[1. 0.]
0.0	[0.96806297 0.03193703]
0.0	[9.99733333e-01 2.66666667e-04]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.99061177 0.00938823]
0.0	[0.99820267 0.00179733]
0.0	[9.99815385e-01 1.84615385e-04]
0.0	[0.98319504 0.01680496]
0.0	[1. 0.]
0.0	[0.97672458 0.02327542]
0.0	[1. 0.]
0.0	[0.99162991 0.00837009]
0.0	[0.95263326 0.04736674]
0.0	[0.66257267 0.33742733]
0.0	[0.99857566 0.00142434]
0.0	[0.53475045 0.46524955]
0.0	[1. 0.]
0.0	[0.9537787 0.0462213]
0.0	[9.99204778e-01 7.95221976e-04]
0.0	[0.99865591 0.00134409]
0.0	[0.99597637 0.00402363]
0.0	[1. 0.]
0.0	[9.99297484e-01 7.02515723e-04]
0.0	[0.99893891 0.00106109]
0.0	[0.92814791 0.07185209]
1.0	[0.25364462 0.74635538]
0.0	[9.9984e-01 1.6000e-04]
0.0	[9.99794286e-01 2.05714286e-04]
0.0	[9.99621053e-01 3.78947368e-04]
0.0	[9.99055584e-01 9.44415584e-04]
0.0	[0.97465333 0.02534667]
0.0	[1. 0.]
0.0	[0.84349386 0.15650614]
0.0	[1. 0.]
0.0	[0.97433045 0.02566955]
0.0	[0.98003213 0.01996787]
0.0	[0.99814738 0.00185262]
1.0	[0.33609886 0.66390114]
0.0	[9.99767742e-01 2.32258065e-04]
0.0	[0.98426195 0.01573805]
0.0	[0.99887552 0.00112448]
0.0	[1. 0.]
0.0	[9.99869091e-01 1.30909091e-04]
0.0	[0.99600012 0.00399988]
0.0	[0.99071323 0.00928677]
0.0	[1. 0.]
0.0	[1. 0.]
0.0	[0.84497859 0.15502141]
0.0	[0.99524607 0.00475393]
0.0	[1. 0.]
0.0	[0.68317727 0.31682273]
1.0	[0.08293168 0.91706832]
0.0	[0.99511491 0.00488509]
0.0	[1. 0.]
0.0	[1. 0.]
1.0	[0.34844978 0.65155022]
0.0	[0.54063168 0.45936832]
1.0	[0.07898155 0.92101845]
0.0	[0.9940154 0.0059846]
0.0	[0.99725545 0.00274455]
1.0	[0.49945426 0.50054574]
0.0	[0.99606744 0.00393256]
0.0	[0.99803075 0.00196925]
0.0	[1. 0.]
0.0	[9.99723077e-01 2.76923077e-04]
0.0	[1. 0.]
0.0	[1. 0.]
