#ypred	ypred_prob
0.0	[0.54526384 0.45473616]
0.0	[0.60762979 0.39237021]
0.0	[0.60931683 0.39068317]
0.0	[0.54539686 0.45460314]
0.0	[0.54556587 0.45443413]
0.0	[0.62886384 0.37113616]
0.0	[0.54543655 0.45456345]
0.0	[0.54527296 0.45472704]
0.0	[0.54538749 0.45461251]
0.0	[0.61091187 0.38908813]
0.0	[0.5942502 0.4057498]
0.0	[0.54565573 0.45434427]
0.0	[0.60812153 0.39187847]
0.0	[0.54537019 0.45462981]
0.0	[0.60847511 0.39152489]
0.0	[0.54548742 0.45451258]
0.0	[0.59923379 0.40076621]
0.0	[0.59891701 0.40108299]
0.0	[0.54533658 0.45466342]
0.0	[0.59173117 0.40826883]
0.0	[0.54545479 0.45454521]
0.0	[0.6629397 0.3370603]
0.0	[0.54542791 0.45457209]
0.0	[0.54545463 0.45454537]
0.0	[0.59186011 0.40813989]
0.0	[0.54538341 0.45461659]
0.0	[0.54625757 0.45374243]
1.0	[0.36566329 0.63433671]
0.0	[0.55271931 0.44728069]
0.0	[0.65880824 0.34119176]
0.0	[0.55470081 0.44529919]
0.0	[0.54568764 0.45431236]
0.0	[0.57626738 0.42373262]
0.0	[0.59920397 0.40079603]
0.0	[0.54539359 0.45460641]
0.0	[0.59130783 0.40869217]
0.0	[0.54328764 0.45671236]
0.0	[0.54622199 0.45377801]
0.0	[0.6630392 0.3369608]
0.0	[0.5486075 0.4513925]
0.0	[0.60200355 0.39799645]
0.0	[0.54570072 0.45429928]
0.0	[0.61108595 0.38891405]
0.0	[0.5474169 0.4525831]
0.0	[0.54544001 0.45455999]
0.0	[0.54545254 0.45454746]
0.0	[0.65808547 0.34191453]
0.0	[0.65581043 0.34418957]
0.0	[0.60182163 0.39817837]
0.0	[0.60255177 0.39744823]
0.0	[0.54523068 0.45476932]
0.0	[0.54569818 0.45430182]
0.0	[0.59487022 0.40512978]
0.0	[0.59950727 0.40049273]
0.0	[0.60239477 0.39760523]
0.0	[0.54534559 0.45465441]
0.0	[0.59916898 0.40083102]
0.0	[0.54858014 0.45141986]
0.0	[0.60082125 0.39917875]
0.0	[0.59172788 0.40827212]
1.0	[0.30074418 0.69925582]
0.0	[0.54597009 0.45402991]
0.0	[0.66258989 0.33741011]
0.0	[0.57715365 0.42284635]
0.0	[0.59674411 0.40325589]
0.0	[0.54518328 0.45481672]
0.0	[0.54538053 0.45461947]
0.0	[0.65824543 0.34175457]
1.0	[0.37170119 0.62829881]
0.0	[0.54576768 0.45423232]
0.0	[0.54903818 0.45096182]
0.0	[0.54593939 0.45406061]
0.0	[0.54544409 0.45455591]
0.0	[0.59611036 0.40388964]
0.0	[0.65162877 0.34837123]
0.0	[0.54531145 0.45468855]
0.0	[0.60157189 0.39842811]
0.0	[0.59735649 0.40264351]
0.0	[0.57643798 0.42356202]
0.0	[0.66290462 0.33709538]
0.0	[0.54556216 0.45443784]
0.0	[0.57509813 0.42490187]
1.0	[0.29771696 0.70228304]
0.0	[0.54565683 0.45434317]
0.0	[0.54549347 0.45450653]
0.0	[0.54568844 0.45431156]
0.0	[0.6106447 0.3893553]
0.0	[0.54536281 0.45463719]
0.0	[0.54559608 0.45440392]
0.0	[0.5452544 0.4547456]
0.0	[0.54516126 0.45483874]
0.0	[0.54564485 0.45435515]
0.0	[0.54537708 0.45462292]
0.0	[0.54560605 0.45439395]
0.0	[0.54539139 0.45460861]
0.0	[0.60151037 0.39848963]
1.0	[0.30095881 0.69904119]
1.0	[0.36726667 0.63273333]
0.0	[0.54596298 0.45403702]
0.0	[0.60888574 0.39111426]
0.0	[0.66121429 0.33878571]
0.0	[0.65827056 0.34172944]
0.0	[0.59209441 0.40790559]
0.0	[0.54511736 0.45488264]
0.0	[0.54751378 0.45248622]
0.0	[0.54748453 0.45251547]
0.0	[0.6541133 0.3458867]
0.0	[0.54509958 0.45490042]
0.0	[0.54584944 0.45415056]
0.0	[0.54863639 0.45136361]
0.0	[0.60968653 0.39031347]
0.0	[0.54549875 0.45450125]
0.0	[0.5460811 0.4539189]
0.0	[0.54542399 0.45457601]
0.0	[0.54571554 0.45428446]
0.0	[0.54554972 0.45445028]
0.0	[0.54712376 0.45287624]
0.0	[0.54521782 0.45478218]
0.0	[0.60217999 0.39782001]
0.0	[0.57863334 0.42136666]
0.0	[0.59170428 0.40829572]
0.0	[0.65629133 0.34370867]
0.0	[0.54545477 0.45454523]
0.0	[0.59903628 0.40096372]
0.0	[0.54515264 0.45484736]
0.0	[0.54652373 0.45347627]
0.0	[0.54527411 0.45472589]
0.0	[0.61110841 0.38889159]
0.0	[0.54590275 0.45409725]
0.0	[0.54619903 0.45380097]
0.0	[0.5454748 0.4545252]
0.0	[0.65660815 0.34339185]
0.0	[0.60208795 0.39791205]
0.0	[0.6110693 0.3889307]
0.0	[0.54610458 0.45389542]
0.0	[0.59578887 0.40421113]
0.0	[0.6009733 0.3990267]
1.0	[0.29729085 0.70270915]
0.0	[0.66076358 0.33923642]
0.0	[0.65206332 0.34793668]
0.0	[0.54564998 0.45435002]
0.0	[0.54519117 0.45480883]
0.0	[0.60143908 0.39856092]
0.0	[0.54537275 0.45462725]
0.0	[0.54535562 0.45464438]
0.0	[0.5454433 0.4545567]
0.0	[0.61090922 0.38909078]
0.0	[0.6105013 0.3894987]
0.0	[0.54767396 0.45232604]
0.0	[0.54524106 0.45475894]
0.0	[0.54508597 0.45491403]
0.0	[0.54673784 0.45326216]
0.0	[0.54553642 0.45446358]
0.0	[0.65592309 0.34407691]
0.0	[0.54421232 0.45578768]
1.0	[0.3006531 0.6993469]
0.0	[0.6022218 0.3977782]
0.0	[0.54539352 0.45460648]
0.0	[0.54546019 0.45453981]
0.0	[0.60820376 0.39179624]
0.0	[0.59119321 0.40880679]
0.0	[0.54602516 0.45397484]
0.0	[0.54648113 0.45351887]
0.0	[0.59864905 0.40135095]
0.0	[0.5472048 0.4527952]
0.0	[0.54723609 0.45276391]
