#ypred	ypred_prob
0.0	[0.91949268 0.08050732]
0.0	[0.87501616 0.12498384]
0.0	[0.96757962 0.03242038]
0.0	[0.92893115 0.07106885]
0.0	[0.90536537 0.09463463]
0.0	[0.99752888 0.00247112]
0.0	[0.93459475 0.06540525]
0.0	[0.89015039 0.10984961]
0.0	[0.921078 0.078922]
0.0	[0.99693607 0.00306393]
0.0	[0.96176746 0.03823254]
0.0	[0.94175375 0.05824625]
0.0	[0.91548994 0.08451006]
0.0	[0.91094042 0.08905958]
0.0	[0.9710895 0.0289105]
0.0	[0.93174712 0.06825288]
0.0	[0.97430804 0.02569196]
0.0	[0.95124833 0.04875167]
0.0	[0.93198071 0.06801929]
0.0	[0.9695494 0.0304506]
0.0	[0.91795939 0.08204061]
0.0	[0.99542015 0.00457985]
0.0	[0.94799818 0.05200182]
0.0	[0.94400201 0.05599799]
0.0	[0.97599306 0.02400694]
0.0	[0.9262955 0.0737045]
0.0	[0.92504355 0.07495645]
0.0	[0.73832067 0.26167933]
0.0	[0.96623346 0.03376654]
0.0	[0.98760737 0.01239263]
0.0	[0.98132462 0.01867538]
0.0	[0.94925066 0.05074934]
0.0	[0.97999692 0.02000308]
0.0	[0.98612707 0.01387293]
0.0	[0.92780808 0.07219192]
0.0	[0.95094665 0.04905335]
0.0	[0.91496789 0.08503211]
0.0	[0.93933152 0.06066848]
0.0	[0.98812773 0.01187227]
0.0	[0.92100929 0.07899071]
0.0	[0.99074396 0.00925604]
0.0	[0.93866902 0.06133098]
0.0	[0.99420308 0.00579692]
0.0	[0.96358685 0.03641315]
0.0	[0.93938464 0.06061536]
0.0	[0.93636813 0.06363187]
0.0	[0.97839751 0.02160249]
0.0	[0.98162511 0.01837489]
0.0	[0.97617385 0.02382615]
0.0	[0.97165804 0.02834196]
0.0	[0.89603885 0.10396115]
0.0	[0.94813367 0.05186633]
0.0	[0.941276 0.058724]
0.0	[0.97777997 0.02222003]
0.0	[0.97912402 0.02087598]
0.0	[0.94546238 0.05453762]
0.0	[0.98866152 0.01133848]
0.0	[0.94468493 0.05531507]
0.0	[0.99088957 0.00911043]
0.0	[0.9759835 0.0240165]
0.0	[0.63117969 0.36882031]
0.0	[0.9690665 0.0309335]
0.0	[0.99255165 0.00744835]
0.0	[0.96326548 0.03673452]
0.0	[0.98682943 0.01317057]
0.0	[0.9207149 0.0792851]
0.0	[0.9027381 0.0972619]
0.0	[0.96115815 0.03884185]
0.0	[0.7295991 0.2704009]
0.0	[0.93998981 0.06001019]
0.0	[0.95390572 0.04609428]
0.0	[0.93876087 0.06123913]
0.0	[0.93292557 0.06707443]
0.0	[0.97893999 0.02106001]
0.0	[0.95014718 0.04985282]
0.0	[0.9212624 0.0787376]
0.0	[0.96760455 0.03239545]
0.0	[0.98715623 0.01284377]
0.0	[0.98217504 0.01782496]
0.0	[0.96209551 0.03790449]
0.0	[0.93497723 0.06502277]
0.0	[0.93098918 0.06901082]
1.0	[0.49752378 0.50247622]
0.0	[0.94164168 0.05835832]
0.0	[0.94695708 0.05304292]
0.0	[0.93801357 0.06198643]
0.0	[0.98401869 0.01598131]
0.0	[0.90541186 0.09458814]
0.0	[0.91611181 0.08388819]
0.0	[0.91120924 0.08879076]
0.0	[0.89112014 0.10887986]
0.0	[0.93559866 0.06440134]
0.0	[0.93734089 0.06265911]
0.0	[0.94307111 0.05692889]
0.0	[0.92296802 0.07703198]
0.0	[0.98358591 0.01641409]
0.0	[0.5204551 0.4795449]
0.0	[0.79144062 0.20855938]
0.0	[0.96493846 0.03506154]
0.0	[0.95514315 0.04485685]
0.0	[0.97908769 0.02091231]
0.0	[0.9780195 0.0219805]
0.0	[0.97592479 0.02407521]
0.0	[0.89614109 0.10385891]
0.0	[0.97522366 0.02477634]
0.0	[0.97388299 0.02611701]
0.0	[0.99421292 0.00578708]
0.0	[0.92486444 0.07513556]
0.0	[0.95015705 0.04984295]
0.0	[0.9428867 0.0571133]
0.0	[0.91278269 0.08721731]
0.0	[0.94280021 0.05719979]
0.0	[0.95778618 0.04221382]
0.0	[0.94650906 0.05349094]
0.0	[0.9328824 0.0671176]
0.0	[0.92672603 0.07327397]
0.0	[0.98116083 0.01883917]
0.0	[0.88806978 0.11193022]
0.0	[0.98535144 0.01464856]
0.0	[0.97059545 0.02940455]
0.0	[0.97428978 0.02571022]
0.0	[0.94641457 0.05358543]
0.0	[0.91996621 0.08003379]
0.0	[0.96814511 0.03185489]
0.0	[0.92556127 0.07443873]
0.0	[0.94564428 0.05435572]
0.0	[0.91185402 0.08814598]
0.0	[0.9956143 0.0043857]
0.0	[0.94398373 0.05601627]
