#ypred	ypred_prob
0.0	[0.51159135 0.48840865]
0.0	[0.59835865 0.40164135]
0.0	[0.54282753 0.45717247]
0.0	[0.514345 0.485655]
0.0	[0.51020055 0.48979945]
1.0	[0.48855039 0.51144961]
0.0	[0.50723445 0.49276555]
0.0	[0.50979195 0.49020805]
0.0	[0.50745094 0.49254906]
0.0	[0.51988994 0.48011006]
0.0	[0.51741618 0.48258382]
0.0	[0.50815598 0.49184402]
0.0	[0.59325021 0.40674979]
0.0	[0.51568239 0.48431761]
0.0	[0.524277 0.475723]
0.0	[0.5077646 0.4922354]
0.0	[0.5045029 0.4954971]
0.0	[0.51135056 0.48864944]
0.0	[0.51683925 0.48316075]
0.0	[0.50923268 0.49076732]
0.0	[0.51119196 0.48880804]
0.0	[0.53170987 0.46829013]
0.0	[0.51086116 0.48913884]
0.0	[0.50599019 0.49400981]
0.0	[0.50527705 0.49472295]
0.0	[0.50779236 0.49220764]
0.0	[0.52205892 0.47794108]
0.0	[0.58669232 0.41330768]
1.0	[0.49086556 0.50913444]
0.0	[0.5309385 0.4690615]
1.0	[0.49293434 0.50706566]
0.0	[0.50763079 0.49236921]
1.0	[0.48996885 0.51003115]
0.0	[0.51378262 0.48621738]
0.0	[0.50391779 0.49608221]
0.0	[0.50220068 0.49779932]
0.0	[0.51665121 0.48334879]
0.0	[0.50838639 0.49161361]
0.0	[0.53609305 0.46390695]
0.0	[0.51154284 0.48845716]
0.0	[0.51533241 0.48466759]
0.0	[0.50189641 0.49810359]
0.0	[0.52079303 0.47920697]
0.0	[0.51198122 0.48801878]
0.0	[0.50436738 0.49563262]
0.0	[0.5106415 0.4893585]
0.0	[0.53507492 0.46492508]
0.0	[0.53092856 0.46907144]
0.0	[0.50667971 0.49332029]
0.0	[0.5057468 0.4942532]
0.0	[0.50609248 0.49390752]
0.0	[0.51305093 0.48694907]
0.0	[0.5009914 0.4990086]
0.0	[0.50279207 0.49720793]
0.0	[0.50035966 0.49964034]
0.0	[0.51223704 0.48776296]
1.0	[0.49784854 0.50215146]
0.0	[0.51337684 0.48662316]
0.0	[0.513638 0.486362]
0.0	[0.51148358 0.48851642]
0.0	[0.59086268 0.40913732]
1.0	[0.4947111 0.5052889]
0.0	[0.53236433 0.46763567]
1.0	[0.49509722 0.50490278]
0.0	[0.50662488 0.49337512]
0.0	[0.50738621 0.49261379]
0.0	[0.50775715 0.49224285]
0.0	[0.5317372 0.4682628]
0.0	[0.56293556 0.43706444]
0.0	[0.50075899 0.49924101]
1.0	[0.49398022 0.50601978]
0.0	[0.50776294 0.49223706]
1.0	[0.49936267 0.50063733]
0.0	[0.51258197 0.48741803]
0.0	[0.53179258 0.46820742]
0.0	[0.51574193 0.48425807]
0.0	[0.52091743 0.47908257]
0.0	[0.50191554 0.49808446]
1.0	[0.49716609 0.50283391]
0.0	[0.56325588 0.43674412]
0.0	[0.50454469 0.49545531]
0.0	[0.50245609 0.49754391]
0.0	[0.59532427 0.40467573]
0.0	[0.50402756 0.49597244]
0.0	[0.5049921 0.4950079]
0.0	[0.53893576 0.46106424]
0.0	[0.50815332 0.49184668]
0.0	[0.50798967 0.49201033]
0.0	[0.51673449 0.48326551]
0.0	[0.51816761 0.48183239]
0.0	[0.51502378 0.48497622]
0.0	[0.51452558 0.48547442]
0.0	[0.50962815 0.49037185]
0.0	[0.51969964 0.48030036]
0.0	[0.50801133 0.49198867]
0.0	[0.59100232 0.40899768]
0.0	[0.5709537 0.4290463]
0.0	[0.51336368 0.48663632]
0.0	[0.53567222 0.46432778]
0.0	[0.53780246 0.46219754]
