#ypred	ypred_prob
1.0	[0.46986416 0.53013584]
0.0	[0.57222997 0.42777003]
0.0	[0.56781961 0.43218039]
0.0	[0.53971443 0.46028557]
0.0	[0.56967054 0.43032946]
0.0	[0.57864114 0.42135886]
0.0	[0.57333153 0.42666847]
0.0	[0.57445129 0.42554871]
0.0	[0.56192803 0.43807197]
0.0	[0.54145356 0.45854644]
1.0	[0.47171553 0.52828447]
0.0	[0.57434586 0.42565414]
0.0	[0.58671364 0.41328636]
0.0	[0.58047463 0.41952537]
0.0	[0.53711698 0.46288302]
0.0	[0.53392915 0.46607085]
0.0	[0.58418858 0.41581142]
0.0	[0.56143192 0.43856808]
0.0	[0.58211358 0.41788642]
0.0	[0.54263433 0.45736567]
0.0	[0.54294911 0.45705089]
0.0	[0.54495408 0.45504592]
0.0	[0.52039311 0.47960689]
0.0	[0.56448476 0.43551524]
0.0	[0.54015996 0.45984004]
0.0	[0.55177355 0.44822645]
0.0	[0.55067659 0.44932341]
0.0	[0.58157702 0.41842298]
0.0	[0.56234804 0.43765196]
1.0	[0.4477197 0.5522803]
0.0	[0.56095621 0.43904379]
0.0	[0.5500053 0.4499947]
0.0	[0.56471758 0.43528242]
0.0	[0.56625607 0.43374393]
0.0	[0.52762877 0.47237123]
0.0	[0.56347947 0.43652053]
0.0	[0.54846148 0.45153852]
0.0	[0.56060336 0.43939664]
0.0	[0.58781576 0.41218424]
0.0	[0.5127839 0.4872161]
1.0	[0.45786235 0.54213765]
0.0	[0.54065572 0.45934428]
0.0	[0.56067061 0.43932939]
0.0	[0.5866378 0.4133622]
0.0	[0.57433836 0.42566164]
0.0	[0.50636286 0.49363714]
0.0	[0.58796273 0.41203727]
1.0	[0.49333838 0.50666162]
0.0	[0.54473812 0.45526188]
0.0	[0.54754417 0.45245583]
0.0	[0.55744841 0.44255159]
1.0	[0.45834872 0.54165128]
1.0	[0.45200391 0.54799609]
0.0	[0.54937773 0.45062227]
0.0	[0.5577439 0.4422561]
0.0	[0.57107626 0.42892374]
0.0	[0.56424629 0.43575371]
0.0	[0.51099162 0.48900838]
0.0	[0.53150441 0.46849559]
1.0	[0.48662724 0.51337276]
0.0	[0.60387882 0.39612118]
0.0	[0.56040202 0.43959798]
1.0	[0.45408357 0.54591643]
1.0	[0.47054174 0.52945826]
1.0	[0.45060187 0.54939813]
0.0	[0.55947026 0.44052974]
0.0	[0.56513383 0.43486617]
0.0	[0.56277976 0.43722024]
0.0	[0.54275449 0.45724551]
0.0	[0.58283806 0.41716194]
0.0	[0.55144975 0.44855025]
0.0	[0.59656885 0.40343115]
1.0	[0.48351188 0.51648812]
1.0	[0.47504979 0.52495021]
0.0	[0.55861133 0.44138867]
0.0	[0.56846579 0.43153421]
1.0	[0.49312345 0.50687655]
0.0	[0.58261651 0.41738349]
0.0	[0.56106221 0.43893779]
0.0	[0.60339743 0.39660257]
0.0	[0.56220905 0.43779095]
0.0	[0.57120174 0.42879826]
0.0	[0.53165629 0.46834371]
0.0	[0.57136486 0.42863514]
1.0	[0.46444498 0.53555502]
0.0	[0.58104897 0.41895103]
0.0	[0.56956517 0.43043483]
0.0	[0.5504619 0.4495381]
0.0	[0.53317535 0.46682465]
1.0	[0.44825016 0.55174984]
0.0	[0.57872762 0.42127238]
0.0	[0.52092793 0.47907207]
0.0	[0.58360788 0.41639212]
0.0	[0.55956104 0.44043896]
1.0	[0.43827722 0.56172278]
0.0	[0.55513743 0.44486257]
0.0	[0.58682027 0.41317973]
0.0	[0.53795354 0.46204646]
0.0	[0.56052285 0.43947715]
0.0	[0.57119225 0.42880775]
0.0	[0.55746799 0.44253201]
0.0	[0.5695396 0.4304604]
1.0	[0.44646069 0.55353931]
0.0	[0.50901533 0.49098467]
0.0	[0.5700559 0.4299441]
0.0	[0.53967899 0.46032101]
0.0	[0.57141437 0.42858563]
0.0	[0.52003443 0.47996557]
0.0	[0.58056194 0.41943806]
0.0	[0.57592604 0.42407396]
0.0	[0.56465792 0.43534208]
0.0	[0.55328474 0.44671526]
0.0	[0.55140586 0.44859414]
0.0	[0.53185406 0.46814594]
0.0	[0.58879782 0.41120218]
0.0	[0.54577109 0.45422891]
0.0	[0.57301862 0.42698138]
1.0	[0.45745495 0.54254505]
0.0	[0.59143008 0.40856992]
0.0	[0.55879885 0.44120115]
0.0	[0.58634911 0.41365089]
0.0	[0.58834072 0.41165928]
0.0	[0.53680508 0.46319492]
0.0	[0.54973809 0.45026191]
0.0	[0.57589751 0.42410249]
0.0	[0.50000898 0.49999102]
1.0	[0.47027706 0.52972294]
0.0	[0.55892551 0.44107449]
0.0	[0.55873852 0.44126148]
0.0	[0.57133507 0.42866493]
0.0	[0.58320331 0.41679669]
0.0	[0.58802584 0.41197416]
0.0	[0.53411619 0.46588381]
0.0	[0.59170514 0.40829486]
0.0	[0.55994453 0.44005547]
0.0	[0.53302484 0.46697516]
0.0	[0.53986693 0.46013307]
0.0	[0.55585996 0.44414004]
0.0	[0.57540282 0.42459718]
0.0	[0.57909769 0.42090231]
0.0	[0.54327023 0.45672977]
0.0	[0.5791652 0.4208348]
0.0	[0.56688706 0.43311294]
0.0	[0.55460085 0.44539915]
0.0	[0.57507428 0.42492572]
0.0	[0.52760148 0.47239852]
0.0	[0.54938334 0.45061666]
0.0	[0.50946526 0.49053474]
0.0	[0.55623376 0.44376624]
0.0	[0.57109055 0.42890945]
0.0	[0.54589353 0.45410647]
1.0	[0.43573238 0.56426762]
0.0	[0.56529969 0.43470031]
1.0	[0.48468771 0.51531229]
0.0	[0.53161835 0.46838165]
1.0	[0.45755748 0.54244252]
0.0	[0.56669348 0.43330652]
0.0	[0.5560643 0.4439357]
0.0	[0.55176288 0.44823712]
0.0	[0.51832558 0.48167442]
0.0	[0.54674992 0.45325008]
0.0	[0.5881425 0.4118575]
0.0	[0.55671457 0.44328543]
0.0	[0.58065364 0.41934636]
0.0	[0.56283623 0.43716377]
0.0	[0.51377527 0.48622473]
0.0	[0.55181127 0.44818873]
0.0	[0.58601111 0.41398889]
0.0	[0.58477827 0.41522173]
0.0	[0.57282033 0.42717967]
0.0	[0.56499544 0.43500456]
0.0	[0.56499671 0.43500329]
1.0	[0.4585434 0.5414566]
0.0	[0.57136215 0.42863785]
0.0	[0.55835552 0.44164448]
0.0	[0.55825931 0.44174069]
0.0	[0.52780671 0.47219329]
0.0	[0.57679041 0.42320959]
0.0	[0.54244721 0.45755279]
0.0	[0.58354964 0.41645036]
0.0	[0.57753697 0.42246303]
0.0	[0.56502806 0.43497194]
0.0	[0.50809866 0.49190134]
1.0	[0.47393208 0.52606792]
0.0	[0.54521846 0.45478154]
1.0	[0.47413381 0.52586619]
0.0	[0.55616304 0.44383696]
0.0	[0.55380895 0.44619105]
0.0	[0.58015384 0.41984616]
1.0	[0.47486245 0.52513755]
0.0	[0.58190554 0.41809446]
0.0	[0.58077179 0.41922821]
0.0	[0.54724402 0.45275598]
0.0	[0.5315941 0.4684059]
0.0	[0.55101429 0.44898571]
0.0	[0.55017932 0.44982068]
0.0	[0.55387788 0.44612212]
0.0	[0.5394753 0.4605247]
0.0	[0.56555476 0.43444524]
0.0	[0.53307151 0.46692849]
1.0	[0.43479097 0.56520903]
0.0	[0.56240907 0.43759093]
0.0	[0.54188548 0.45811452]
0.0	[0.57847823 0.42152177]
0.0	[0.5817335 0.4182665]
0.0	[0.57231685 0.42768315]
0.0	[0.56112976 0.43887024]
0.0	[0.55007063 0.44992937]
1.0	[0.47662076 0.52337924]
0.0	[0.59053627 0.40946373]
1.0	[0.44296779 0.55703221]
1.0	[0.44157639 0.55842361]
0.0	[0.58527761 0.41472239]
0.0	[0.56240348 0.43759652]
0.0	[0.56756626 0.43243374]
0.0	[0.54614749 0.45385251]
0.0	[0.53051763 0.46948237]
0.0	[0.5703533 0.4296467]
0.0	[0.56722529 0.43277471]
0.0	[0.56165414 0.43834586]
