#ypred	ypred_prob
1.0	[0.02810556 0.97189444]
1.0	[0.00943102 0.99056898]
1.0	[0.00239332 0.99760668]
1.0	[0.17325136 0.82674864]
1.0	[0.17897144 0.82102856]
1.0	[0.11071441 0.88928559]
1.0	[0.06737555 0.93262445]
1.0	[0.00606945 0.99393055]
0.0	[0.92027796 0.07972204]
0.0	[0.86699578 0.13300422]
1.0	[0.00332857 0.99667143]
0.0	[0.75463951 0.24536049]
1.0	[0.01754893 0.98245107]
0.0	[0.93538916 0.06461084]
0.0	[0.97072113 0.02927887]
0.0	[0.99698175 0.00301825]
1.0	[0.0379946 0.9620054]
0.0	[0.94472576 0.05527424]
1.0	[0.00893693 0.99106307]
1.0	[0.09064 0.90936]
0.0	[0.66689184 0.33310816]
1.0	[0.00347978 0.99652022]
1.0	[0.00874185 0.99125815]
0.0	[0.95747556 0.04252444]
0.0	[0.96504553 0.03495447]
0.0	[0.99715735 0.00284265]
1.0	[0.00488189 0.99511811]
1.0	[0.0040972 0.9959028]
1.0	[0.10374651 0.89625349]
1.0	[0.00314467 0.99685533]
1.0	[0.00973685 0.99026315]
1.0	[0.00466478 0.99533522]
0.0	[0.92264977 0.07735023]
1.0	[0.00488904 0.99511096]
1.0	[0.01777897 0.98222103]
1.0	[0.00555583 0.99444417]
0.0	[0.98872976 0.01127024]
0.0	[0.97610762 0.02389238]
1.0	[0.10899006 0.89100994]
0.0	[0.92709489 0.07290511]
1.0	[0.00607286 0.99392714]
0.0	[0.63486796 0.36513204]
1.0	[0.00494326 0.99505674]
1.0	[0.0181881 0.9818119]
1.0	[0.00319911 0.99680089]
0.0	[0.7998138 0.2001862]
0.0	[0.99484488 0.00515512]
0.0	[0.91060207 0.08939793]
1.0	[0.05457741 0.94542259]
1.0	[0.04408244 0.95591756]
1.0	[0.00513723 0.99486277]
1.0	[0.04371085 0.95628915]
1.0	[0.0042213 0.9957787]
1.0	[0.11953831 0.88046169]
1.0	[0.03261008 0.96738992]
1.0	[0.36138317 0.63861683]
1.0	[0.00726422 0.99273578]
0.0	[0.75193047 0.24806953]
1.0	[0.09701734 0.90298266]
1.0	[0.02767815 0.97232185]
1.0	[0.01129763 0.98870237]
1.0	[0.0041767 0.9958233]
1.0	[0.01773208 0.98226792]
0.0	[0.99330793 0.00669207]
1.0	[0.0233477 0.9766523]
0.0	[0.99668028 0.00331972]
1.0	[0.0467376 0.9532624]
0.0	[0.88906293 0.11093707]
1.0	[0.00440698 0.99559302]
1.0	[0.00276077 0.99723923]
1.0	[0.05925235 0.94074765]
1.0	[0.00279049 0.99720951]
1.0	[0.07813427 0.92186573]
0.0	[0.57519427 0.42480573]
1.0	[0.01250409 0.98749591]
1.0	[0.15381546 0.84618454]
1.0	[0.00935807 0.99064193]
1.0	[0.03189974 0.96810026]
0.0	[0.73840625 0.26159375]
1.0	[0.00842203 0.99157797]
1.0	[0.01136153 0.98863847]
0.0	[0.58192524 0.41807476]
1.0	[0.00936539 0.99063461]
1.0	[0.05814224 0.94185776]
1.0	[0.01026363 0.98973637]
1.0	[0.00736032 0.99263968]
1.0	[0.08890034 0.91109966]
1.0	[0.00280247 0.99719753]
0.0	[0.99067766 0.00932234]
0.0	[0.97038945 0.02961055]
0.0	[0.97938475 0.02061525]
1.0	[0.00327169 0.99672831]
1.0	[0.00285273 0.99714727]
1.0	[0.00267584 0.99732416]
1.0	[0.01036595 0.98963405]
1.0	[0.09778495 0.90221505]
1.0	[0.01222812 0.98777188]
1.0	[0.00754247 0.99245753]
1.0	[0.00498734 0.99501266]
1.0	[0.00527314 0.99472686]
0.0	[0.94035196 0.05964804]
1.0	[0.03593695 0.96406305]
1.0	[0.00350312 0.99649688]
1.0	[0.02189302 0.97810698]
1.0	[0.03708998 0.96291002]
1.0	[0.00562993 0.99437007]
1.0	[0.01382963 0.98617037]
1.0	[0.00410732 0.99589268]
1.0	[0.14896111 0.85103889]
1.0	[0.0110304 0.9889696]
0.0	[0.93725389 0.06274611]
0.0	[0.79489086 0.20510914]
1.0	[0.23623804 0.76376196]
0.0	[0.99181915 0.00818085]
0.0	[0.99030092 0.00969908]
0.0	[0.96013499 0.03986501]
0.0	[0.97692713 0.02307287]
0.0	[0.58559336 0.41440664]
1.0	[0.31706724 0.68293276]
1.0	[0.00277033 0.99722967]
0.0	[0.99718449 0.00281551]
0.0	[0.99714162 0.00285838]
1.0	[0.00267512 0.99732488]
1.0	[0.01148134 0.98851866]
1.0	[0.07145553 0.92854447]
1.0	[0.10972121 0.89027879]
