#ypred	ypred_prob
1.0	[3.28767907e-05 9.99967123e-01]
1.0	[0.0096 0.9904]
1.0	[0. 1.]
1.0	[0.17240596 0.82759404]
1.0	[0.21557177 0.78442823]
1.0	[0.08687982 0.91312018]
1.0	[0.10630703 0.89369297]
1.0	[0.0096 0.9904]
0.0	[0.83676482 0.16323518]
0.0	[0.75990195 0.24009805]
1.0	[1.29095067e-07 9.99999871e-01]
0.0	[0.54544334 0.45455666]
1.0	[0.02184534 0.97815466]
0.0	[0.84627936 0.15372064]
0.0	[0.91356383 0.08643617]
0.0	[0.98079948 0.01920052]
1.0	[0.09622068 0.90377932]
0.0	[0.89438693 0.10561307]
1.0	[0.01920089 0.98079911]
1.0	[0.12772699 0.87227301]
0.0	[0.60437379 0.39562621]
1.0	[3.33012735e-07 9.99999667e-01]
1.0	[1.63033381e-06 9.99998370e-01]
0.0	[0.83586452 0.16413548]
0.0	[0.94239936 0.05760064]
0.0	[9.99999817e-01 1.83094696e-07]
1.0	[0.0096002 0.9903998]
1.0	[0. 1.]
1.0	[0.08822446 0.91177554]
1.0	[1.68485228e-05 9.99983151e-01]
1.0	[5.68055615e-06 9.99994319e-01]
1.0	[0.0096 0.9904]
0.0	[0.79837246 0.20162754]
1.0	[0.01921456 0.98078544]
1.0	[0.04837486 0.95162514]
1.0	[0.01323786 0.98676214]
0.0	[0.99038293 0.00961707]
0.0	[0.87518335 0.12481665]
1.0	[0.22428769 0.77571231]
0.0	[0.83674646 0.16325354]
1.0	[0. 1.]
1.0	[0.42464696 0.57535304]
1.0	[2.19809532e-05 9.99978019e-01]
1.0	[0.01922175 0.98077825]
1.0	[1.01339081e-05 9.99989866e-01]
0.0	[0.61571667 0.38428333]
0.0	[0.95197272 0.04802728]
0.0	[0.80603744 0.19396256]
1.0	[0.06072709 0.93927291]
1.0	[0.06792202 0.93207798]
1.0	[0.0096 0.9904]
1.0	[0.08640038 0.91359962]
1.0	[0.0096 0.9904]
1.0	[0.20654816 0.79345184]
1.0	[0.10943507 0.89056493]
1.0	[0.4124665 0.5875335]
1.0	[0.0096 0.9904]
0.0	[0.71358413 0.28641587]
1.0	[0.12480308 0.87519692]
1.0	[0.0481506 0.9518494]
1.0	[0. 1.]
1.0	[0.00961387 0.99038613]
1.0	[3.36977265e-05 9.99966302e-01]
0.0	[9.99988917e-01 1.10825074e-05]
1.0	[9.67148430e-08 9.99999903e-01]
0.0	[9.99999952e-01 4.79089453e-08]
1.0	[0.08814568 0.91185432]
0.0	[0.71195947 0.28804053]
1.0	[0. 1.]
1.0	[3.67520613e-06 9.99996325e-01]
1.0	[0.02880011 0.97119989]
1.0	[0. 1.]
1.0	[0.09600419 0.90399581]
1.0	[0.39313078 0.60686922]
1.0	[0.01995154 0.98004846]
1.0	[0.18292029 0.81707971]
1.0	[0.00960005 0.99039995]
1.0	[0.08642634 0.91357366]
0.0	[0.67101702 0.32898298]
1.0	[0.00974416 0.99025584]
1.0	[0.0096 0.9904]
1.0	[0.49358489 0.50641511]
1.0	[0.03842076 0.96157924]
1.0	[0.0480393 0.9519607]
1.0	[0.00960779 0.99039221]
1.0	[0. 1.]
1.0	[0.10567861 0.89432139]
1.0	[0. 1.]
0.0	[9.99990729e-01 9.27076458e-06]
0.0	[0.91358705 0.08641295]
0.0	[0.97119539 0.02880461]
1.0	[1.64401968e-07 9.99999836e-01]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.06720005 0.93279995]
1.0	[0.12199685 0.87800315]
1.0	[0.0288 0.9712]
1.0	[0.0096 0.9904]
1.0	[4.79680665e-05 9.99952032e-01]
1.0	[3.20294961e-07 9.99999680e-01]
0.0	[0.84601914 0.15398086]
1.0	[0.02202694 0.97797306]
1.0	[0.01924099 0.98075901]
1.0	[0.01920769 0.98079231]
1.0	[0.06734389 0.93265611]
1.0	[6.28126059e-04 9.99371874e-01]
1.0	[0.01921141 0.98078859]
1.0	[0.0192 0.9808]
1.0	[0.15113864 0.84886136]
1.0	[2.98981168e-07 9.99999701e-01]
0.0	[0.85597488 0.14402512]
0.0	[0.72665883 0.27334117]
1.0	[0.33622381 0.66377619]
0.0	[0.99039516 0.00960484]
0.0	[0.98073973 0.01926027]
0.0	[0.92308809 0.07691191]
0.0	[0.93279966 0.06720034]
0.0	[0.52858145 0.47141855]
1.0	[0.40295363 0.59704637]
1.0	[0. 1.]
0.0	[9.99999932e-01 6.84377048e-08]
0.0	[9.99999768e-01 2.32263971e-07]
1.0	[0. 1.]
1.0	[0.0096005 0.9903995]
1.0	[0.10572766 0.89427234]
1.0	[0.04804129 0.95195871]
1.0	[0.0096 0.9904]
1.0	[0.19743188 0.80256812]
1.0	[0.00960006 0.99039994]
1.0	[0.2868321 0.7131679]
1.0	[0.44261602 0.55738398]
1.0	[0.05760044 0.94239956]
0.0	[0.86557897 0.13442103]
1.0	[0. 1.]
1.0	[0.15963029 0.84036971]
1.0	[0.019223 0.980777]
1.0	[0.03214807 0.96785193]
1.0	[0.02925166 0.97074834]
1.0	[0.02888184 0.97111816]
0.0	[0.95199988 0.04800012]
1.0	[7.61460068e-08 9.99999924e-01]
0.0	[0.91358633 0.08641367]
1.0	[0.03488478 0.96511522]
1.0	[0.18562871 0.81437129]
1.0	[0.0192 0.9808]
1.0	[0.0096891 0.9903109]
1.0	[8.97887273e-05 9.99910211e-01]
1.0	[0.01920901 0.98079099]
1.0	[0.46390103 0.53609897]
1.0	[0.03846921 0.96153079]
1.0	[5.02994609e-06 9.99994970e-01]
1.0	[0.36317548 0.63682452]
0.0	[0.90380538 0.09619462]
1.0	[0.0096 0.9904]
0.0	[0.91355169 0.08644831]
1.0	[0.4298831 0.5701169]
1.0	[0.00455608 0.99544392]
0.0	[0.89305909 0.10694091]
0.0	[0.63074899 0.36925101]
1.0	[0.09329455 0.90670545]
1.0	[0.12944961 0.87055039]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.19046408 0.80953592]
1.0	[0.03840005 0.96159995]
1.0	[0.0961072 0.9038928]
1.0	[0.04802352 0.95197648]
1.0	[0. 1.]
1.0	[7.16626078e-06 9.99992834e-01]
1.0	[1.27674943e-06 9.99998723e-01]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[1.09820674e-07 9.99999890e-01]
0.0	[0.95126943 0.04873057]
1.0	[0. 1.]
1.0	[0.02880486 0.97119514]
1.0	[0.41371442 0.58628558]
1.0	[0.37499642 0.62500358]
0.0	[0.56603184 0.43396816]
1.0	[0.13664897 0.86335103]
1.0	[0.10531389 0.89468611]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.0480454 0.9519546]
1.0	[0.02059788 0.97940212]
1.0	[4.03309033e-08 9.99999960e-01]
1.0	[0.09743675 0.90256325]
1.0	[0.27216141 0.72783859]
0.0	[0.98077745 0.01922255]
1.0	[0.0096 0.9904]
0.0	[0.93125928 0.06874072]
0.0	[0.55007371 0.44992629]
1.0	[0.11645304 0.88354696]
1.0	[0.0288 0.9712]
1.0	[0.43484105 0.56515895]
1.0	[0.11520035 0.88479965]
0.0	[0.93279962 0.06720038]
0.0	[0.91359994 0.08640006]
0.0	[9.99999927e-01 7.29835777e-08]
1.0	[0.04800018 0.95199982]
1.0	[0.00960012 0.99039988]
1.0	[0.22277552 0.77722448]
1.0	[0. 1.]
1.0	[6.29673672e-07 9.99999370e-01]
1.0	[2.39648764e-07 9.99999760e-01]
1.0	[0.04885948 0.95114052]
1.0	[0.22027456 0.77972544]
1.0	[0.3855325 0.6144675]
1.0	[0.00960013 0.99039987]
1.0	[0.01991129 0.98008871]
1.0	[0. 1.]
1.0	[0.0096 0.9904]
1.0	[0. 1.]
1.0	[0.0192 0.9808]
1.0	[0.22302018 0.77697982]
1.0	[0.00960167 0.99039833]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[7.91247492e-08 9.99999921e-01]
1.0	[0.24840574 0.75159426]
1.0	[2.03735772e-07 9.99999796e-01]
1.0	[0.26475965 0.73524035]
1.0	[0. 1.]
1.0	[0.0192 0.9808]
1.0	[0. 1.]
1.0	[0.02882465 0.97117535]
1.0	[0.3985407 0.6014593]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0. 1.]
0.0	[0.68263296 0.31736704]
0.0	[0.97119215 0.02880785]
1.0	[4.46287238e-06 9.99995537e-01]
1.0	[7.09108280e-06 9.99992909e-01]
0.0	[0.77919964 0.22080036]
1.0	[0.15286745 0.84713255]
1.0	[0. 1.]
1.0	[5.76211340e-06 9.99994238e-01]
1.0	[0.00960008 0.99039992]
1.0	[0.01920005 0.98079995]
1.0	[1.13352034e-06 9.99998866e-01]
0.0	[0.93279572 0.06720428]
1.0	[0.08826817 0.91173183]
1.0	[0.34935777 0.65064223]
1.0	[0.45128964 0.54871036]
1.0	[1.06749480e-05 9.99989325e-01]
1.0	[0. 1.]
1.0	[0.0192 0.9808]
1.0	[0.0288 0.9712]
1.0	[1.96293034e-07 9.99999804e-01]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.44143112 0.55856888]
1.0	[0. 1.]
1.0	[0.07061965 0.92938035]
1.0	[0. 1.]
1.0	[0.01418272 0.98581728]
1.0	[0. 1.]
1.0	[0.0192 0.9808]
1.0	[0. 1.]
0.0	[9.99940623e-01 5.93770836e-05]
0.0	[9.99996468e-01 3.53163657e-06]
0.0	[9.99963338e-01 3.66620132e-05]
0.0	[9.99981242e-01 1.87584520e-05]
0.0	[9.99994281e-01 5.71872915e-06]
1.0	[0.03840005 0.96159995]
0.0	[0.98071619 0.01928381]
1.0	[4.10453917e-08 9.99999959e-01]
1.0	[4.03522478e-08 9.99999960e-01]
1.0	[0.144 0.856]
1.0	[0. 1.]
0.0	[0.97118752 0.02881248]
1.0	[0.0386102 0.9613898]
0.0	[9.99999599e-01 4.00902778e-07]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.0096 0.9904]
1.0	[0.10467711 0.89532289]
1.0	[6.42753951e-06 9.99993572e-01]
1.0	[0. 1.]
0.0	[0.89413354 0.10586646]
0.0	[0.99039899 0.00960101]
0.0	[0.94113328 0.05886672]
0.0	[0.91353694 0.08646306]
0.0	[0.90389397 0.09610603]
0.0	[0.95199876 0.04800124]
1.0	[0.0672 0.9328]
1.0	[0.01945734 0.98054266]
1.0	[0.27787119 0.72212881]
0.0	[0.61871315 0.38128685]
1.0	[0.02880013 0.97119987]
1.0	[9.43673546e-06 9.99990563e-01]
1.0	[0.21654472 0.78345528]
1.0	[0.02890083 0.97109917]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0. 1.]
0.0	[9.99999543e-01 4.57435058e-07]
0.0	[9.99999536e-01 4.63877159e-07]
0.0	[0.87519815 0.12480185]
1.0	[0. 1.]
1.0	[6.82901603e-06 9.99993171e-01]
1.0	[1.66725733e-06 9.99998333e-01]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[1.60833215e-05 9.99983917e-01]
0.0	[0.91357626 0.08642374]
1.0	[0.12485747 0.87514253]
1.0	[0.4214741 0.5785259]
0.0	[0.94239582 0.05760418]
0.0	[0.99039994 0.00960006]
1.0	[0.18545603 0.81454397]
1.0	[0.02894111 0.97105889]
0.0	[0.6733882 0.3266118]
1.0	[2.48285700e-07 9.99999752e-01]
1.0	[0.0192 0.9808]
1.0	[0.12500027 0.87499973]
0.0	[0.89439901 0.10560099]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[1.10973088e-06 9.99998890e-01]
0.0	[0.9904 0.0096]
1.0	[0.09614877 0.90385123]
1.0	[0.24236254 0.75763746]
1.0	[0.38899682 0.61100318]
1.0	[0.00960028 0.99039972]
1.0	[0. 1.]
0.0	[0.96158471 0.03841529]
1.0	[0.26829427 0.73170573]
1.0	[0.17378528 0.82621472]
1.0	[0.0096 0.9904]
1.0	[0.26630988 0.73369012]
0.0	[0.85578962 0.14421038]
1.0	[0.00960019 0.99039981]
1.0	[0.1517994 0.8482006]
1.0	[0. 1.]
1.0	[5.63098299e-04 9.99436902e-01]
1.0	[0.23054099 0.76945901]
0.0	[0.80775327 0.19224673]
1.0	[0.00844308 0.99155692]
1.0	[0.0056472 0.9943528]
1.0	[0. 1.]
1.0	[0.0288005 0.9711995]
1.0	[0.09608238 0.90391762]
1.0	[0.08589931 0.91410069]
1.0	[0. 1.]
0.0	[0.83679916 0.16320084]
1.0	[0. 1.]
1.0	[0.42804623 0.57195377]
1.0	[0.0096 0.9904]
1.0	[0.02880401 0.97119599]
0.0	[0.62545981 0.37454019]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.37680093 0.62319907]
0.0	[0.54864488 0.45135512]
0.0	[0.951997 0.048003]
1.0	[0.02883763 0.97116237]
0.0	[0.64462735 0.35537265]
1.0	[0.00960006 0.99039994]
0.0	[0.9615997 0.0384003]
0.0	[0.81697327 0.18302673]
1.0	[0.28175715 0.71824285]
0.0	[0.53095686 0.46904314]
0.0	[0.93279888 0.06720112]
1.0	[0.15429027 0.84570973]
0.0	[0.904 0.096]
0.0	[0.97119951 0.02880049]
1.0	[0.05903029 0.94096971]
0.0	[0.82717417 0.17282583]
1.0	[0.048 0.952]
1.0	[2.50709161e-06 9.99997493e-01]
1.0	[0.03840868 0.96159132]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.0096 0.9904]
1.0	[0.00960289 0.99039711]
1.0	[0.01930323 0.98069677]
1.0	[1.80428857e-06 9.99998196e-01]
1.0	[0.01920082 0.98079918]
1.0	[7.83928875e-06 9.99992161e-01]
0.0	[0.67945807 0.32054193]
1.0	[0. 1.]
1.0	[9.83199976e-07 9.99999017e-01]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.28903595 0.71096405]
1.0	[0.09619628 0.90380372]
1.0	[0. 1.]
1.0	[0.0096 0.9904]
1.0	[0.23347584 0.76652416]
0.0	[0.99039989 0.00960011]
0.0	[9.99999993e-01 6.96796798e-09]
1.0	[5.05248600e-07 9.99999495e-01]
1.0	[2.99973543e-07 9.99999700e-01]
0.0	[0.97119965 0.02880035]
1.0	[0.00994156 0.99005844]
1.0	[0.08646784 0.91353216]
0.0	[0.87519961 0.12480039]
1.0	[0. 1.]
0.0	[0.99039999 0.00960001]
0.0	[9.99999803e-01 1.97168573e-07]
1.0	[0.07680082 0.92319918]
1.0	[0. 1.]
0.0	[0.94239045 0.05760955]
1.0	[0.13647746 0.86352254]
1.0	[0.00960008 0.99039992]
1.0	[0.06937687 0.93062313]
1.0	[0.33445339 0.66554661]
1.0	[0.01925285 0.98074715]
0.0	[0.93797873 0.06202127]
1.0	[1.04491976e-05 9.99989551e-01]
1.0	[2.74257002e-06 9.99997257e-01]
1.0	[0.45128335 0.54871665]
1.0	[0.10560104 0.89439896]
1.0	[0.02880008 0.97119992]
1.0	[0.37492479 0.62507521]
0.0	[0.58392455 0.41607545]
1.0	[3.79310780e-06 9.99996207e-01]
0.0	[0.94239957 0.05760043]
0.0	[0.98076915 0.01923085]
0.0	[9.99983168e-01 1.68322546e-05]
1.0	[0.0096 0.9904]
1.0	[0. 1.]
1.0	[0.0876445 0.9123555]
1.0	[0.01920026 0.98079974]
1.0	[0.09837332 0.90162668]
1.0	[0. 1.]
1.0	[0.41306408 0.58693592]
1.0	[0.07680713 0.92319287]
1.0	[0.00990636 0.99009364]
1.0	[6.09358103e-07 9.99999391e-01]
1.0	[0.05288773 0.94711227]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.0192 0.9808]
0.0	[0.85599994 0.14400006]
1.0	[6.23587675e-06 9.99993764e-01]
1.0	[0.00960115 0.99039885]
0.0	[0.83605929 0.16394071]
1.0	[0.04018038 0.95981962]
0.0	[9.99999988e-01 1.16022628e-08]
0.0	[0.65422555 0.34577445]
1.0	[0. 1.]
0.0	[0.51913826 0.48086174]
1.0	[0. 1.]
0.0	[0.96159923 0.03840077]
0.0	[0.9135754 0.0864246]
1.0	[4.62899459e-08 9.99999954e-01]
1.0	[0. 1.]
0.0	[0.75838139 0.24161861]
1.0	[0.25839786 0.74160214]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.0096 0.9904]
0.0	[9.99999065e-01 9.35291500e-07]
0.0	[0.93279656 0.06720344]
1.0	[0.04800158 0.95199842]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[7.30576215e-04 9.99269424e-01]
1.0	[0. 1.]
1.0	[0.0096 0.9904]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.0194605 0.9805395]
0.0	[9.99999248e-01 7.52028711e-07]
1.0	[0. 1.]
1.0	[0. 1.]
1.0	[0.04800004 0.95199996]
0.0	[1. 0.]
1.0	[0.18994625 0.81005375]
0.0	[0.72159541 0.27840459]
0.0	[1. 0.]
0.0	[0.78702264 0.21297736]
1.0	[0.00980111 0.99019889]
1.0	[9.38887499e-04 9.99061113e-01]
0.0	[0.71744303 0.28255697]
1.0	[8.10075724e-07 9.99999190e-01]
1.0	[0.09703031 0.90296969]
1.0	[0. 1.]
1.0	[0.44908862 0.55091138]
1.0	[0.01921297 0.98078703]
1.0	[0.46445803 0.53554197]
