#ypred	ypred_prob
1.0	[5.72628937e-04 9.99427371e-01]
1.0	[4.16529917e-06 9.99995835e-01]
1.0	[1.75425923e-07 9.99999825e-01]
1.0	[0.18789581 0.81210419]
1.0	[0.15572333 0.84427667]
1.0	[0.05672061 0.94327939]
1.0	[0.10363551 0.89636449]
1.0	[3.42162264e-04 9.99657838e-01]
0.0	[0.90253158 0.09746842]
0.0	[0.81799228 0.18200772]
1.0	[0.0013084 0.9986916]
0.0	[0.72262845 0.27737155]
1.0	[0.00495086 0.99504914]
0.0	[0.79794348 0.20205652]
0.0	[0.8787742 0.1212258]
0.0	[0.99115211 0.00884789]
1.0	[0.06398195 0.93601805]
0.0	[0.83289405 0.16710595]
1.0	[0.03488254 0.96511746]
1.0	[0.12785238 0.87214762]
0.0	[0.60275442 0.39724558]
1.0	[5.38225613e-04 9.99461774e-01]
1.0	[0.00129069 0.99870931]
0.0	[0.84825062 0.15174938]
0.0	[0.89439874 0.10560126]
0.0	[9.99982446e-01 1.75537318e-05]
1.0	[0.01275379 0.98724621]
1.0	[0.00892284 0.99107716]
1.0	[0.14017894 0.85982106]
1.0	[0.01031843 0.98968157]
1.0	[1.87918576e-04 9.99812081e-01]
1.0	[0.01276681 0.98723319]
0.0	[0.78360592 0.21639408]
1.0	[0.02757101 0.97242899]
1.0	[0.01926448 0.98073552]
1.0	[0.00229973 0.99770027]
0.0	[0.97341848 0.02658152]
0.0	[0.8982445 0.1017555]
1.0	[0.1475433 0.8524567]
0.0	[0.90620928 0.09379072]
1.0	[0.00132085 0.99867915]
1.0	[0.49230194 0.50769806]
1.0	[0.00228974 0.99771026]
1.0	[0.03672746 0.96327254]
1.0	[0.00539747 0.99460253]
0.0	[0.65079201 0.34920799]
0.0	[0.98045475 0.01954525]
0.0	[0.81265152 0.18734848]
1.0	[0.09744761 0.90255239]
1.0	[0.10409045 0.89590955]
1.0	[0.00921363 0.99078637]
1.0	[0.06919642 0.93080358]
1.0	[0.00908113 0.99091887]
1.0	[0.24684604 0.75315396]
1.0	[0.05682156 0.94317844]
1.0	[0.39268279 0.60731721]
1.0	[0.02736834 0.97263166]
0.0	[0.70003198 0.29996802]
1.0	[0.16174356 0.83825644]
1.0	[0.04516528 0.95483472]
1.0	[0.00870607 0.99129393]
1.0	[3.09911572e-05 9.99969009e-01]
1.0	[8.21517634e-04 9.99178482e-01]
0.0	[0.99839822 0.00160178]
1.0	[0.03964959 0.96035041]
0.0	[0.99864109 0.00135891]
1.0	[0.08626401 0.91373599]
0.0	[0.66546099 0.33453901]
1.0	[4.05359395e-04 9.99594641e-01]
1.0	[6.23976364e-05 9.99937602e-01]
1.0	[0.04343224 0.95656776]
1.0	[1.50721582e-04 9.99849278e-01]
1.0	[0.06642043 0.93357957]
1.0	[0.4375116 0.5624884]
1.0	[0.00517815 0.99482185]
1.0	[0.14149305 0.85850695]
1.0	[0.00649405 0.99350595]
1.0	[0.05455509 0.94544491]
0.0	[0.60823585 0.39176415]
1.0	[0.02080051 0.97919949]
1.0	[2.43834167e-04 9.99756166e-01]
1.0	[0.4625594 0.5374406]
1.0	[3.81563509e-04 9.99618436e-01]
1.0	[0.07220172 0.92779828]
1.0	[0.00185851 0.99814149]
1.0	[0.01014838 0.98985162]
1.0	[0.13162361 0.86837639]
1.0	[8.80212439e-04 9.99119788e-01]
0.0	[9.99613007e-01 3.86993297e-04]
0.0	[0.93878088 0.06121912]
0.0	[0.97186873 0.02813127]
1.0	[9.40670215e-05 9.99905933e-01]
1.0	[2.33164224e-04 9.99766836e-01]
1.0	[1.94319753e-04 9.99805680e-01]
1.0	[0.0345501 0.9654499]
1.0	[0.18444129 0.81555871]
1.0	[0.02975179 0.97024821]
1.0	[0.01940655 0.98059345]
1.0	[0.01359213 0.98640787]
1.0	[0.00148385 0.99851615]
0.0	[0.84807839 0.15192161]
1.0	[0.03203916 0.96796084]
1.0	[0.01047176 0.98952824]
1.0	[0.00927531 0.99072469]
1.0	[0.02062486 0.97937514]
1.0	[0.0064221 0.9935779]
1.0	[0.01589693 0.98410307]
1.0	[4.26780099e-04 9.99573220e-01]
1.0	[0.16177684 0.83822316]
1.0	[0.00898552 0.99101448]
0.0	[0.81638049 0.18361951]
0.0	[0.73677374 0.26322626]
1.0	[0.22887986 0.77112014]
0.0	[0.99091782 0.00908218]
0.0	[0.95532681 0.04467319]
0.0	[0.93847408 0.06152592]
0.0	[0.95602455 0.04397545]
0.0	[0.63870384 0.36129616]
1.0	[0.37392678 0.62607322]
1.0	[9.16676403e-05 9.99908332e-01]
0.0	[9.99982511e-01 1.74892611e-05]
0.0	[9.99982440e-01 1.75597249e-05]
1.0	[0.001733 0.998267]
1.0	[0.01858828 0.98141172]
1.0	[0.09984343 0.90015657]
1.0	[0.08167607 0.91832393]
1.0	[0.00136709 0.99863291]
1.0	[0.10429538 0.89570462]
1.0	[0.00998983 0.99001017]
1.0	[0.28618001 0.71381999]
1.0	[0.41367881 0.58632119]
1.0	[0.12140463 0.87859537]
0.0	[0.85297402 0.14702598]
1.0	[0.00895402 0.99104598]
1.0	[0.11743506 0.88256494]
1.0	[0.03953616 0.96046384]
1.0	[0.02941126 0.97058874]
1.0	[0.04058251 0.95941749]
1.0	[0.03822162 0.96177838]
0.0	[0.97190523 0.02809477]
1.0	[5.05275378e-04 9.99494725e-01]
0.0	[0.9134175 0.0865825]
1.0	[0.04891276 0.95108724]
1.0	[0.223384 0.776616]
1.0	[0.02356053 0.97643947]
1.0	[0.00100572 0.99899428]
1.0	[9.04395585e-04 9.99095604e-01]
1.0	[2.21262571e-04 9.99778737e-01]
0.0	[0.50574154 0.49425846]
1.0	[0.04872849 0.95127151]
1.0	[8.41718174e-04 9.99158282e-01]
1.0	[0.44164364 0.55835636]
0.0	[0.90936342 0.09063658]
1.0	[4.59804394e-04 9.99540196e-01]
0.0	[0.95456927 0.04543073]
1.0	[0.44422619 0.55577381]
1.0	[0.00416888 0.99583112]
0.0	[0.85369359 0.14630641]
0.0	[0.53412378 0.46587622]
1.0	[0.08919363 0.91080637]
1.0	[0.18566132 0.81433868]
1.0	[1.20374967e-04 9.99879625e-01]
1.0	[9.36228674e-04 9.99063771e-01]
1.0	[0.24622432 0.75377568]
1.0	[0.01760033 0.98239967]
1.0	[0.04158879 0.95841121]
1.0	[0.03770098 0.96229902]
1.0	[0.00119259 0.99880741]
1.0	[0.00987174 0.99012826]
1.0	[5.60766681e-04 9.99439233e-01]
1.0	[3.01383826e-04 9.99698616e-01]
1.0	[6.20518555e-04 9.99379481e-01]
1.0	[0.00178191 0.99821809]
0.0	[0.97124823 0.02875177]
1.0	[4.89692915e-06 9.99995103e-01]
1.0	[0.04678821 0.95321179]
1.0	[0.3707312 0.6292688]
1.0	[0.42580484 0.57419516]
0.0	[0.54045706 0.45954294]
1.0	[0.06006286 0.93993714]
1.0	[0.0407754 0.9592246]
1.0	[0.00998049 0.99001951]
1.0	[0.0011925 0.9988075]
1.0	[0.09681251 0.90318749]
1.0	[0.02763637 0.97236363]
1.0	[2.70948554e-04 9.99729051e-01]
1.0	[0.11224459 0.88775541]
1.0	[0.43522241 0.56477759]
0.0	[0.94761621 0.05238379]
1.0	[0.01835744 0.98164256]
0.0	[0.94379281 0.05620719]
1.0	[0.45119715 0.54880285]
1.0	[0.05368748 0.94631252]
1.0	[0.02874412 0.97125588]
0.0	[0.5774018 0.4225982]
1.0	[0.05514645 0.94485355]
0.0	[0.92007456 0.07992544]
0.0	[0.93766878 0.06233122]
0.0	[0.99620528 0.00379472]
1.0	[0.01758626 0.98241374]
1.0	[0.02013654 0.97986346]
1.0	[0.22021224 0.77978776]
1.0	[4.78846650e-04 9.99521153e-01]
1.0	[5.93709294e-05 9.99940629e-01]
1.0	[0.01726817 0.98273183]
1.0	[0.07314907 0.92685093]
1.0	[0.23704441 0.76295559]
1.0	[0.47172324 0.52827676]
1.0	[0.01740635 0.98259365]
1.0	[0.00714804 0.99285196]
1.0	[0.00116306 0.99883694]
1.0	[0.00294624 0.99705376]
1.0	[0.00865222 0.99134778]
1.0	[0.00278625 0.99721375]
1.0	[0.19493682 0.80506318]
1.0	[2.30053369e-06 9.99997699e-01]
1.0	[0.00860022 0.99139978]
1.0	[3.03245956e-06 9.99996968e-01]
1.0	[3.07341955e-06 9.99996927e-01]
1.0	[0.1363202 0.8636798]
1.0	[1.20804509e-04 9.99879195e-01]
1.0	[0.28187979 0.71812021]
1.0	[1.24971621e-04 9.99875028e-01]
1.0	[0.02605548 0.97394452]
1.0	[0.001077 0.998923]
1.0	[0.00912957 0.99087043]
1.0	[0.39501898 0.60498102]
1.0	[1.22322671e-04 9.99877677e-01]
1.0	[1.22322671e-04 9.99877677e-01]
1.0	[1.04500789e-04 9.99895499e-01]
