Dataset_name,data_id,Folds,Run_id,date,Logloss,AUC,f1,ACC,Time_limit,Timespend,Cores,Fitmetric,Framework,train_size,test_size
raw2_p,bank,0,bank_115015,2020Mar15114815,0.2534665508711062,0.8693635438539755,0.7627794561933536,0.8980996021764676,900,925.2889995574951,8,log_loss,autosklearn,848135,211903,
raw2_p,bank,0,bank_12615,2020Mar15114815,0.0727406947911975,0.9598502267282282,0.9524843811011324,0.9816236674327404,900,929.1329095363617,8,log_loss,autosklearn,848135,211903,
abt_binary_p,college,0,college_122215,2020Mar15114815,0.1558768696488576,0.9189261576071326,0.9595628415300547,0.9392945036915504,900,904.7931115627289,8,log_loss,autosklearn,9762,2438,
abt_binary_p,college,0,college_123715,2020Mar15114815,0.15582885693988863,0.9192020779407535,0.9592562209461307,0.938884331419196,900,899.73304271698,8,log_loss,autosklearn,9762,2438,
cibc_sas_p,cust,0,cust_125315,2020Mar15114815,0.037761724721165665,0.991609081934847,0.9391926417986715,0.985143570536829,900,896.5970468521118,8,log_loss,autosklearn,32063,8010,
cibc_sas_p,cust,0,cust_13815,2020Mar15114815,0.03365223607843456,0.9769488181696395,0.9406150583244962,0.9860174781523097,900,898.2675850391388,8,log_loss,autosklearn,32063,8010,
olb_acti_p,cust,0,cust_132715,2020Mar15114815,0.3967748797019572,0.5061073664527002,0.02645792563600783,0.8516296048864287,900,920.6208560466766,8,log_loss,autosklearn,335504,83824,
olb_acti_p,cust,0,cust_134215,2020Mar15114815,0.39330994699805844,0.5125161224561011,0.053292496171516074,0.8525004771903035,900,938.6309609413147,8,log_loss,autosklearn,335504,83824,
paypal_p,cust,0,cust_141715,2020Mar15114815,0.3465356461539535,0.7832915889451246,0.6929025605774188,0.9555726822961987,900,906.1685974597931,8,log_loss,autosklearn,965861,241338,
paypal_p,cust,0,cust_143315,2020Mar15114815,0.19638163967423863,0.8223557587462474,0.6204666497590667,0.925589836660617,900,942.5849707126617,8,log_loss,autosklearn,965861,241338,
