#ypred	ypred_prob
1.0	[0.00715528 0.99284472]
1.0	[6.39673221e-04 9.99360327e-01]
1.0	[7.63012516e-04 9.99236987e-01]
1.0	[0.22855693 0.77144307]
1.0	[0.15890329 0.84109671]
1.0	[0.04876751 0.95123249]
1.0	[0.0273125 0.9726875]
1.0	[0.00100712 0.99899288]
0.0	[0.91974634 0.08025366]
0.0	[0.85645681 0.14354319]
1.0	[0.00323635 0.99676365]
0.0	[0.83159258 0.16840742]
1.0	[0.01756443 0.98243557]
0.0	[0.88417612 0.11582388]
0.0	[0.97739702 0.02260298]
0.0	[0.99454597 0.00545403]
1.0	[0.09830096 0.90169904]
0.0	[0.92306168 0.07693832]
1.0	[0.00476057 0.99523943]
1.0	[0.0847957 0.9152043]
0.0	[0.750256 0.249744]
1.0	[9.10662282e-04 9.99089338e-01]
1.0	[0.00535745 0.99464255]
0.0	[0.88343482 0.11656518]
0.0	[0.91149369 0.08850631]
0.0	[0.99823923 0.00176077]
1.0	[0.00259688 0.99740312]
1.0	[0.00142791 0.99857209]
1.0	[0.0636023 0.9363977]
1.0	[0.00869275 0.99130725]
1.0	[0.01558135 0.98441865]
1.0	[0.00487145 0.99512855]
0.0	[0.94412846 0.05587154]
1.0	[0.00516717 0.99483283]
1.0	[0.01611988 0.98388012]
1.0	[0.00264138 0.99735862]
0.0	[0.98510117 0.01489883]
0.0	[0.91258016 0.08741984]
1.0	[0.10256074 0.89743926]
0.0	[0.90901756 0.09098244]
1.0	[0.00578339 0.99421661]
0.0	[0.68001691 0.31998309]
1.0	[0.01266044 0.98733956]
1.0	[0.02847771 0.97152229]
1.0	[9.34921395e-04 9.99065079e-01]
0.0	[0.86265601 0.13734399]
0.0	[0.97675862 0.02324138]
0.0	[0.70770111 0.29229889]
1.0	[0.02323386 0.97676614]
1.0	[0.03166198 0.96833802]
1.0	[0.00518963 0.99481037]
1.0	[0.03361678 0.96638322]
1.0	[0.0030239 0.9969761]
1.0	[0.08143939 0.91856061]
1.0	[0.02598162 0.97401838]
1.0	[0.37406633 0.62593367]
1.0	[0.00523903 0.99476097]
0.0	[0.83740218 0.16259782]
1.0	[0.06685702 0.93314298]
1.0	[0.02217248 0.97782752]
1.0	[0.00333575 0.99666425]
1.0	[0.00267329 0.99732671]
1.0	[0.00424566 0.99575434]
