#ypred	ypred_prob
0.0	[0.78563488 0.21436512]
0.0	[0.73215795 0.26784205]
0.0	[0.59113 0.40887]
0.0	[0.63051022 0.36948978]
0.0	[0.81185394 0.18814606]
0.0	[0.63245808 0.36754192]
0.0	[0.77520441 0.22479559]
0.0	[0.63753762 0.36246238]
0.0	[0.66945063 0.33054937]
0.0	[0.76303023 0.23696977]
0.0	[0.72942943 0.27057057]
0.0	[0.67694907 0.32305093]
0.0	[0.74994956 0.25005044]
0.0	[0.79977394 0.20022606]
0.0	[0.60826733 0.39173267]
0.0	[0.63510167 0.36489833]
0.0	[0.78884093 0.21115907]
0.0	[0.78918247 0.21081753]
0.0	[0.6083105 0.3916895]
0.0	[0.79124962 0.20875038]
0.0	[0.78830336 0.21169664]
0.0	[0.81714045 0.18285955]
0.0	[0.68230919 0.31769081]
0.0	[0.60095075 0.39904925]
0.0	[0.62336589 0.37663411]
0.0	[0.58919869 0.41080131]
0.0	[0.64683102 0.35316898]
0.0	[0.81210949 0.18789051]
0.0	[0.67161872 0.32838128]
0.0	[0.81653632 0.18346368]
0.0	[0.64866365 0.35133635]
0.0	[0.67661599 0.32338401]
0.0	[0.56514546 0.43485454]
0.0	[0.6233561 0.3766439]
0.0	[0.63383741 0.36616259]
0.0	[0.61524279 0.38475721]
0.0	[0.76155671 0.23844329]
0.0	[0.76885495 0.23114505]
0.0	[0.76708612 0.23291388]
0.0	[0.69801933 0.30198067]
0.0	[0.59648461 0.40351539]
0.0	[0.75732492 0.24267508]
0.0	[0.69327495 0.30672505]
0.0	[0.61894017 0.38105983]
0.0	[0.71599978 0.28400022]
0.0	[0.57072081 0.42927919]
0.0	[0.72459117 0.27540883]
0.0	[0.64249891 0.35750109]
0.0	[0.70206388 0.29793612]
0.0	[0.63668013 0.36331987]
0.0	[0.60379294 0.39620706]
0.0	[0.62471076 0.37528924]
0.0	[0.66734127 0.33265873]
0.0	[0.6168768 0.3831232]
0.0	[0.67942391 0.32057609]
0.0	[0.7196636 0.2803364]
0.0	[0.67052086 0.32947914]
0.0	[0.74025532 0.25974468]
0.0	[0.65802785 0.34197215]
0.0	[0.6990943 0.3009057]
0.0	[0.61160698 0.38839302]
0.0	[0.69297205 0.30702795]
0.0	[0.7360521 0.2639479]
0.0	[0.79129938 0.20870062]
0.0	[0.70431832 0.29568168]
0.0	[0.76643741 0.23356259]
0.0	[0.70172998 0.29827002]
0.0	[0.77038021 0.22961979]
0.0	[0.7013016 0.2986984]
0.0	[0.81690867 0.18309133]
0.0	[0.69044743 0.30955257]
0.0	[0.62286731 0.37713269]
0.0	[0.66206281 0.33793719]
0.0	[0.74765984 0.25234016]
0.0	[0.74023589 0.25976411]
0.0	[0.63945666 0.36054334]
0.0	[0.66370214 0.33629786]
0.0	[0.63956366 0.36043634]
0.0	[0.75605833 0.24394167]
0.0	[0.76514383 0.23485617]
0.0	[0.55288362 0.44711638]
0.0	[0.55702168 0.44297832]
0.0	[0.80324915 0.19675085]
0.0	[0.80773499 0.19226501]
0.0	[0.58662645 0.41337355]
0.0	[0.57270775 0.42729225]
0.0	[0.58219558 0.41780442]
0.0	[0.58062675 0.41937325]
0.0	[0.63391448 0.36608552]
0.0	[0.79014964 0.20985036]
0.0	[0.72365379 0.27634621]
0.0	[0.5890121 0.4109879]
0.0	[0.70815458 0.29184542]
0.0	[0.75160968 0.24839032]
0.0	[0.55441409 0.44558591]
0.0	[0.80190005 0.19809995]
0.0	[0.68563268 0.31436732]
0.0	[0.69736186 0.30263814]
0.0	[0.71506554 0.28493446]
0.0	[0.73182201 0.26817799]
0.0	[0.70557255 0.29442745]
0.0	[0.68388649 0.31611351]
0.0	[0.7599135 0.2400865]
0.0	[0.73266802 0.26733198]
0.0	[0.55015945 0.44984055]
0.0	[0.66172225 0.33827775]
0.0	[0.70312027 0.29687973]
0.0	[0.58746506 0.41253494]
0.0	[0.62643197 0.37356803]
0.0	[0.6773768 0.3226232]
0.0	[0.64106454 0.35893546]
0.0	[0.59228062 0.40771938]
0.0	[0.70158544 0.29841456]
0.0	[0.66688179 0.33311821]
0.0	[0.79357409 0.20642591]
0.0	[0.57150453 0.42849547]
0.0	[0.66910625 0.33089375]
0.0	[0.7193516 0.2806484]
0.0	[0.70856088 0.29143912]
0.0	[0.67879851 0.32120149]
0.0	[0.63054942 0.36945058]
0.0	[0.61314053 0.38685947]
0.0	[0.58985565 0.41014435]
0.0	[0.73892171 0.26107829]
0.0	[0.54362853 0.45637147]
0.0	[0.67121949 0.32878051]
0.0	[0.67170087 0.32829913]
0.0	[0.72545992 0.27454008]
0.0	[0.78004574 0.21995426]
0.0	[0.66258104 0.33741896]
0.0	[0.64271054 0.35728946]
0.0	[0.69638009 0.30361991]
0.0	[0.66431856 0.33568144]
0.0	[0.67113716 0.32886284]
0.0	[0.73909849 0.26090151]
0.0	[0.82333712 0.17666288]
0.0	[0.731338 0.268662]
0.0	[0.74116331 0.25883669]
0.0	[0.74532959 0.25467041]
0.0	[0.56440735 0.43559265]
0.0	[0.60573065 0.39426935]
0.0	[0.71140946 0.28859054]
0.0	[0.67738541 0.32261459]
0.0	[0.73923961 0.26076039]
0.0	[0.57277166 0.42722834]
0.0	[0.58998484 0.41001516]
0.0	[0.5932605 0.4067395]
0.0	[0.59975895 0.40024105]
0.0	[0.55870389 0.44129611]
0.0	[0.58930923 0.41069077]
0.0	[0.66754863 0.33245137]
0.0	[0.60447306 0.39552694]
0.0	[0.58075564 0.41924436]
0.0	[0.70554921 0.29445079]
0.0	[0.78331889 0.21668111]
0.0	[0.75340888 0.24659112]
0.0	[0.63414481 0.36585519]
0.0	[0.7534668 0.2465332]
0.0	[0.58139931 0.41860069]
0.0	[0.74891571 0.25108429]
0.0	[0.69068083 0.30931917]
0.0	[0.53410506 0.46589494]
0.0	[0.68273421 0.31726579]
0.0	[0.58028839 0.41971161]
0.0	[0.69470064 0.30529936]
0.0	[0.65107437 0.34892563]
0.0	[0.73882439 0.26117561]
0.0	[0.78614483 0.21385517]
0.0	[0.66204916 0.33795084]
0.0	[0.67634184 0.32365816]
0.0	[0.7405359 0.2594641]
0.0	[0.80130576 0.19869424]
0.0	[0.77656081 0.22343919]
0.0	[0.74233316 0.25766684]
0.0	[0.78282497 0.21717503]
0.0	[0.66798989 0.33201011]
0.0	[0.71111184 0.28888816]
0.0	[0.7620561 0.2379439]
0.0	[0.57000223 0.42999777]
0.0	[0.74568474 0.25431526]
0.0	[0.71590524 0.28409476]
0.0	[0.82205835 0.17794165]
0.0	[0.77023427 0.22976573]
0.0	[0.79608021 0.20391979]
0.0	[0.56317938 0.43682062]
0.0	[0.70081759 0.29918241]
0.0	[0.76723972 0.23276028]
0.0	[0.7402809 0.2597191]
0.0	[0.71583794 0.28416206]
0.0	[0.70907776 0.29092224]
0.0	[0.76886611 0.23113389]
0.0	[0.73733374 0.26266626]
0.0	[0.76623583 0.23376417]
0.0	[0.74924088 0.25075912]
0.0	[0.72787144 0.27212856]
0.0	[0.71695043 0.28304957]
0.0	[0.76962792 0.23037208]
0.0	[0.80006373 0.19993627]
0.0	[0.77196212 0.22803788]
0.0	[0.74108762 0.25891238]
0.0	[0.62282793 0.37717207]
0.0	[0.56062609 0.43937391]
0.0	[0.60020191 0.39979809]
0.0	[0.64451409 0.35548591]
0.0	[0.76758633 0.23241367]
0.0	[0.77255296 0.22744704]
0.0	[0.72605569 0.27394431]
0.0	[0.64003858 0.35996142]
0.0	[0.71594107 0.28405893]
0.0	[0.60206774 0.39793226]
0.0	[0.71028184 0.28971816]
0.0	[0.75429115 0.24570885]
0.0	[0.7915872 0.2084128]
0.0	[0.64926676 0.35073324]
0.0	[0.69697844 0.30302156]
0.0	[0.61751013 0.38248987]
0.0	[0.79480796 0.20519204]
0.0	[0.72945308 0.27054692]
