#ypred	ypred_prob
0.0	[0.81989446 0.18010554]
0.0	[0.87046566 0.12953434]
0.0	[0.98977328 0.01022672]
0.0	[0.98976949 0.01023051]
0.0	[9.99865649e-01 1.34350703e-04]
0.0	[9.99741978e-01 2.58021653e-04]
0.0	[9.99787220e-01 2.12780312e-04]
0.0	[9.99784605e-01 2.15395290e-04]
0.0	[0.94964499 0.05035501]
1.0	[0.42587381 0.57412619]
0.0	[0.96993009 0.03006991]
0.0	[9.99728994e-01 2.71005630e-04]
0.0	[0.92992421 0.07007579]
0.0	[0.96919744 0.03080256]
1.0	[0.11771164 0.88228836]
0.0	[9.99936465e-01 6.35349655e-05]
0.0	[0.98970805 0.01029195]
0.0	[9.99976644e-01 2.33560091e-05]
0.0	[9.99926461e-01 7.35385878e-05]
0.0	[0.98892325 0.01107675]
0.0	[9.99246985e-01 7.53015235e-04]
0.0	[9.99809815e-01 1.90184778e-04]
0.0	[0.94969734 0.05030266]
0.0	[0.98993085 0.01006915]
0.0	[0.95836828 0.04163172]
0.0	[0.97818081 0.02181919]
0.0	[0.9484341 0.0515659]
0.0	[0.5817608 0.4182392]
0.0	[9.99846111e-01 1.53888889e-04]
0.0	[0.56347043 0.43652957]
0.0	[1. 0.]
0.0	[0.86999482 0.13000518]
0.0	[9.99720841e-01 2.79159491e-04]
0.0	[0.81167779 0.18832221]
0.0	[0.96962263 0.03037737]
0.0	[0.72249026 0.27750974]
0.0	[9.99874202e-01 1.25798097e-04]
0.0	[9.99939715e-01 6.02849003e-05]
0.0	[9.99922181e-01 7.78191343e-05]
0.0	[0.95990149 0.04009851]
0.0	[9.99794000e-01 2.06000225e-04]
0.0	[0.90864573 0.09135427]
0.0	[9.99992e-01 8.00000e-06]
0.0	[0.98990259 0.01009741]
0.0	[0.92010342 0.07989658]
0.0	[9.99574496e-01 4.25504203e-04]
0.0	[0.99017596 0.00982404]
0.0	[0.99001553 0.00998447]
0.0	[0.84008578 0.15991422]
0.0	[0.92025024 0.07974976]
0.0	[0.78112492 0.21887508]
0.0	[0.8702403 0.1297597]
0.0	[0.97815814 0.02184186]
0.0	[9.99996610e-01 3.38983051e-06]
0.0	[9.99741539e-01 2.58460694e-04]
0.0	[0.92763351 0.07236649]
1.0	[0.32262034 0.67737966]
0.0	[0.61338638 0.38661362]
0.0	[9.99936243e-01 6.37566138e-05]
1.0	[0.1867199 0.8132801]
0.0	[9.99746286e-01 2.53713602e-04]
0.0	[0.85042505 0.14957495]
0.0	[9.99953215e-01 4.67847158e-05]
0.0	[0.87910192 0.12089808]
1.0	[0.42390699 0.57609301]
0.0	[0.92842929 0.07157071]
0.0	[0.77102969 0.22897031]
0.0	[9.99645303e-01 3.54696795e-04]
0.0	[0.6720509 0.3279491]
0.0	[0.94979574 0.05020426]
1.0	[0.35391254 0.64608746]
0.0	[9.99797916e-01 2.02084007e-04]
0.0	[9.99888974e-01 1.11025641e-04]
0.0	[0.96885243 0.03114757]
0.0	[9.99882526e-01 1.17474410e-04]
0.0	[0.83852499 0.16147501]
0.0	[9.99860775e-01 1.39224782e-04]
0.0	[0.52294454 0.47705546]
0.0	[9.99836862e-01 1.63137796e-04]
0.0	[9.9978861e-01 2.1139011e-04]
0.0	[0.99013528 0.00986472]
0.0	[9.99427383e-01 5.72616732e-04]
0.0	[9.99928540e-01 7.14604236e-05]
0.0	[0.97902743 0.02097257]
0.0	[0.98968852 0.01031148]
0.0	[9.99377495e-01 6.22505132e-04]
1.0	[0.42226885 0.57773115]
0.0	[9.99391401e-01 6.08599160e-04]
0.0	[0.98999557 0.01000443]
0.0	[0.98943622 0.01056378]
0.0	[9.99836424e-01 1.63576340e-04]
0.0	[9.99980392e-01 1.96078431e-05]
0.0	[9.99902277e-01 9.77231294e-05]
0.0	[9.99736111e-01 2.63888741e-04]
0.0	[0.95002551 0.04997449]
0.0	[0.65209351 0.34790649]
0.0	[9.99889738e-01 1.10261682e-04]
0.0	[9.99703670e-01 2.96330055e-04]
0.0	[0.9096278 0.0903722]
0.0	[9.99840657e-01 1.59342618e-04]
0.0	[9.99879761e-01 1.20239353e-04]
0.0	[0.85877778 0.14122222]
0.0	[0.96911107 0.03088893]
0.0	[0.76047915 0.23952085]
0.0	[0.85048065 0.14951935]
0.0	[9.99806649e-01 1.93350769e-04]
0.0	[9.99923947e-01 7.60532978e-05]
0.0	[0.98945223 0.01054777]
0.0	[9.99621742e-01 3.78257864e-04]
0.0	[0.95953778 0.04046222]
0.0	[0.89878772 0.10121228]
0.0	[0.94926038 0.05073962]
0.0	[0.87057834 0.12942166]
0.0	[9.99905480e-01 9.45196739e-05]
0.0	[9.99335463e-01 6.64536565e-04]
0.0	[0.94018434 0.05981566]
0.0	[0.80094377 0.19905623]
0.0	[9.99748554e-01 2.51445817e-04]
0.0	[0.88969235 0.11030765]
0.0	[0.99004502 0.00995498]
0.0	[0.75969125 0.24030875]
0.0	[9.99777377e-01 2.22623319e-04]
0.0	[9.99852107e-01 1.47893125e-04]
0.0	[9.99753587e-01 2.46412929e-04]
0.0	[0.96927304 0.03072696]
0.0	[0.95917797 0.04082203]
0.0	[0.81017249 0.18982751]
0.0	[0.98966127 0.01033873]
0.0	[0.92956392 0.07043608]
0.0	[9.99756158e-01 2.43842443e-04]
0.0	[9.99826362e-01 1.73638377e-04]
0.0	[0.97013962 0.02986038]
0.0	[0.88060769 0.11939231]
0.0	[0.98994808 0.01005192]
0.0	[9.99503943e-01 4.96057192e-04]
0.0	[0.96941404 0.03058596]
1.0	[0.21406479 0.78593521]
0.0	[0.79930187 0.20069813]
0.0	[9.99751278e-01 2.48722137e-04]
0.0	[0.82793764 0.17206236]
0.0	[9.99859924e-01 1.40075677e-04]
0.0	[0.97857848 0.02142152]
0.0	[9.99550722e-01 4.49278140e-04]
0.0	[9.99410444e-01 5.89555805e-04]
0.0	[9.99930125e-01 6.98746867e-05]
0.0	[9.99821525e-01 1.78475033e-04]
0.0	[0.93018007 0.06981993]
0.0	[0.98961606 0.01038394]
0.0	[9.99835529e-01 1.64471326e-04]
0.0	[9.99573729e-01 4.26271298e-04]
0.0	[9.99977871e-01 2.21288515e-05]
0.0	[0.93028462 0.06971538]
0.0	[0.88067851 0.11932149]
0.0	[0.92982075 0.07017925]
1.0	[0.46453998 0.53546002]
0.0	[9.99902083e-01 9.79166667e-05]
0.0	[0.69226196 0.30773804]
0.0	[9.99990476e-01 9.52380952e-06]
0.0	[0.98942297 0.01057703]
0.0	[9.99832634e-01 1.67365723e-04]
0.0	[0.98981162 0.01018838]
0.0	[0.95968283 0.04031717]
0.0	[0.97978181 0.02021819]
1.0	[0.33235476 0.66764524]
0.0	[0.98000202 0.01999798]
0.0	[0.98967509 0.01032491]
0.0	[0.91029034 0.08970966]
0.0	[9.99799708e-01 2.00292178e-04]
0.0	[0.76926154 0.23073846]
0.0	[0.99008272 0.00991728]
0.0	[0.8801414 0.1198586]
0.0	[0.98982149 0.01017851]
0.0	[9.99687858e-01 3.12141840e-04]
0.0	[9.99666158e-01 3.33842304e-04]
0.0	[0.96914849 0.03085151]
0.0	[9.99770546e-01 2.29454289e-04]
0.0	[0.96020164 0.03979836]
0.0	[1. 0.]
0.0	[0.92913228 0.07086772]
0.0	[0.97986632 0.02013368]
0.0	[9.99893401e-01 1.06598764e-04]
0.0	[0.85972558 0.14027442]
0.0	[0.97041787 0.02958213]
