#ypred	ypred_prob
0.0	[0.99151543 0.00848457]
0.0	[0.99301667 0.00698333]
1.0	[0.29789449 0.70210551]
0.0	[0.82317413 0.17682587]
0.0	[0.94538751 0.05461249]
1.0	[0.4978774 0.5021226]
0.0	[0.99205629 0.00794371]
0.0	[0.63316945 0.36683055]
0.0	[0.99607221 0.00392779]
0.0	[0.70058871 0.29941129]
0.0	[0.95749492 0.04250508]
0.0	[0.76228107 0.23771893]
0.0	[0.97039064 0.02960936]
0.0	[0.91919506 0.08080494]
0.0	[0.96977887 0.03022113]
0.0	[0.60837098 0.39162902]
0.0	[0.99356912 0.00643088]
0.0	[0.53495497 0.46504503]
0.0	[0.99848703 0.00151297]
1.0	[0.11314304 0.88685696]
0.0	[0.99090727 0.00909273]
0.0	[0.79812659 0.20187341]
1.0	[0.01965071 0.98034929]
0.0	[0.9930091 0.0069909]
0.0	[0.98067553 0.01932447]
0.0	[0.98922383 0.01077617]
1.0	[0.08646374 0.91353626]
0.0	[0.99766602 0.00233398]
1.0	[0.1065285 0.8934715]
0.0	[0.72078376 0.27921624]
0.0	[0.54614521 0.45385479]
0.0	[0.87272983 0.12727017]
0.0	[0.88519747 0.11480253]
0.0	[0.94767813 0.05232187]
0.0	[0.82632428 0.17367572]
0.0	[0.98165799 0.01834201]
0.0	[0.99719915 0.00280085]
0.0	[0.95522628 0.04477372]
1.0	[0.18240519 0.81759481]
0.0	[0.91394773 0.08605227]
1.0	[0.40071459 0.59928541]
0.0	[0.98416924 0.01583076]
1.0	[0.43248717 0.56751283]
0.0	[0.90198886 0.09801114]
1.0	[0.09912709 0.90087291]
0.0	[0.83839805 0.16160195]
0.0	[0.99819914 0.00180086]
0.0	[0.96006051 0.03993949]
0.0	[0.79177394 0.20822606]
0.0	[0.98401596 0.01598404]
0.0	[0.665346 0.334654]
1.0	[0.2057872 0.7942128]
0.0	[0.88366834 0.11633166]
0.0	[0.92699195 0.07300805]
1.0	[0.47065077 0.52934923]
0.0	[0.61940943 0.38059057]
1.0	[0.45946933 0.54053067]
0.0	[0.50027762 0.49972238]
1.0	[0.05491334 0.94508666]
1.0	[0.02449487 0.97550513]
0.0	[0.62096026 0.37903974]
0.0	[0.69150537 0.30849463]
1.0	[0.04251098 0.95748902]
0.0	[0.98998496 0.01001504]
0.0	[0.90404543 0.09595457]
0.0	[0.89113374 0.10886626]
1.0	[0.08658952 0.91341048]
0.0	[0.98558785 0.01441215]
0.0	[0.74680612 0.25319388]
0.0	[0.87282574 0.12717426]
0.0	[0.92611582 0.07388418]
0.0	[0.70666735 0.29333265]
0.0	[0.53347795 0.46652205]
1.0	[0.04611598 0.95388402]
0.0	[0.84620553 0.15379447]
0.0	[0.99637295 0.00362705]
0.0	[0.97269048 0.02730952]
1.0	[0.01695905 0.98304095]
0.0	[0.94008723 0.05991277]
0.0	[0.93472686 0.06527314]
0.0	[0.99810329 0.00189671]
1.0	[0.32649405 0.67350595]
0.0	[0.98281298 0.01718702]
0.0	[0.52763436 0.47236564]
0.0	[0.98189459 0.01810541]
0.0	[0.99553958 0.00446042]
0.0	[0.95789229 0.04210771]
0.0	[0.99771495 0.00228505]
1.0	[0.42975975 0.57024025]
0.0	[0.519309 0.480691]
0.0	[0.72117863 0.27882137]
0.0	[0.96636887 0.03363113]
1.0	[0.35476019 0.64523981]
1.0	[0.01874153 0.98125847]
0.0	[0.98123642 0.01876358]
0.0	[0.99626312 0.00373688]
0.0	[0.96669779 0.03330221]
0.0	[0.92371473 0.07628527]
0.0	[0.81778074 0.18221926]
0.0	[0.98782996 0.01217004]
0.0	[0.99203841 0.00796159]
0.0	[0.51468982 0.48531018]
