#ypred	ypred_prob
0.0	[9.99683602e-01 3.16398017e-04]
0.0	[0.9856947 0.0143053]
0.0	[9.99743585e-01 2.56415195e-04]
0.0	[0.99875912 0.00124088]
0.0	[9.99830592e-01 1.69408176e-04]
0.0	[9.99506292e-01 4.93707639e-04]
0.0	[0.97108528 0.02891472]
0.0	[9.99994202e-01 5.79771504e-06]
0.0	[9.99232112e-01 7.67888086e-04]
0.0	[0.70147993 0.29852007]
0.0	[0.99864535 0.00135465]
0.0	[9.99362478e-01 6.37522059e-04]
0.0	[0.77947495 0.22052505]
0.0	[0.99867866 0.00132134]
0.0	[9.99655452e-01 3.44548298e-04]
0.0	[0.99415274 0.00584726]
0.0	[9.99636177e-01 3.63822637e-04]
0.0	[0.99823485 0.00176515]
0.0	[0.99820631 0.00179369]
0.0	[0.9945215 0.0054785]
0.0	[9.99136792e-01 8.63208004e-04]
0.0	[0.92608604 0.07391396]
0.0	[9.99987246e-01 1.27542368e-05]
0.0	[9.99784745e-01 2.15255088e-04]
0.0	[0.93983728 0.06016272]
0.0	[0.99891771 0.00108229]
0.0	[0.99694857 0.00305143]
0.0	[9.99620990e-01 3.79010005e-04]
0.0	[0.99899231 0.00100769]
0.0	[9.99655589e-01 3.44410754e-04]
0.0	[9.99703998e-01 2.96001958e-04]
0.0	[9.99110663e-01 8.89337427e-04]
0.0	[9.99848751e-01 1.51248712e-04]
0.0	[9.99029601e-01 9.70398534e-04]
0.0	[0.81707018 0.18292982]
0.0	[9.99469740e-01 5.30260149e-04]
0.0	[9.99694359e-01 3.05641312e-04]
0.0	[0.7334715 0.2665285]
0.0	[0.9937934 0.0062066]
0.0	[0.99867759 0.00132241]
0.0	[9.99744198e-01 2.55801546e-04]
0.0	[0.9875906 0.0124094]
0.0	[9.99705106e-01 2.94893870e-04]
0.0	[0.99390934 0.00609066]
0.0	[9.99231116e-01 7.68883914e-04]
0.0	[0.9988469 0.0011531]
0.0	[0.99742488 0.00257512]
0.0	[0.97802021 0.02197979]
0.0	[0.99830545 0.00169455]
0.0	[9.99655439e-01 3.44560823e-04]
0.0	[9.99922210e-01 7.77896261e-05]
0.0	[9.99867757e-01 1.32243244e-04]
0.0	[0.97679479 0.02320521]
0.0	[0.99857227 0.00142773]
0.0	[9.99541049e-01 4.58951011e-04]
0.0	[9.99865080e-01 1.34919704e-04]
0.0	[0.99721086 0.00278914]
0.0	[9.99547780e-01 4.52220277e-04]
0.0	[9.99419761e-01 5.80238568e-04]
0.0	[0.99781161 0.00218839]
0.0	[9.99039471e-01 9.60529124e-04]
0.0	[0.99831965 0.00168035]
0.0	[0.99897709 0.00102291]
