#ypred	ypred_prob
0.0	[0.55007212 0.44992788]
0.0	[0.65749227 0.34250773]
0.0	[0.66834292 0.33165708]
0.0	[0.60104682 0.39895318]
0.0	[0.59560182 0.40439818]
0.0	[0.79345725 0.20654275]
0.0	[0.58054759 0.41945241]
1.0	[0.46464248 0.53535752]
0.0	[0.59123887 0.40876113]
1.0	[0.32650367 0.67349633]
1.0	[0.47887489 0.52112511]
1.0	[0.40039283 0.59960717]
0.0	[0.51920386 0.48079614]
0.0	[0.51494718 0.48505282]
0.0	[0.50421798 0.49578202]
0.0	[0.52590541 0.47409459]
0.0	[0.53072042 0.46927958]
0.0	[0.61401357 0.38598643]
0.0	[0.55352116 0.44647884]
0.0	[0.5734396 0.4265604]
1.0	[0.44112087 0.55887913]
0.0	[0.65111686 0.34888314]
0.0	[0.53179341 0.46820659]
0.0	[0.57445929 0.42554071]
0.0	[0.59075974 0.40924026]
0.0	[0.63004639 0.36995361]
0.0	[0.50233572 0.49766428]
0.0	[0.62868847 0.37131153]
0.0	[0.50344603 0.49655397]
0.0	[0.52976376 0.47023624]
0.0	[0.59500819 0.40499181]
1.0	[0.4531097 0.5468903]
0.0	[0.61734739 0.38265261]
0.0	[0.80573316 0.19426684]
0.0	[0.63475367 0.36524633]
0.0	[0.54038911 0.45961089]
0.0	[0.63504352 0.36495648]
0.0	[0.74886265 0.25113735]
1.0	[0.22824772 0.77175228]
0.0	[0.72439244 0.27560756]
0.0	[0.63019004 0.36980996]
0.0	[0.7041933 0.2958067]
0.0	[0.55407084 0.44592916]
0.0	[0.77912244 0.22087756]
0.0	[0.60094319 0.39905681]
0.0	[0.74137009 0.25862991]
1.0	[0.48542259 0.51457741]
0.0	[0.56948822 0.43051178]
0.0	[0.50380373 0.49619627]
0.0	[0.64465076 0.35534924]
0.0	[0.627315 0.372685]
0.0	[0.55918323 0.44081677]
0.0	[0.59542661 0.40457339]
0.0	[0.60202093 0.39797907]
0.0	[0.59384638 0.40615362]
0.0	[0.80822366 0.19177634]
0.0	[0.80239173 0.19760827]
0.0	[0.60420329 0.39579671]
0.0	[0.5814615 0.4185385]
0.0	[0.64748714 0.35251286]
0.0	[0.61139877 0.38860123]
0.0	[0.81341983 0.18658017]
0.0	[0.60195773 0.39804227]
0.0	[0.6047153 0.3952847]
0.0	[0.53476675 0.46523325]
0.0	[0.60135031 0.39864969]
0.0	[0.64390522 0.35609478]
1.0	[0.40111626 0.59888374]
0.0	[0.62871612 0.37128388]
0.0	[0.52266076 0.47733924]
0.0	[0.71016369 0.28983631]
0.0	[0.63323561 0.36676439]
0.0	[0.68785535 0.31214465]
0.0	[0.64699011 0.35300989]
0.0	[0.51226634 0.48773366]
0.0	[0.64268297 0.35731703]
0.0	[0.66500144 0.33499856]
0.0	[0.68202952 0.31797048]
0.0	[0.69491303 0.30508697]
0.0	[0.73866223 0.26133777]
1.0	[0.46109903 0.53890097]
0.0	[0.66390402 0.33609598]
0.0	[0.60345045 0.39654955]
0.0	[0.65901275 0.34098725]
0.0	[0.72468509 0.27531491]
0.0	[0.61998946 0.38001054]
0.0	[0.55631175 0.44368825]
0.0	[0.62613766 0.37386234]
0.0	[0.56145024 0.43854976]
1.0	[0.43188751 0.56811249]
0.0	[0.59248578 0.40751422]
0.0	[0.64383375 0.35616625]
1.0	[0.44759493 0.55240507]
1.0	[0.38102876 0.61897124]
0.0	[0.54098492 0.45901508]
0.0	[0.69702397 0.30297603]
0.0	[0.55489667 0.44510333]
0.0	[0.57966554 0.42033446]
0.0	[0.66699792 0.33300208]
0.0	[0.59207662 0.40792338]
0.0	[0.67023321 0.32976679]
0.0	[0.65099305 0.34900695]
0.0	[0.57809886 0.42190114]
0.0	[0.58051228 0.41948772]
0.0	[0.83620721 0.16379279]
0.0	[0.68706845 0.31293155]
0.0	[0.71089518 0.28910482]
